player_class,card_name,rarity,before_zone,times_played,win_percentage
WARRIOR,Patches the Pirate,LEGENDARY,DECK,17211,64.55
PRIEST,Twilight Guardian,EPIC,HAND,11425,52.33
DRUID,Arcane Giant,EPIC,HAND,10551,56.82
DRUID,Fandral Staghelm,LEGENDARY,HAND,10457,56.1
DRUID,Aya Blackpaw,LEGENDARY,HAND,6643,65.81
WARRIOR,Sir Finley Mrrgglton,LEGENDARY,HAND,4605,58.28
PRIEST,Brann Bronzebeard,LEGENDARY,HAND,4363,57.02
MAGE,Bloodmage Thalnos,LEGENDARY,HAND,4202,51.4
DRUID,Ancient of War,EPIC,HAND,4158,50.58
MAGE,Doomsayer,EPIC,HAND,4097,46.45
DRUID,Emperor Thaurissan,LEGENDARY,HAND,3728,55.12
SHAMAN,Bloodmage Thalnos,LEGENDARY,HAND,3239,58.85
ROGUE,Bloodmage Thalnos,LEGENDARY,HAND,3235,49.55
DRUID,Brann Bronzebeard,LEGENDARY,HAND,3046,56.43
PRIEST,Kazakus,LEGENDARY,HAND,3008,53.36
PRIEST,Raza the Chained,LEGENDARY,HAND,2942,55.06
WARLOCK,Doomsayer,EPIC,HAND,2828,53.18
PALADIN,Meanstreet Marshal,EPIC,HAND,2762,46.42
WARLOCK,Emperor Thaurissan,LEGENDARY,HAND,2649,65.35
WARLOCK,Reno Jackson,LEGENDARY,HAND,2618,65.47
ROGUE,Edwin VanCleef,LEGENDARY,HAND,2596,55.16
WARLOCK,Kazakus,LEGENDARY,HAND,2592,61.5
WARRIOR,Hobart Grapplehammer,LEGENDARY,HAND,2587,57.09
DRUID,Bloodmage Thalnos,LEGENDARY,HAND,2551,53.35
MAGE,Kazakus,LEGENDARY,HAND,2488,52.25
WARLOCK,Brann Bronzebeard,LEGENDARY,HAND,2339,59.98
MAGE,Emperor Thaurissan,LEGENDARY,HAND,2287,55.27
WARLOCK,Mountain Giant,EPIC,HAND,2286,58.49
DRUID,Ragnaros the Firelord,LEGENDARY,HAND,2278,55.84
PRIEST,Cabal Shadow Priest,EPIC,HAND,2239,56.77
MAGE,Ragnaros the Firelord,LEGENDARY,HAND,2216,57.08
PALADIN,Murloc Warleader,EPIC,HAND,2211,57.85
PRIEST,Ragnaros the Firelord,LEGENDARY,HAND,2204,60.75
WARLOCK,Sylvanas Windrunner,LEGENDARY,HAND,2200,61.95
ROGUE,Aya Blackpaw,LEGENDARY,HAND,2192,56.8
PALADIN,Tirion Fordring,LEGENDARY,HAND,2077,54.55
MAGE,Reno Jackson,LEGENDARY,HAND,2075,51.28
SHAMAN,Barnes,LEGENDARY,HAND,2016,57.09
PRIEST,Sylvanas Windrunner,LEGENDARY,HAND,1956,53.22
HUNTER,Rat Pack,EPIC,HAND,1953,50.18
SHAMAN,Ragnaros the Firelord,LEGENDARY,HAND,1950,55.38
WARLOCK,Ragnaros the Firelord,LEGENDARY,HAND,1907,65.13
ROGUE,Barnes,LEGENDARY,HAND,1868,51.34
WARRIOR,Leeroy Jenkins,LEGENDARY,HAND,1861,64.21
PRIEST,Reno Jackson,LEGENDARY,HAND,1826,49.07
PRIEST,Justicar Trueheart,LEGENDARY,HAND,1798,55.78
HUNTER,Barnes,LEGENDARY,HAND,1776,52.25
PALADIN,Doomsayer,EPIC,HAND,1683,48.78
MAGE,Inkmaster Solia,LEGENDARY,HAND,1546,53.49
WARRIOR,Justicar Trueheart,LEGENDARY,HAND,1529,53.83
PRIEST,Doomsayer,EPIC,HAND,1522,48.88
PRIEST,Ysera,LEGENDARY,HAND,1480,61.28
ROGUE,Patches the Pirate,LEGENDARY,DECK,1422,50.14
SHAMAN,White Eyes,LEGENDARY,HAND,1335,50.79
PRIEST,Mana Geode,EPIC,HAND,1278,49.45
ROGUE,Brann Bronzebeard,LEGENDARY,HAND,1242,51.05
WARRIOR,Southsea Captain,EPIC,HAND,1235,57.49
MAGE,Alexstrasza,LEGENDARY,HAND,1226,63.87
MAGE,Archmage Antonidas,LEGENDARY,HAND,1210,59.01
WARRIOR,Sylvanas Windrunner,LEGENDARY,HAND,1198,50.83
WARRIOR,Patches the Pirate,LEGENDARY,HAND,1173,38.53
SHAMAN,Aya Blackpaw,LEGENDARY,HAND,1132,63.69
PALADIN,Wickerflame Burnbristle,LEGENDARY,HAND,1131,49.6
WARRIOR,Gorehowl,EPIC,HAND,1126,53.2
PRIEST,Chillmaw,LEGENDARY,HAND,1124,46.35
PALADIN,Patches the Pirate,LEGENDARY,DECK,1048,56.3
PRIEST,Emperor Thaurissan,LEGENDARY,HAND,1041,52.26
WARRIOR,Twilight Guardian,EPIC,HAND,1005,51.24
DRUID,Barnes,LEGENDARY,HAND,978,54.5
HUNTER,Ragnaros the Firelord,LEGENDARY,HAND,958,54.8
WARRIOR,Grommash Hellscream,LEGENDARY,HAND,936,53.85
PRIEST,Wrathion,LEGENDARY,HAND,924,55.74
ROGUE,Emperor Thaurissan,LEGENDARY,HAND,911,49.51
DRUID,Kun the Forgotten King,LEGENDARY,HAND,878,59.45
MAGE,Manic Soulcaster,EPIC,HAND,855,54.27
WARRIOR,Elise Starseeker,LEGENDARY,HAND,847,43.45
PRIEST,Harrison Jones,LEGENDARY,HAND,846,50.59
PALADIN,"Ragnaros, Lightlord",LEGENDARY,HAND,840,58.69
PALADIN,Brann Bronzebeard,LEGENDARY,HAND,827,49.33
ROGUE,Shadowcaster,EPIC,HAND,824,46.48
PALADIN,Sir Finley Mrrgglton,LEGENDARY,HAND,816,49.51
ROGUE,"N'Zoth, the Corruptor",LEGENDARY,HAND,804,59.7
DRUID,Doomsayer,EPIC,HAND,798,46.74
MAGE,Sylvanas Windrunner,LEGENDARY,HAND,781,54.16
PRIEST,Confessor Paletress,LEGENDARY,HAND,777,58.17
MAGE,Brann Bronzebeard,LEGENDARY,HAND,772,53.37
WARRIOR,Brass Knuckles,EPIC,HAND,772,35.88
SHAMAN,Brann Bronzebeard,LEGENDARY,HAND,767,63.23
WARLOCK,Leeroy Jenkins,LEGENDARY,HAND,767,82.92
WARLOCK,Unlicensed Apothecary,EPIC,HAND,767,61.28
WARRIOR,Ragnaros the Firelord,LEGENDARY,HAND,765,49.28
PALADIN,Vilefin Inquisitor,EPIC,HAND,731,46.37
MAGE,Barnes,LEGENDARY,HAND,703,53.2
ROGUE,"Xaril, Poisoned Mind",LEGENDARY,HAND,694,45.24
PALADIN,Barnes,LEGENDARY,HAND,690,54.78
DRUID,Sylvanas Windrunner,LEGENDARY,HAND,681,53.89
WARLOCK,Kabal Trafficker,EPIC,HAND,675,57.93
ROGUE,Sylvanas Windrunner,LEGENDARY,HAND,664,53.61
MAGE,Elise Starseeker,LEGENDARY,HAND,656,45.73
DRUID,Malygos,LEGENDARY,HAND,634,68.77
MAGE,"Medivh, the Guardian",LEGENDARY,HAND,617,65.64
PRIEST,Bloodmage Thalnos,LEGENDARY,HAND,609,53.69
WARRIOR,C'Thun,LEGENDARY,HAND,594,65.15
WARLOCK,Faceless Shambler,EPIC,HAND,577,58.23
PRIEST,Elise Starseeker,LEGENDARY,HAND,573,48.34
PRIEST,Barnes,LEGENDARY,HAND,571,54.64
PALADIN,Don Han'Cho,LEGENDARY,HAND,566,54.42
MAGE,Arcane Giant,EPIC,HAND,556,45.5
WARRIOR,Brann Bronzebeard,LEGENDARY,HAND,554,59.93
WARRIOR,Harrison Jones,LEGENDARY,HAND,554,52.17
PALADIN,Sylvanas Windrunner,LEGENDARY,HAND,553,58.77
WARRIOR,Emperor Thaurissan,LEGENDARY,HAND,549,58.83
ROGUE,Malygos,LEGENDARY,HAND,541,68.21
SHAMAN,Doomhammer,EPIC,HAND,539,48.42
PALADIN,Twilight Guardian,EPIC,HAND,519,46.24
WARRIOR,Twin Emperor Vek'lor,LEGENDARY,HAND,517,65.57
PALADIN,Ragnaros the Firelord,LEGENDARY,HAND,514,63.04
SHAMAN,Sylvanas Windrunner,LEGENDARY,HAND,499,62.93
SHAMAN,Harrison Jones,LEGENDARY,HAND,499,48.1
WARRIOR,Captain Greenskin,LEGENDARY,HAND,476,47.69
SHAMAN,Sir Finley Mrrgglton,LEGENDARY,HAND,472,58.9
DRUID,C'Thun,LEGENDARY,HAND,471,68.58
SHAMAN,Murloc Warleader,EPIC,HAND,469,63.75
PRIEST,Cairne Bloodhoof,LEGENDARY,HAND,466,57.94
PRIEST,Dirty Rat,EPIC,HAND,438,30.82
HUNTER,Knuckles,LEGENDARY,HAND,378,47.09
DRUID,Harrison Jones,LEGENDARY,HAND,375,48.8
WARRIOR,Barnes,LEGENDARY,HAND,374,47.06
PRIEST,Nefarian,LEGENDARY,HAND,373,48.26
SHAMAN,Doomsayer,EPIC,HAND,372,47.85
WARRIOR,Baron Geddon,LEGENDARY,HAND,363,54.82
ROGUE,Ragnaros the Firelord,LEGENDARY,HAND,361,46.54
PRIEST,Garrison Commander,EPIC,HAND,357,50.14
DRUID,"Yogg-Saron, Hope's End",LEGENDARY,HAND,355,55.49
ROGUE,Doomsayer,EPIC,HAND,347,35.45
SHAMAN,Earth Elemental,EPIC,HAND,347,46.69
PRIEST,Nexus-Champion Saraad,LEGENDARY,HAND,345,69.57
ROGUE,Leeroy Jenkins,LEGENDARY,HAND,342,58.77
ROGUE,"Shaku, the Collector",LEGENDARY,HAND,339,51.62
ROGUE,Arcane Giant,EPIC,HAND,338,54.14
MAGE,"Yogg-Saron, Hope's End",LEGENDARY,HAND,337,44.51
SHAMAN,Hallazeal the Ascended,LEGENDARY,HAND,335,56.42
SHAMAN,Al'Akir the Windlord,LEGENDARY,HAND,332,62.05
WARRIOR,Twilight Summoner,EPIC,HAND,330,50
WARRIOR,Doomsayer,EPIC,HAND,325,35.38
PRIEST,Prophet Velen,LEGENDARY,HAND,323,62.54
PALADIN,Sword of Justice,EPIC,HAND,321,40.5
WARLOCK,Bloodmage Thalnos,LEGENDARY,HAND,318,45.28
DRUID,Cenarius,LEGENDARY,HAND,312,55.45
PRIEST,Arcane Giant,EPIC,HAND,310,63.23
ROGUE,Reno Jackson,LEGENDARY,HAND,310,33.23
WARRIOR,Cairne Bloodhoof,LEGENDARY,HAND,307,60.26
WARLOCK,Krul the Unshackled,LEGENDARY,HAND,305,64.26
DRUID,The Curator,LEGENDARY,HAND,303,38.28
WARRIOR,Don Han'Cho,LEGENDARY,HAND,303,48.84
HUNTER,Leeroy Jenkins,LEGENDARY,HAND,298,62.42
PRIEST,"N'Zoth, the Corruptor",LEGENDARY,HAND,294,65.31
WARLOCK,Alexstrasza,LEGENDARY,HAND,287,60.98
PALADIN,The Curator,LEGENDARY,HAND,280,58.93
WARLOCK,Barnes,LEGENDARY,HAND,279,44.8
PALADIN,Leeroy Jenkins,LEGENDARY,HAND,264,76.52
