player_class,card_name,card_set,rarity,before_zone,times_played,win_percentage
DRUID,Aya Blackpaw,GANGS,LEGENDARY,HAND,173,64.16
DRUID,Fandral Staghelm,OG,LEGENDARY,HAND,256,54.69
DRUID,Ancient of War,EXPERT1,EPIC,HAND,243,51.03
MAGE,Alexstrasza,EXPERT1,LEGENDARY,HAND,182,65.93
MAGE,Manic Soulcaster,GANGS,EPIC,HAND,183,65.57
MAGE,Archmage Antonidas,EXPERT1,LEGENDARY,HAND,132,65.15
MAGE,Reno Jackson,LOE,LEGENDARY,HAND,358,60.06
MAGE,Brann Bronzebeard,LOE,LEGENDARY,HAND,342,57.6
MAGE,Emperor Thaurissan,BRM,LEGENDARY,HAND,214,57.01
MAGE,Kazakus,GANGS,LEGENDARY,HAND,477,55.97
MAGE,Bloodmage Thalnos,EXPERT1,LEGENDARY,HAND,386,53.63
MAGE,Doomsayer,EXPERT1,EPIC,HAND,443,53.5
MAGE,Dirty Rat,GANGS,EPIC,HAND,328,52.74
PRIEST,Kazakus,GANGS,LEGENDARY,HAND,104,63.46
PRIEST,Brann Bronzebeard,LOE,LEGENDARY,HAND,322,51.86
PRIEST,Twilight Guardian,TGT,EPIC,HAND,663,48.72
ROGUE,Leeroy Jenkins,EXPERT1,LEGENDARY,HAND,258,65.89
ROGUE,Edwin VanCleef,EXPERT1,LEGENDARY,HAND,658,55.78
ROGUE,Patches the Pirate,GANGS,LEGENDARY,DECK,1990,52.16
ROGUE,"Shaku, the Collector",GANGS,LEGENDARY,HAND,166,46.99
ROGUE,Bloodmage Thalnos,EXPERT1,LEGENDARY,HAND,454,46.48
ROGUE,Patches the Pirate,GANGS,LEGENDARY,HAND,217,36.87
SHAMAN,Patches the Pirate,GANGS,LEGENDARY,DECK,2779,55.27
SHAMAN,Aya Blackpaw,GANGS,LEGENDARY,HAND,495,54.34
SHAMAN,Doomhammer,EXPERT1,EPIC,HAND,184,50.54
SHAMAN,Barnes,KARA,LEGENDARY,HAND,110,49.09
SHAMAN,Bloodmage Thalnos,EXPERT1,LEGENDARY,HAND,832,48.56
SHAMAN,Sir Finley Mrrgglton,LOE,LEGENDARY,HAND,498,43.78
SHAMAN,Patches the Pirate,GANGS,LEGENDARY,HAND,335,40.6
WARLOCK,Leeroy Jenkins,EXPERT1,LEGENDARY,HAND,137,79.56
WARLOCK,Ragnaros the Firelord,EXPERT1,LEGENDARY,HAND,111,71.17
WARLOCK,Reno Jackson,LOE,LEGENDARY,HAND,374,66.31
WARLOCK,Emperor Thaurissan,BRM,LEGENDARY,HAND,367,63.22
WARLOCK,Faceless Shambler,OG,EPIC,HAND,256,60.16
WARLOCK,Mountain Giant,EXPERT1,EPIC,HAND,411,59.61
WARLOCK,Brann Bronzebeard,LOE,LEGENDARY,HAND,366,59.29
WARLOCK,Kazakus,GANGS,LEGENDARY,HAND,479,58.25
WARLOCK,Dirty Rat,GANGS,EPIC,HAND,391,53.71
WARLOCK,Doomsayer,EXPERT1,EPIC,HAND,414,52.66
WARLOCK,Sylvanas Windrunner,EXPERT1,LEGENDARY,HAND,242,52.48
WARRIOR,Grommash Hellscream,EXPERT1,LEGENDARY,HAND,135,57.78
WARRIOR,Justicar Trueheart,TGT,LEGENDARY,HAND,124,54.84
WARRIOR,Southsea Captain,EXPERT1,EPIC,HAND,177,54.24
WARRIOR,Patches the Pirate,GANGS,LEGENDARY,DECK,2416,53.15
WARRIOR,Twilight Guardian,TGT,EPIC,HAND,350,52.29
WARRIOR,Leeroy Jenkins,EXPERT1,LEGENDARY,HAND,130,50
WARRIOR,The Curator,KARA,LEGENDARY,HAND,114,49.12
WARRIOR,Elise Starseeker,LOE,LEGENDARY,HAND,122,48.36
WARRIOR,Sir Finley Mrrgglton,LOE,LEGENDARY,HAND,535,48.22
WARRIOR,Ragnaros the Firelord,EXPERT1,LEGENDARY,HAND,128,46.88
WARRIOR,Dirty Rat,GANGS,EPIC,HAND,180,46.67
WARRIOR,Patches the Pirate,GANGS,LEGENDARY,HAND,185,31.35
