player_class,card_name,card_set,rarity,before_zone,times_played,win_percentage
DRUID,Murloc Warleader,EXPERT1,EPIC,DECK,135,74.07
DRUID,Aviana,TGT,LEGENDARY,HAND,474,73.21
DRUID,C'Thun,OG,LEGENDARY,HAND,413,72.4
DRUID,Malygos,EXPERT1,LEGENDARY,HAND,341,72.14
DRUID,Kun the Forgotten King,GANGS,LEGENDARY,HAND,582,71.31
DRUID,Alexstrasza,EXPERT1,LEGENDARY,HAND,154,70.78
DRUID,Aya Blackpaw,GANGS,LEGENDARY,HAND,2886,66.98
DRUID,Brann Bronzebeard,LOE,LEGENDARY,HAND,2389,61.36
DRUID,Fandral Staghelm,OG,LEGENDARY,HAND,3841,59.57
DRUID,Twin Emperor Vek'lor,OG,LEGENDARY,HAND,247,59.11
DRUID,Arcane Giant,KARA,EPIC,HAND,1092,58.24
DRUID,Barnes,KARA,LEGENDARY,HAND,218,57.8
DRUID,Emperor Thaurissan,BRM,LEGENDARY,HAND,747,56.89
DRUID,Ragnaros the Firelord,EXPERT1,LEGENDARY,HAND,417,54.68
DRUID,Sylvanas Windrunner,EXPERT1,LEGENDARY,HAND,149,53.69
DRUID,Ancient of War,EXPERT1,EPIC,HAND,3381,51.4
DRUID,Bloodmage Thalnos,EXPERT1,LEGENDARY,HAND,1007,50.55
DRUID,Sir Finley Mrrgglton,LOE,LEGENDARY,HAND,205,50.24
DRUID,Doomsayer,EXPERT1,EPIC,HAND,599,49.92
DRUID,The Curator,KARA,LEGENDARY,HAND,152,47.37
DRUID,Murloc Warleader,EXPERT1,EPIC,HAND,133,45.86
HUNTER,Barnes,KARA,LEGENDARY,HAND,382,55.24
HUNTER,Ragnaros the Firelord,EXPERT1,LEGENDARY,HAND,212,46.23
HUNTER,Rat Pack,GANGS,EPIC,HAND,477,44.03
MAGE,"Medivh, the Guardian",KARA,LEGENDARY,HAND,1432,63.27
MAGE,Alexstrasza,EXPERT1,LEGENDARY,HAND,1749,61.18
