games_won,games_played,went_first,card_played,player_class
852,1334,TRUE,Mistress of Mixtures,MAGE
252,399,TRUE,Light's Justice,PALADIN
3,5,TRUE,Murloc Raider,WARRIOR
6,13,TRUE,Murloc Raider,HUNTER
32,66,TRUE,Elven Archer,MAGE
37,62,TRUE,Elven Archer,WARLOCK
16,34,TRUE,Elven Archer,ROGUE
154,254,TRUE,Noble Sacrifice,PALADIN
10,22,TRUE,Leper Gnome,PALADIN
4,13,TRUE,Leper Gnome,DRUID
92,147,TRUE,Southsea Deckhand,ROGUE
332,491,TRUE,Argent Squire,MAGE
6,15,TRUE,Shieldbearer,MAGE
294,423,TRUE,Worgen Infiltrator,WARLOCK
137,192,TRUE,Worgen Infiltrator,SHAMAN
130,269,TRUE,Mind Vision,PRIEST
35,58,TRUE,Young Priestess,ROGUE
102,152,TRUE,Young Priestess,WARLOCK
13,20,TRUE,Undertaker,HUNTER
27,39,TRUE,Cogmaster,SHAMAN
274,441,TRUE,Clockwork Gnome,MAGE
37,62,TRUE,Clockwork Gnome,DRUID
136,190,TRUE,Lowly Squire,WARLOCK
70,109,TRUE,Lowly Squire,SHAMAN
25,39,TRUE,Tournament Attendee,PRIEST
45,79,TRUE,Tournament Attendee,MAGE
36,54,TRUE,Injured Kvaldir,WARLOCK
58,89,TRUE,Gadgetzan Jouster,HUNTER
195,329,TRUE,Gadgetzan Jouster,MAGE
3,10,TRUE,Tentacle of N'Zoth,SHAMAN
39,70,TRUE,Arcane Anomaly,PRIEST
733,1104,TRUE,Swashburglar,ROGUE
414,587,TRUE,Malchezaar's Imp,WARLOCK
352,575,TRUE,Kabal Lackey,MAGE
625,953,TRUE,Alleycat,HUNTER
41,78,TRUE,Small-Time Buccaneer,PALADIN
18,34,TRUE,Small-Time Buccaneer,WARLOCK
68,109,TRUE,Small-Time Buccaneer,SHAMAN
992,1391,TRUE,Mistress of Mixtures,WARLOCK
478,732,TRUE,Mistress of Mixtures,PALADIN
4,7,TRUE,Counterspell,MAGE
1,3,TRUE,Wisp,PRIEST
4,10,TRUE,Abusive Sergeant,HUNTER
6,11,TRUE,Elven Archer,WARRIOR
6,12,TRUE,Young Dragonhawk,PALADIN
4,10,TRUE,Stonetusk Boar,PRIEST
0,2,TRUE,Sinister Strike,ROGUE
1,3,TRUE,Shieldbearer,ROGUE
17,27,TRUE,Lightwarden,PALADIN
21,38,TRUE,Dragon Egg,PALADIN
4,14,TRUE,Dragon Egg,SHAMAN
6,7,TRUE,Druid of the Flame,DRUID
44,74,TRUE,Lowly Squire,PRIEST
22,33,TRUE,Tournament Attendee,HUNTER
5,8,TRUE,Tournament Attendee,DRUID
24,36,TRUE,Tournament Attendee,ROGUE
23,51,TRUE,Sacred Trial,PALADIN
5,8,TRUE,Mounted Raptor,DRUID
78,139,TRUE,Bladed Cultist,ROGUE
8,15,TRUE,Tentacle of N'Zoth,PALADIN
0,4,TRUE,Tentacle of N'Zoth,HUNTER
11,17,TRUE,Arcane Anomaly,DRUID
45,68,TRUE,Arcane Anomaly,ROGUE
10,19,TRUE,Arcane Anomaly,WARRIOR
35,51,TRUE,Arcane Anomaly,HUNTER
8,12,TRUE,Runic Egg,SHAMAN
7,13,TRUE,Runic Egg,PRIEST
14,21,TRUE,Runic Egg,PALADIN
108,185,TRUE,Grimscale Chum,PALADIN
4,5,TRUE,Weasel Tunneler,PRIEST
7,13,TRUE,Weasel Tunneler,MAGE
40,73,TRUE,Small-Time Buccaneer,WARRIOR
9,15,TRUE,Small-Time Buccaneer,PRIEST
2,2,TRUE,Wisp,HUNTER
2,4,TRUE,Vaporize,MAGE
1,1,TRUE,Youthful Brewmaster,ROGUE
2,2,TRUE,Hungry Crab,SHAMAN
2,5,TRUE,Grimscale Oracle,MAGE
4,13,TRUE,Stonetusk Boar,SHAMAN
4,14,TRUE,Goldshire Footman,HUNTER
3,4,TRUE,Sir Finley Mrrgglton,WARRIOR
2842,6203,FALSE,NULL,DRUID
4379,8884,FALSE,NULL,HUNTER
14565,28377,FALSE,NULL,MAGE
2727,5570,FALSE,NULL,WARRIOR
0,1,TRUE,Pint-Sized Summoner,ROGUE
7,9,TRUE,Wisp,WARLOCK
0,3,TRUE,Murloc Tidecaller,DRUID
6,9,TRUE,Murloc Tidecaller,ROGUE
1,7,TRUE,Ice Barrier,MAGE
2,6,TRUE,Lightwarden,DRUID
2,2,TRUE,Target Dummy,WARLOCK
0,1,TRUE,Micro Machine,ROGUE
2,4,TRUE,Sir Finley Mrrgglton,DRUID
2,2,TRUE,Forbidden Ritual,WARLOCK
2,2,TRUE,Abusive Sergeant,DRUID
1,1,TRUE,Shieldbearer,DRUID
1,1,TRUE,Undercity Huckster,ROGUE
2,3,TRUE,Ice Block,MAGE
1,2,TRUE,Grimscale Oracle,WARRIOR
1,1,TRUE,Razorfen Hunter,DRUID
1,1,TRUE,Silent Knight,DRUID
1,1,TRUE,Evolve,SHAMAN
1,1,TRUE,Gadgetzan Ferryman,ROGUE
0,2,TRUE,Soulfire,WARLOCK
1,2,TRUE,Target Dummy,MAGE
0,1,TRUE,Weasel Tunneler,WARRIOR
1,2,TRUE,Jade Swarmer,ROGUE
0,2,TRUE,Grimscale Oracle,WARLOCK
0,2,TRUE,Patches the Pirate,SHAMAN
1,1,TRUE,Friendly Bartender,ROGUE
954,1359,TRUE,Voidwalker,WARLOCK
12,20,TRUE,Secretkeeper,HUNTER
10,22,TRUE,Elven Archer,PRIEST
