games_won,games_played,went_first,card_played,player_class
296,561,FALSE,NULL,WARLOCK
252,475,FALSE,NULL,MAGE
179,334,FALSE,NULL,PRIEST
193,318,TRUE,NULL,WARLOCK
186,310,TRUE,NULL,MAGE
162,277,TRUE,NULL,PRIEST
126,267,FALSE,NULL,ROGUE
123,255,FALSE,NULL,SHAMAN
130,248,FALSE,NULL,PALADIN
101,207,FALSE,NULL,HUNTER
109,180,TRUE,NULL,ROGUE
95,177,TRUE,NULL,PALADIN
97,167,TRUE,NULL,SHAMAN
77,143,FALSE,NULL,WARRIOR
65,117,TRUE,NULL,HUNTER
46,97,FALSE,NULL,DRUID
42,82,TRUE,NULL,WARRIOR
42,77,TRUE,NULL,DRUID
36,44,TRUE,Voidwalker,WARLOCK
28,41,TRUE,Mistress of Mixtures,WARLOCK
22,36,TRUE,Flame Imp,WARLOCK
26,36,TRUE,Possessed Villager,WARLOCK
13,33,TRUE,Mistress of Mixtures,MAGE
18,32,TRUE,Alleycat,HUNTER
17,28,TRUE,Mana Wyrm,MAGE
15,26,TRUE,Babbling Book,MAGE
15,24,TRUE,Swashburglar,ROGUE
12,23,TRUE,Northshire Cleric,PRIEST
17,20,TRUE,Buccaneer,ROGUE
14,19,TRUE,Webspinner,HUNTER
14,19,TRUE,Tunnel Trogg,SHAMAN
10,17,TRUE,Mistress of Mixtures,PRIEST
11,16,TRUE,Zombie Chow,ROGUE
10,16,TRUE,Smuggler's Run,PALADIN
11,15,TRUE,Zombie Chow,PALADIN
12,15,TRUE,Zombie Chow,PRIEST
10,15,TRUE,Avenge,PALADIN
12,14,TRUE,Spirit Claws,SHAMAN
9,13,TRUE,Zombie Chow,WARLOCK
11,13,TRUE,Living Roots,DRUID
12,13,TRUE,Fiery Bat,HUNTER
11,13,TRUE,Malchezaar's Imp,WARLOCK
8,13,TRUE,Mistress of Mixtures,PALADIN
5,12,TRUE,N'Zoth's First Mate,WARRIOR
10,12,TRUE,Argent Squire,MAGE
8,12,TRUE,Worgen Infiltrator,WARLOCK
6,11,TRUE,Worgen Infiltrator,HUNTER
5,10,TRUE,Zombie Chow,MAGE
2,10,TRUE,Mistress of Mixtures,SHAMAN
9,10,TRUE,Pit Snake,ROGUE
6,10,TRUE,Kabal Lackey,MAGE
8,9,TRUE,Worgen Infiltrator,ROGUE
7,9,TRUE,Worgen Infiltrator,MAGE
5,9,TRUE,Zombie Chow,SHAMAN
7,9,TRUE,Clockwork Gnome,MAGE
9,9,TRUE,Twilight Whelp,PRIEST
7,8,TRUE,Argent Squire,SHAMAN
5,8,TRUE,Argent Squire,PRIEST
5,8,TRUE,Mistress of Mixtures,HUNTER
6,8,TRUE,Blood Imp,WARLOCK
6,8,TRUE,Zombie Chow,DRUID
5,7,TRUE,Argent Squire,HUNTER
4,7,TRUE,Raven Idol,DRUID
5,7,TRUE,I Know a Guy,WARRIOR
