player_class,card_name,times_played,wins,win_pc
SHAMAN,Totemic Call,2946109,1392627,0.472700433
MAGE,Fireblast,1593324,798307,0.5010324328
WARLOCK,Life Tap,1368534,705264,0.5153426952
DRUID,Shapeshift,1268207,630658,0.4972831722
PRIEST,Lesser Heal,1207377,598755,0.4959138695
ROGUE,Dagger Mastery,1176005,522314,0.4441426695
SHAMAN,Totemic Call,1061669,505879,0.4764940862
WARRIOR,Armor Up!,1019979,371396,36.41%
SHAMAN,Jade Claws,975433,530927,0.5442987883
SHAMAN,Spirit Claws,865936,459957,0.5311674304
SHAMAN,Jade Lightning,835669,456259,0.5459805258
SHAMAN,Maelstrom Portal,790492,401866,0.5083745313
SHAMAN,Flametongue Totem,679675,391263,0.5756618972
SHAMAN,Tunnel Trogg,679359,363944,0.5357167565
SHAMAN,Totem Golem,678272,344268,0.5075662861
SHAMAN,Small-Time Buccaneer,676196,360958,0.5338067661
SHAMAN,Azure Drake,624453,333010,0.533282729
WARRIOR,Fiery War Axe,563382,291714,51.78%
DRUID,Jade Idol,556228,322557,0.5799006882
SHAMAN,The Coin,545364,274734,0.5037626246
SHAMAN,Lightning Bolt,532608,271463,0.5096862984
SHAMAN,Feral Spirit,501930,243528,0.4851831929
WARRIOR,Small-Time Buccaneer,489342,250713,51.23%
WARRIOR,N'Zoth's First Mate,465282,243912,52.42%
DRUID,Wrath,438511,222349,0.5070545551
SHAMAN,Hex,431781,209986,0.4863252436
DRUID,Innervate,418476,222664,0.5320830824
DRUID,Swipe,413949,216339,0.522622352
PRIEST,Drakonid Operative,411621,227700,0.5531787737
ROGUE,Backstab,410830,204880,0.4986977582
SHAMAN,Jade Spirit,406698,226811,0.5576889977
PRIEST,Lesser Heal,392344,201527,0.5136487368
SHAMAN,Flamewreathed Faceless,388370,196108,0.5049514638
WARRIOR,Frothing Berserker,386456,192689,49.86%
SHAMAN,Thing from Below,385669,202011,0.5237937195
WARRIOR,Kor'kron Elite,378936,195081,51.48%
SHAMAN,Lightning Storm,378868,178681,0.4716180833
DRUID,Wild Growth,376139,195312,0.5192548499
ROGUE,The Coin,372170,189202,0.5083752049
DRUID,Living Roots,369054,188904,0.511860053
ROGUE,Eviscerate,367990,187985,0.5108426859
DRUID,Jade Blossom,366118,210002,0.573591028
SHAMAN,Southsea Deckhand,362471,188708,0.5206154423
ROGUE,Small-Time Buccaneer,356464,181454,0.5090387809
ROGUE,Swashburglar,352771,175173,0.4965629261
PRIEST,Netherspite Historian,352531,181795,0.5156851454
PRIEST,Power Word: Shield,350993,179461,0.5112950971
PRIEST,Wyrmrest Agent,350107,178244,0.5091129283
SHAMAN,Bloodmage Thalnos,340591,178564,0.5242769187
WARRIOR,Upgrade!,339895,172238,50.67%
PRIEST,Northshire Cleric,336316,173745,0.5166123527
SHAMAN,Mana Tide Totem,334714,183609,0.5485548857
WARRIOR,The Coin,332027,175893,52.98%
SHAMAN,Jinyu Waterspeaker,330434,167818,0.507871466
WARRIOR,Southsea Deckhand,328388,164107,49.97%
WARRIOR,Bloodsail Raider,328329,165560,50.43%
SHAMAN,Lava Burst,327082,181107,0.5537051871
PRIEST,Twilight Whelp,324668,168196,0.5180553673
PRIEST,Twilight Guardian,321751,161366,0.5015244708
DRUID,Nourish,319966,177264,0.5540088634
DRUID,Jade Behemoth,319874,180119,0.5630935931
PRIEST,Kabal Talonpriest,318297,171063,0.537432021
DRUID,Jade Spirit,306306,171848,0.5610337375
MAGE,Fireball,300512,171409,0.570389868
SHAMAN,Jade Chieftain,297971,170018,0.5705857281
PRIEST,Shadow Word: Pain,297255,146062,0.491369363
DRUID,Azure Drake,297041,160623,0.5407435337
DRUID,Feral Rage,296035,153666,0.5190805141
WARRIOR,Bloodsail Cultist,293846,161412,54.93%
ROGUE,Azure Drake,292058,144281,0.4940148875
WARRIOR,Dread Corsair,290495,146717,50.51%
SHAMAN,Aya Blackpaw,288449,165365,0.5732902523
PRIEST,Blackwing Corruptor,282560,152134,0.5384130804
PALADIN,Reinforce,282173,126840,0.4495114699
ROGUE,Tomb Pillager,280419,142219,0.5071660622
MAGE,Frostbolt,266288,133961,0.5030681067
WARRIOR,Arcanite Reaper,259220,130469,50.33%
PRIEST,Shadow Word: Death,258668,123031,0.4756328576
WARRIOR,Heroic Strike,256783,127951,49.83%
ROGUE,Fan of Knives,250408,119436,0.4769655922
ROGUE,Preparation,247237,131770,0.5329703887
WARLOCK,Dark Peddler,243160,124215,0.5108364863
ROGUE,Cold Blood,241352,140293,0.5812796248
PRIEST,Azure Drake,231156,117533,0.5084574919
WARLOCK,Mortal Coil,230455,122753,0.5326549652
WARLOCK,Twilight Drake,218104,121473,0.5569498955
MAGE,Arcane Intellect,216287,105724,0.4888134747
WARLOCK,Imp Gang Boss,215882,113146,0.5241103936
PRIEST,The Coin,215629,103822,0.4814844014
DRUID,The Coin,212830,103822,0.4878165672
WARRIOR,Tank Up!,212218,104019,49.02%
WARLOCK,Kazakus,211085,118005,0.5590401971
WARRIOR,Sir Finley Mrrgglton,210946,110767,52.51%
WARLOCK,Shadow Bolt,210361,108222,0.5144584785
MAGE,Forgotten Torch,206607,102244,0.4948719066
MAGE,The Coin,203495,101420,0.4983906238
WARLOCK,The Coin,202449,98505,0.4865669872
MAGE,Babbling Book,199560,97925,0.49070455
DRUID,Raven Idol,199528,99113,0.4967373
WARLOCK,Mistress of Mixtures,198526,102070,0.5141392059
MAGE,Arcane Blast,197481,98756,0.5000784886
WARLOCK,Doomsayer,188588,91789,0.4867170764
SHAMAN,Devolve,185874,84545,0.4548511357
WARLOCK,INFERNO!,185846,126638,0.6814136436
ROGUE,Sap,185498,88785,0.4786304974
WARLOCK,Acidic Swamp Ooze,182536,96138,0.5266796687
WARLOCK,Second-Rate Bruiser,181260,93195,0.5141509434
WARLOCK,Dirty Rat,179615,92228,0.513476046
ROGUE,SI:7 Agent,177974,86448,0.4857338712
MAGE,Firelands Portal,177206,95339,0.5380122569
PRIEST,Holy Nova,177022,91115,0.514710036
WARLOCK,Refreshment Vendor,176515,92009,0.5212531513
MAGE,Kazakus,172357,94680,0.5493249476
MAGE,Fireblast,172183,86850,0.5044051968
MAGE,Azure Drake,170641,88654,0.5195351645
WARLOCK,Earthen Ring Farseer,170273,90274,0.5301721353
ROGUE,Gadgetzan Auctioneer,169894,88157,0.518894134
PRIEST,Brann Bronzebeard,169498,92218,0.5440654167
WARLOCK,Hellfire,167960,87773,0.5225827578
ROGUE,Edwin VanCleef,167364,92367,0.5518928802
WARLOCK,Brann Bronzebeard,165746,94299,0.5689368069
MAGE,Doomsayer,162411,78432,0.4829229547
WARLOCK,Reno Jackson,158695,102375,0.6451053908
MAGE,Water Elemental,158076,81841,0.517731977
WARLOCK,Emperor Thaurissan,158068,97067,0.614083812
WARLOCK,Mountain Giant,157109,94135,0.599170003
DRUID,Fandral Staghelm,156113,89340,0.5722777732
WARLOCK,Siphon Soul,155631,82445,0.5297466443
ROGUE,Counterfeit Coin,154514,80462,0.520742457
MAGE,Blizzard,152181,72094,0.4737385087
MAGE,Flamestrike,151574,78139,0.5155171731
WARLOCK,Demonwrath,150455,75657,0.5028546742
MAGE,Bloodmage Thalnos,150012,76275,0.5084593233
WARRIOR,Mortal Strike,149942,78021,52.03%
MAGE,Volcanic Potion,149647,72256,0.4828429571
MAGE,Ice Block,148372,67102,0.4522551425
WARLOCK,Abyssal Enforcer,147429,88294,0.5988916699
SHAMAN,Brann Bronzebeard,147355,86584,0.5875877982
ROGUE,Conceal,146665,76290,0.5201650019
MAGE,Kabal Courier,144672,71522,0.4943734793
HUNTER,Steady Shot,144467,60065,0.4157696913
DRUID,Aya Blackpaw,137924,89763,0.6508149416
SHAMAN,Sir Finley Mrrgglton,136117,67170,0.4934725273
DRUID,Druid of the Claw,135154,67096,0.4964410968
ROGUE,Questing Adventurer,135106,69999,0.5181043033
SHAMAN,Patches the Pirate,134741,55945,0.4152039839
DRUID,Gadgetzan Auctioneer,134699,80266,0.5958915805
WARRIOR,Southsea Captain,134432,69786,51.91%
