predator_class,predator_name,num_patches_killed
SHAMAN,Thrall,98335
WARRIOR,Garrosh Hellscream,74678
ROGUE,Backstab,69717
SHAMAN,Maelstrom Portal,69246
SHAMAN,Lightning Storm,63062
DRUID,Living Roots,50039
WARLOCK,Demonwrath,47643
SHAMAN,Lightning Bolt,42832
DRUID,Wrath,37613
SHAMAN,Morgl the Oracle,36113
WARLOCK,Hellfire,35398
MAGE,Volcanic Potion,34662
MAGE,Arcane Blast,32593
DRUID,Swipe,28598
PRIEST,Holy Nova,27355
ROGUE,Valeera Sanguinar,21920
MAGE,Blizzard,19279
MAGE,Fireblast,19263
MAGE,Frostbolt,18139
ROGUE,SI:7 Agent,17252
SHAMAN,Spirit Wolf,16784
SHAMAN,Totem Golem,15806
ROGUE,Fan of Knives,15298
WARRIOR,Patches the Pirate,14927
MAGE,Flamestrike,14916
SHAMAN,Patches the Pirate,13951
WARLOCK,Abyssal Enforcer,13595
WARLOCK,Shadowflame,12864
PRIEST,Dragonfire Potion,12557
WARRIOR,Southsea Deckhand,12145
PALADIN,Consecration,11884
SHAMAN,Jade Lightning,11759
MAGE,Forgotten Torch,11735
PRIEST,Blackwing Corruptor,11558
DRUID,Malfurion Stormrage,11519
PRIEST,Twilight Whelp,11483
ROGUE,Eviscerate,11371
PRIEST,Wyrmrest Agent,11075
SHAMAN,Southsea Deckhand,10202
SHAMAN,Tunnel Trogg,9646
PRIEST,Excavated Evil,8558
WARRIOR,Slam,8275
PRIEST,Twilight Guardian,7656
WARLOCK,Kazakus Potion,7026
WARLOCK,Imp Gang Boss,6640
SHAMAN,Small-Time Buccaneer,6201
SHAMAN,Jade Golem,5974
MAGE,Forbidden Flame,5763
WARRIOR,Bloodsail Raider,5688
WARRIOR,Bash,5669
WARLOCK,Shadow Bolt,5649
MAGE,Kazakus Potion,5615
WARRIOR,Magni Bronzebeard,5431
DRUID,Jade Spirit,5428
WARRIOR,Kor'kron Elite,5427
PRIEST,Kabal Talonpriest,5206
DRUID,Jade Golem,5171
PRIEST,Holy Smite,5105
WARRIOR,Ravaging Ghoul,5089
DRUID,Jade Behemoth,5067
ROGUE,Jade Shuriken,4931
WARLOCK,Second-Rate Bruiser,4839
PALADIN,Bluegill Warrior,4818
SHAMAN,Jinyu Waterspeaker,4748
WARLOCK,Dirty Rat,4664
WARRIOR,Frothing Berserker,4543
WARRIOR,Blackwing Corruptor,4495
WARRIOR,Small-Time Buccaneer,4487
PALADIN,Wild Pyromancer,4392
SHAMAN,Flamewreathed Faceless,4284
ROGUE,Patches the Pirate,4255
WARRIOR,Alexstrasza's Champion,4028
WARRIOR,Revenge,3979
MAGE,Arcane Missiles,3910
WARRIOR,Dread Corsair,3890
ROGUE,Small-Time Buccaneer,3889
SHAMAN,Jade Spirit,3859
WARLOCK,Kazakus Potion,3644
WARLOCK,Dark Peddler,3593
DRUID,Jade Golem,3405
WARLOCK,Mistress of Mixtures,3337
WARRIOR,Bloodsail Cultist,3336
WARLOCK,Refreshment Vendor,3263
PRIEST,Northshire Cleric,3253
WARLOCK,Twilight Drake,3192
ROGUE,Argent Horserider,3158
WARLOCK,Mortal Coil,3111
ROGUE,Southsea Deckhand,3095
SHAMAN,Thing from Below,3041
DRUID,Ancient of War,3004
WARLOCK,Soulfire,2935
SHAMAN,Jade Golem,2879
WARLOCK,Acidic Swamp Ooze,2858
MAGE,Dirty Rat,2811
SHAMAN,Healing Totem,2798
SHAMAN,Azure Drake,2797
PRIEST,Netherspite Historian,2775
DRUID,Disciple of C'Thun,2626
PRIEST,Drakonid Operative,2603
HUNTER,Quick Shot,2597
MAGE,Flamewaker,2554
WARLOCK,Kazakus,2517
SHAMAN,Elemental Destruction,2494
SHAMAN,Jade Golem,2488
WARLOCK,Earthen Ring Farseer,2406
WARRIOR,N'Zoth's First Mate,2373
WARRIOR,Shield Slam,2321
SHAMAN,Searing Totem,2312
PALADIN,Uther Lightbringer,2298
ROGUE,Tomb Pillager,2266
PRIEST,Kazakus Potion,2252
HUNTER,Explosive Trap,2168
DRUID,Moonfire,2162
DRUID,Druid of the Claw,2150
WARLOCK,Felfire Potion,2139
DRUID,Azure Drake,2138
MAGE,Kazakus Potion,2105
SHAMAN,Lava Shock,2081
DRUID,Fandral Staghelm,2074
WARLOCK,Reno Jackson,2050
WARRIOR,Twilight Guardian,2017
MAGE,Water Elemental,2014
PRIEST,Blackwing Technician,2007
DRUID,Sapling,1994
MAGE,Fireblast,1951
WARRIOR,Argent Horserider,1896
MAGE,Kazakus,1883
WARRIOR,Fireblast,1842
WARLOCK,Brann Bronzebeard,1841
PRIEST,Brann Bronzebeard,1802
WARRIOR,Sir Finley Mrrgglton,1795
ROGUE,Azure Drake,1793
WARRIOR,Sleep with the Fishes,1792
WARRIOR,Fierce Monkey,1743
MAGE,Acidic Swamp Ooze,1725
