"player_class","card_name","times_played","wins"
"DRUID","Shapeshift",742071,368264
"SHAMAN","Totemic Call",696637,333872
"WARLOCK","Life Tap",477786,231252
"ROGUE","Dagger Mastery",469123,211057
"MAGE","Fireblast",421557,200284
"PRIEST","Lesser Heal",336840,166758
"WARRIOR","Armor Up!",331203,121379
"DRUID","Jade Idol",324478,187164
"DRUID","Innervate",275532,149282
"DRUID","Wrath",274708,141384
"DRUID","Swipe",257976,137080
"SHAMAN","Totemic Call",245411,117468
"DRUID","Wild Growth",245309,128488
"SHAMAN","Jade Claws",243386,133421
"DRUID","Jade Blossom",230562,133197
"DRUID","Living Roots",220180,114389
"WARRIOR","Fiery War Axe",215034,114191
"SHAMAN","Jade Lightning",207460,114072
"DRUID","Nourish",206792,112926
"SHAMAN","Maelstrom Portal",206212,106595
"DRUID","Jade Behemoth",199033,112819
"DRUID","Azure Drake",195367,105662
"SHAMAN","Tunnel Trogg",193752,104585
"DRUID","Jade Spirit",192673,108249
"SHAMAN","Totem Golem",192664,98500
"DRUID","Feral Rage",188811,98660
"WARRIOR","N'Zoth's First Mate",186609,103465
"ROGUE","Backstab",180126,90191
"ROGUE","The Coin",162072,82861
"WARRIOR","Frothing Berserker",160403,82406
"ROGUE","Eviscerate",158332,81154
"SHAMAN","Hex",153455,73917
"ROGUE","Swashburglar",152734,77574
"WARRIOR","Kor'kron Elite",151447,79755
"SHAMAN","Azure Drake",151327,80235
"WARRIOR","Southsea Deckhand",147566,78389
"SHAMAN","Flametongue Totem",145300,84545
"PRIEST","Drakonid Operative",142579,79123
"WARRIOR","Bloodsail Raider",140576,75401
"SHAMAN","Jade Spirit",138028,75679
"WARRIOR","Upgrade!",137701,72890
"SHAMAN","Lightning Storm",135610,63821
"DRUID","The Coin",135089,68390
"SHAMAN","Mana Tide Totem",131973,71170
"SHAMAN","Thing from Below",131663,68641
"WARRIOR","The Coin",131565,72565
"DRUID","Raven Idol",131086,66048
"ROGUE","Azure Drake",129095,63315
"SHAMAN","The Coin",124444,60111
"WARRIOR","Dread Corsair",123697,67219
"WARRIOR","Bloodsail Cultist",122477,70633
"PRIEST","Lesser Heal",121975,61422
"PRIEST","Wyrmrest Agent",121149,62622
"PRIEST","Netherspite Historian",120822,63191
"PRIEST","Power Word: Shield",120111,62154
"PRIEST","Northshire Cleric",118228,62680
"PRIEST","Twilight Whelp",114622,60806
"PRIEST","Kabal Talonpriest",111935,61324
"PRIEST","Twilight Guardian",111196,56772
"SHAMAN","Lightning Bolt",111103,56161
"ROGUE","Tomb Pillager",110762,56655
"WARLOCK","Dark Peddler",106723,53444
"WARRIOR","Arcanite Reaper",106308,55658
"DRUID","Fandral Staghelm",105410,60554
"MAGE","Fireball",105187,58422
"WARRIOR","Heroic Strike",104517,54703
"ROGUE","Fan of Knives",104196,49699
"MAGE","Frostbolt",103497,52036
"SHAMAN","Feral Spirit",103280,49416
"ROGUE","Preparation",103140,55085
"SHAMAN","Jinyu Waterspeaker",102996,50844
"PALADIN","Reinforce",102868,45813
"PRIEST","Blackwing Corruptor",98102,53249
"WARLOCK","Imp Gang Boss",93989,47943
"PRIEST","Shadow Word: Pain",93219,46635
"SHAMAN","Jade Chieftain",93196,52603
"ROGUE","Cold Blood",92734,54122
"MAGE","Arcane Intellect",92331,44242
"DRUID","Aya Blackpaw",91437,59203
"WARRIOR","Sir Finley Mrrgglton",91048,49459
"DRUID","Gadgetzan Auctioneer",88471,52641
"DRUID","Ancient of War",87516,45455
"PRIEST","Shadow Word: Death",85603,40661
"DRUID","Excess Mana",80321,44959
"ROGUE","SI:7 Agent",80237,39635
"WARLOCK","The Coin",79472,38659
"WARLOCK","Voidwalker",77623,37681
"SHAMAN","Aya Blackpaw",75699,45739
"PRIEST","Azure Drake",75504,37884
"ROGUE","Edwin VanCleef",75161,41932
"WARLOCK","Mortal Coil",73429,38168
"WARRIOR","Southsea Captain",73167,40181
"ROGUE","Sap",72466,34750
