"player_class","card_name","times_played","wins"
"SHAMAN","Totemic Call",2182538,1031692
"MAGE","Fireblast",1155369,578993
"WARLOCK","Life Tap",1051903,543373
"PRIEST","Lesser Heal",915062,453969
"DRUID","Shapeshift",900466,447740
"ROGUE","Dagger Mastery",844917,373453
"WARRIOR","Armor Up!",750916,272796
"SHAMAN","Totemic Call",714206,340544
"SHAMAN","Jade Claws",628270,341597
"SHAMAN","Spirit Claws",581272,308642
"SHAMAN","Jade Lightning",545212,297679
"SHAMAN","Maelstrom Portal",531208,269846
"SHAMAN","Flametongue Totem",479017,275725
"SHAMAN","Totem Golem",465985,236224
"SHAMAN","Tunnel Trogg",460540,246205
"SHAMAN","Azure Drake",450203,240147
"WARRIOR","Fiery War Axe",428763,221746
"SHAMAN","Small-Time Buccaneer",426079,227085
"SHAMAN","Lightning Bolt",398909,202971
"SHAMAN","Feral Spirit",388347,188087
"SHAMAN","The Coin",379470,191177
"DRUID","Jade Idol",368131,213649
"DRUID","Swipe",327317,171066
"DRUID","Innervate",326022,173565
"SHAMAN","Hex",317994,154723
"ROGUE","Backstab",316346,157547
"DRUID","Wrath",315702,160089
"WARRIOR","N'Zoth's First Mate",315212,165418
"WARRIOR","Small-Time Buccaneer",309641,158610
"WARRIOR","Kor'kron Elite",299656,154252
"WARRIOR","Frothing Berserker",288820,143983
"SHAMAN","Lightning Storm",285723,134806
"PRIEST","Drakonid Operative",274461,151744
"SHAMAN","Jade Spirit",269056,149784
"DRUID","Wild Growth",267522,138848
"SHAMAN","Southsea Deckhand",265742,138252
"SHAMAN","Thing from Below",264711,138515
"PRIEST","Power Word: Shield",264538,135144
"SHAMAN","Flamewreathed Faceless",259141,130614
"ROGUE","Eviscerate",257268,131095
"DRUID","Living Roots",256134,131368
"WARRIOR","Upgrade!",255742,129474
"SHAMAN","Mana Tide Totem",255314,140046
"ROGUE","The Coin",254584,129127
"DRUID","Nourish",252301,139709
"PRIEST","Lesser Heal",249076,127647
"SHAMAN","Bloodmage Thalnos",248178,130169
"PRIEST","Wyrmrest Agent",245927,125028
"WARRIOR","Southsea Deckhand",242537,121088
"PRIEST","Netherspite Historian",238668,122889
"DRUID","Jade Blossom",238296,136856
"PRIEST","Northshire Cleric",237524,122516
"WARRIOR","Bloodsail Raider",232208,117083
"WARRIOR","The Coin",232151,122862
"MAGE","Fireball",231797,132291
"ROGUE","Swashburglar",230969,114387
"SHAMAN","Lava Burst",229893,127304
"PRIEST","Twilight Whelp",228097,117943
"PRIEST","Twilight Guardian",225781,113041
"SHAMAN","Jinyu Waterspeaker",223308,113524
"ROGUE","Small-Time Buccaneer",222707,113275
"DRUID","Azure Drake",214788,116149
"PALADIN","Reinforce",211624,94823
"PRIEST","Kabal Talonpriest",211176,113328
"PRIEST","Shadow Word: Pain",210045,103295
"WARRIOR","Dread Corsair",206595,104301
"ROGUE","Azure Drake",205536,101374
"DRUID","Feral Rage",202711,105275
"DRUID","Jade Behemoth",201158,113127
"WARRIOR","Arcanite Reaper",199813,100613
"DRUID","Jade Spirit",199466,112142
"SHAMAN","Jade Chieftain",199115,113646
"PRIEST","Blackwing Corruptor",198678,106614
"MAGE","Frostbolt",198403,99686
"WARRIOR","Bloodsail Cultist",198287,108870
"ROGUE","Tomb Pillager",190036,96109
"ROGUE","Cold Blood",189609,110270
"SHAMAN","Aya Blackpaw",184820,106002
"ROGUE","Fan of Knives",183380,87063
"PRIEST","Shadow Word: Death",182699,86854
"WARRIOR","Heroic Strike",181643,90329
"ROGUE","Preparation",172360,91773
