player_class,card_name,times_played,times_won,num_games,win_rate
DRUID,Shapeshift,218776,96441,74683,44.08
DRUID,Jungle Giants,85841,35544,84663,41.4
DRUID,Elder Longneck,64618,29846,48497,46.18
DRUID,Innervate,64424,29849,50109,46.33
DRUID,Wrath,62017,27675,46933,44.62
DRUID,Swipe,56909,26180,44089,46
DRUID,Wild Growth,56896,26550,43615,46.66
DRUID,Tortollan Forager,51790,23593,39552,45.55
DRUID,Shellshifter,48621,22658,38033,46.6
DRUID,Nourish,42287,21556,33533,50.97
DRUID,The Coin,38187,15560,38170,40.74
DRUID,Barnabus the Stomper,33043,20420,32611,61.79
DRUID,Verdant Longneck,30489,14083,24434,46.19
DRUID,Menagerie Warden,28604,17219,22997,60.19
DRUID,Ancient of War,28428,14607,23421,51.38
DRUID,Stranglethorn Tiger,24746,12643,19785,51.09
DRUID,Earthen Scales,23654,11424,18727,48.29
DRUID,Feral Rage,18037,7902,14612,43.8
DRUID,Celestial Dreamer,17790,9209,14342,51.76
DRUID,Mark of Y'Shaarj,16735,8059,13095,48.15
DRUID,Excess Mana,15382,8324,12860,54.11
DRUID,Dark Arakkoa,13871,7171,10999,51.69
DRUID,Volcanosaur,12794,6278,11162,49.06
DRUID,Jade Idol,11029,5285,5908,47.91
DRUID,Giant Anaconda,10896,5586,9555,51.26
DRUID,Jade Blossom,9636,4589,7356,47.62
DRUID,Enchanted Raven,9189,3819,7206,41.56
DRUID,Druid of the Claw,9153,3997,7418,43.66
DRUID,Fandral Staghelm,7927,3922,7891,49.47
DRUID,Kun the Forgotten King,6713,4039,6625,60.16
DRUID,Cenarius,6573,3844,6520,58.48
DRUID,Mire Keeper,6561,3131,5500,47.72
DRUID,Lotus Agents,6494,3110,5309,47.89
DRUID,Coldlight Oracle,6188,2897,5604,46.81
DRUID,The Curator,6143,3191,6123,51.94
DRUID,Jade Behemoth,5931,2865,4562,48.3
DRUID,Tyrantus,5897,3646,5873,61.82
DRUID,Jade Spirit,5659,2728,4292,48.2
DRUID,Alexstrasza,5375,3432,5347,63.85
DRUID,Ironbark Protector,5285,2602,4496,49.23
DRUID,Moonglade Portal,5017,2179,4346,43.43
DRUID,Lunar Visions,4913,2221,4310,45.2
DRUID,Elise the Trailblazer,4780,2398,4696,50.16
DRUID,Bittertide Hydra,4460,2278,3923,51.07
DRUID,Sunfury Protector,3648,1675,3554,45.91
DRUID,Charged Devilsaur,3531,1846,3149,52.27
DRUID,Aya Blackpaw,3473,1974,3425,56.83
DRUID,Naturalize,3100,1174,2756,37.87
DRUID,Gadgetzan Auctioneer,2919,1586,2577,54.33
DRUID,Bog Creeper,2741,1421,2308,51.84
DRUID,Ancient of Lore,2695,1385,2347,51.39
DRUID,Bloodmage Thalnos,2553,1184,2547,46.37
DRUID,Soggoth the Slitherer,2330,1250,2314,53.64
DRUID,Magma Rager,2322,890,1901,38.32
DRUID,Evolving Spores,2214,1016,2076,45.88
DRUID,Giant Wasp,2032,880,1680,43.3
DRUID,"Y'Shaarj, Rage Unbound",1866,1193,1853,63.93
DRUID,Tar Creeper,1850,832,1505,44.97
DRUID,Doomsayer,1743,650,1471,37.29
DRUID,Giant Mastodon,1592,854,1461,53.64
DRUID,Arcane Giant,1586,887,1250,55.92
DRUID,Harrison Jones,1536,779,1529,50.71
DRUID,C'Thun,1513,977,1466,64.57
DRUID,Loot Hoarder,1495,629,1201,42.07
DRUID,Ysera,1461,958,1445,65.57
DRUID,Mark of the Wild,1412,582,1242,41.21
DRUID,Prince Malchezaar,1400,646,1383,46.14
DRUID,Disciple of C'Thun,1341,585,1064,43.62
DRUID,Power of the Wild,1320,572,1134,43.33
DRUID,Deathwing,1314,563,1304,42.84
DRUID,Un'Goro Pack,1236,734,1220,59.38
DRUID,Ancient Brewmaster,1162,532,1004,45.78
DRUID,King Mukla,1141,546,1136,47.85
DRUID,Starfall,1133,425,1057,37.51
DRUID,Starfire,1102,492,982,44.64
DRUID,Sabretooth Stalker,1060,479,989,45.18
DRUID,Stubborn Gastropod,1035,386,857,37.29
DRUID,Devilsaur Egg,1023,416,851,40.66
DRUID,Bright-Eyed Scout,1008,501,861,49.7
DRUID,"Hemet, Jungle Hunter",988,537,985,54.35
DRUID,Moonfire,984,460,767,46.74
DRUID,"Genzo, the Shark",983,498,973,50.66
DRUID,Bananas,958,522,537,54.48
DRUID,Defender of Argus,926,448,840,48.38
DRUID,"Yogg-Saron, Hope's End",914,428,884,46.82
DRUID,Beckoner of Evil,912,431,718,47.25
DRUID,Booty Bay Bodyguard,893,326,806,36.5
DRUID,Golakka Crawler,829,358,722,43.18
DRUID,Tortollan Primalist,779,347,742,44.54
DRUID,Vicious Fledgling,772,359,662,46.5
DRUID,Healing Touch,768,228,693,29.68
DRUID,C'Thun's Chosen,742,360,603,48.51
DRUID,Acolyte of Pain,736,349,629,47.41
DRUID,Baron Geddon,727,403,721,55.43
DRUID,Worgen Greaser,679,287,619,42.26
DRUID,Stonehill Defender,662,285,541,43.05
DRUID,Skeram Cultist,646,338,569,52.32
DRUID,Pterrordax Hatchling,625,233,545,37.28
DRUID,Twilight Elder,621,275,502,44.28
DRUID,Sated Threshadon,599,302,562,50.41
DRUID,Barnes,587,262,586,44.63
DRUID,Gluttonous Ooze,569,248,552,43.58
DRUID,Doomcaller,565,317,531,56.1
DRUID,Primordial Drake,532,317,497,59.58
DRUID,Virmen Sensei,529,273,465,51.6
DRUID,"Medivh, the Guardian",515,296,512,57.47
DRUID,Malygos,515,336,514,65.24
DRUID,Ultrasaur,515,278,486,53.98
DRUID,Sea Giant,508,249,480,49.01
DRUID,Leeroy Jenkins,506,239,503,47.23
DRUID,Mistress of Mixtures,490,172,391,35.1
DRUID,Savage Roar,472,269,444,56.99
DRUID,"Mukla, Tyrant of the Vale",465,248,460,53.33
DRUID,Mark of Nature,462,202,428,43.72
DRUID,Acidic Swamp Ooze,451,154,429,34.14
DRUID,Spiked Hogrider,437,211,426,48.28
DRUID,White Eyes,433,224,428,51.73
DRUID,Faceless Manipulator,431,210,385,48.72
DRUID,Flame Elemental,428,142,276,33.17
DRUID,Corrupted Healbot,428,194,398,45.32
DRUID,Ravasaur Runt,428,157,361,36.68
DRUID,Addled Grizzly,426,141,381,33.09
DRUID,Frost Elemental,422,171,408,40.52
DRUID,Lord of the Arena,418,151,404,36.12
DRUID,Naga Corsair,416,194,392,46.63
DRUID,Living Mana,413,111,394,26.87
DRUID,Keeper of the Grove,410,146,374,35.6
DRUID,Twin Emperor Vek'lor,409,204,406,49.87
DRUID,Mark of the Lotus,407,156,369,38.32
DRUID,Frozen Crusher,395,178,383,45.06
DRUID,Onyxia,380,211,378,55.52
DRUID,Novice Engineer,379,148,302,39.05
DRUID,Reckless Rocketeer,379,165,358,43.53
DRUID,Faceless Shambler,369,212,336,57.45
DRUID,Forbidden Ancient,367,146,328,39.78
DRUID,Gentle Megasaur,366,177,359,48.36
DRUID,"Hogger, Doom of Elwynn",363,205,360,56.47
DRUID,"Sherazin, Corpse Flower",363,164,360,45.17
DRUID,Fight Promoter,352,239,307,67.89
DRUID,"Deathwing, Dragonlord",345,204,341,59.13
DRUID,Flamewreathed Faceless,344,193,343,56.1
DRUID,Boulderfist Ogre,341,162,324,47.5
DRUID,Earth Elemental,339,156,335,46.01
DRUID,Shadow Rager,335,149,334,44.47
DRUID,Fire Elemental,334,169,334,50.59
DRUID,Gruul,331,169,330,51.05
DRUID,Ethereal Peddler,331,191,327,57.7
DRUID,Ornery Direhorn,329,168,329,51.06
DRUID,Claw,328,124,289,37.8
DRUID,Illidan Stormrage,324,183,323,56.48
DRUID,Captain Greenskin,324,145,323,44.75
DRUID,Stegodon,319,127,290,39.81
DRUID,Stormwind Champion,315,180,302,57.14
DRUID,Swamp King Dred,307,197,298,64.16
DRUID,Thing from Below,299,136,297,45.48
DRUID,The Beast,299,135,295,45.15
DRUID,Dream,294,204,260,69.38
DRUID,The Black Knight,291,177,291,60.82
DRUID,Servant of Yogg-Saron,286,116,281,40.55
DRUID,Dirty Rat,286,116,253,40.55
DRUID,Steam Surger,283,134,281,47.34
DRUID,Kabal Songstealer,278,142,277,51.07
DRUID,Mountain Giant,278,149,267,53.59
DRUID,Lotus Assassin,274,130,273,47.44
DRUID,Priestess of Elune,272,109,266,40.07
DRUID,Ysera Awakens,269,203,244,75.46
DRUID,Laughing Sister,261,173,233,66.28
DRUID,Grimestreet Protector,258,161,256,62.4
DRUID,Blood of The Ancient One,257,156,210,60.7
DRUID,Venture Co. Mercenary,257,116,244,45.13
DRUID,Unlicensed Apothecary,256,109,255,42.57
DRUID,Crystalweaver,253,122,253,48.22
DRUID,Tirion Fordring,252,155,250,61.5
DRUID,Defias Cleaner,251,123,250,49
DRUID,Dread Infernal,250,131,248,52.4
