avg_attack,average_health,player_class,turn
2.9353,3.7236,PALADIN,24
3.6772,4.041,MAGE,34
2.3014,2.4646,SHAMAN,59
2.5272,2.4552,SHAMAN,63
2.902,3.108,SHAMAN,35
2.5971,2.5272,HUNTER,10
3.3837,4.6483,PRIEST,41
3.7626,4.7598,PRIEST,59
3.4285,4.175,MAGE,61
21.7,21.7,DRUID,87
14.5,14.5945,DRUID,61
3.1292,5.8643,WARRIOR,22
3.1366,3.712,MAGE,21
2.9903,3.8017,PALADIN,20
2.956,3.1906,SHAMAN,30
3.5732,4.3102,WARLOCK,23
3.4167,6.0937,WARRIOR,41
4.1879,5.92,WARRIOR,59
2.9583,5.4861,WARRIOR,18
2.3228,2.989,MAGE,12
1.6135,2.1442,WARLOCK,3
3.3798,4.7616,PRIEST,35
4.4417,4.4369,ROGUE,29
3.5497,4.7519,PRIEST,50
4.4412,6.3567,WARRIOR,57
3.6099,5.258,PRIEST,25
2.52,2.7938,SHAMAN,13
1.8612,2.5541,WARLOCK,6
2.4914,2.8101,DRUID,8
1.1395,1.01,HUNTER,2
1.4366,1.7602,DRUID,3
2.483,3.0297,PALADIN,52
22.2222,22.2222,DRUID,89
3.5006,5.2691,PRIEST,20
4.0252,4.569,DRUID,18
2.7153,4.6364,PRIEST,10
3.1998,3.621,DRUID,13
2.0538,1.8453,HUNTER,6
3.104,3.0725,HUNTER,38
12.913,13.1304,DRUID,57
4.3312,4.3732,ROGUE,32
2.4809,2.4888,PALADIN,62
12,12,PRIEST,85
4.6021,4.5682,ROGUE,22
3.3575,4.6517,PRIEST,43
3.8718,4.7331,MAGE,55
4,4.5,ROGUE,67
3.5894,5.1751,PRIEST,26
2.56,3.2842,PALADIN,42
4.6363,4.7727,ROGUE,55
3,8,WARLOCK,60
3.2147,5.96,WARRIOR,28
3.4145,4.8409,PRIEST,33
2.8356,3.5983,PALADIN,29
5,5,ROGUE,72
5.5285,6.1362,DRUID,28
3.0518,3.0687,HUNTER,18
1.5377,1.3512,HUNTER,4
2.7932,3.5614,PALADIN,30
1.1673,1.8352,PALADIN,2
4.3862,4.85,WARLOCK,46
2.5463,3.1897,PALADIN,47
4.0453,6.2733,WARRIOR,52
4.6315,4.7368,ROGUE,53
2.9333,5.2666,WARRIOR,66
2.965,4.896,PRIEST,13
5.9841,6.5788,DRUID,31
3.1232,3.0894,HUNTER,27
4.4257,4.8754,WARLOCK,41
3.3325,6.0531,WARRIOR,38
2.5437,3.2258,PALADIN,45
2,7,WARLOCK,59
1.8187,1.6017,HUNTER,5
3.3201,6.0509,WARRIOR,37
4.1573,4.3433,ROGUE,46
3.5556,5.28,PRIEST,21
2.2045,2.008,HUNTER,7
3.7813,4.1746,MAGE,36
2.5966,2.6394,SHAMAN,57
2.6666,2.3,PALADIN,66
4.0911,4.1314,ROGUE,16
3.3435,4.6594,PRIEST,39
2.239,2.4603,ROGUE,10
3.2391,5.9872,WARRIOR,30
2.8793,3.7686,WARLOCK,12
3.1941,4.0594,WARLOCK,17
4.6043,4.5685,ROGUE,23
6.1519,6.7453,DRUID,32
3.8502,4.5178,MAGE,45
2.6816,3.4327,PALADIN,34
4.1764,4.8888,PRIEST,69
2.9379,5.3473,WARRIOR,17
3.0204,3.9103,WARLOCK,14
3.3346,4.701,PRIEST,37
10.365,10.5721,DRUID,54
2.3888,4.3051,PRIEST,8
3.2811,4.105,WARLOCK,19
2.9171,3.087,SHAMAN,42
3.2617,6.0013,WARRIOR,32
13,13,PRIEST,89
1.8051,2.3418,WARLOCK,5
3.2593,5.9984,WARRIOR,31
8.142,8.6393,DRUID,42
20.8333,20.8333,DRUID,84
2.7284,4.2516,WARRIOR,11
3.5266,4.4975,PRIEST,61
8.8967,9.3828,DRUID,46
3.6647,4.8105,PRIEST,53
2.9072,3.093,SHAMAN,37
2.8919,3.0459,ROGUE,12
2.9975,3.0084,HUNTER,16
3.6811,4.3203,MAGE,49
2.3333,2.55,SHAMAN,64
20.1739,20.1739,DRUID,75
3.1871,5.9353,WARRIOR,26
2.9441,3.8422,WARLOCK,13
5.1666,8.1666,PRIEST,70
3.0072,3.615,MAGE,19
3.1139,3.0695,HUNTER,30
3.609,3.5449,HUNTER,47
3.0882,3.1944,PALADIN,64
3,4,ROGUE,61
3.1641,3.7269,MAGE,22
2.9327,3.0867,SHAMAN,43
4.0266,4.3239,ROGUE,44
4.283,5.0934,WARLOCK,51
1.8759,2.3544,MAGE,6
3.302,6.0264,WARRIOR,35
3.3939,4.6333,PRIEST,42
15.2909,15.2545,DRUID,66
4,4,HUNTER,65
3.2305,5.0934,PRIEST,16
2.8494,4.9096,WARRIOR,15
3.8408,4.3726,DRUID,17
3.514,4.2745,WARLOCK,22
2.9237,3.1534,SHAMAN,32
3.3277,3.7932,DRUID,14
1.0475,1.0682,ROGUE,2
4.06,4.3486,ROGUE,47
3.75,2.8571,SHAMAN,68
2.6363,4.5454,WARRIOR,69
3.1282,3.3164,SHAMAN,20
2.9011,3.1197,SHAMAN,34
3.3319,4.6285,PRIEST,40
3.4213,3.7484,MAGE,29
4.3542,4.9137,WARLOCK,49
4.1306,4.377,ROGUE,45
2.8306,4.7341,PRIEST,11
2.9722,2.9449,HUNTER,14
3.285,6.0154,WARRIOR,33
3.102,3.1155,HUNTER,19
3.0785,3.0123,HUNTER,37
4.2918,4.5478,ROGUE,48
2,7,WARLOCK,58
3.9532,6.309,WARRIOR,50
20.5882,20.5882,DRUID,79
5,5,ROGUE,71
1.0655,1.8659,MAGE,2
2.7392,3.4947,PALADIN,32
3.849,4.5102,MAGE,47
2.5357,3.2386,PALADIN,44
4.2857,2.8235,SHAMAN,67
3.0793,3.3084,SHAMAN,24
1.9804,2.7624,WARLOCK,7
4.0177,4.6119,WARLOCK,31
2.1886,2.5998,SHAMAN,11
2.9019,3.6802,PALADIN,26
14.5342,14.6164,DRUID,62
1.7198,2.1829,WARLOCK,4
3.8786,4.4942,MAGE,44
4.3191,6.6458,WARRIOR,62
4.6666,5.2,WARLOCK,55
2.7089,3.5444,PALADIN,15
2.476,3.2956,WARLOCK,9
2.0106,2.3167,SHAMAN,62
3.8672,3.9286,ROGUE,15
3.4995,4.9881,PRIEST,30
