avg_attack,average_health,player_class,turn
3.303,5.0296,PRIEST,18
1.6483,1.8488,DRUID,5
4,6,WARLOCK,69
2.7839,3.5389,MAGE,11
2.9718,2.9954,SHAMAN,18
4.4713,5.0838,DRUID,22
3.5926,4.5059,MAGE,28
1.575,2.1114,SHAMAN,4
1.9199,2.1544,WARLOCK,2
3.8859,4.9472,WARLOCK,30
5.6885,6.2205,DRUID,29
36.5039,4.794,MAGE,52
5.302,5.8634,DRUID,27
10.077,10.3924,DRUID,48
3.804,3.9897,ROGUE,32
6.0769,6.3846,WARRIOR,79
2.1304,2.3423,PALADIN,62
2,1.3333,NEUTRAL,5
4.2335,5.1912,WARRIOR,42
1.9872,2.2992,SHAMAN,7
3.4261,4.4208,WARLOCK,16
3.2096,3.3083,HUNTER,22
82.478,4.841,MAGE,53
5.5666,7.1,PRIEST,76
3.445,4.7111,MAGE,70
,2,SHAMAN,74
2.3333,2.3333,NEUTRAL,14
3.5561,4.5278,MAGE,34
3.1894,3.3948,PALADIN,24
3.3419,2.9626,SHAMAN,63
3.2682,2.942,SHAMAN,59
4.6093,5.3671,WARRIOR,48
4.0849,5.1006,WARRIOR,27
4.6283,5.2319,DRUID,23
1.7832,2.1803,SHAMAN,5
3.1303,3.2833,HUNTER,26
2.5156,2.8722,PALADIN,11
3.1049,3.2868,PALADIN,28
4.3303,5.7602,PRIEST,64
5,6,WARLOCK,67
3.9503,5.2998,PRIEST,41
2.6062,2.6667,HUNTER,10
3.8021,3.5425,SHAMAN,35
4.8648,5.5988,PRIEST,59
3.8854,5.0239,MAGE,61
20.5454,20.5454,DRUID,87
2.9779,3.0203,HUNTER,15
3.9825,4.7602,WARRIOR,21
3.509,3.4057,SHAMAN,28
3.6014,5.2555,PRIEST,31
1.067,1.1087,DRUID,2
4.4145,5.8276,PRIEST,65
4.9939,5.6669,WARRIOR,64
3.9435,4.1345,ROGUE,49
9.8242,10.1344,DRUID,47
2,1,NEUTRAL,4
3.2,4,WARLOCK,63
3.4091,3.3592,SHAMAN,25
3.6576,3.2924,SHAMAN,52
3.8304,4.0121,ROGUE,34
2.75,2.8862,PALADIN,59
2.7721,2.9412,WARRIOR,10
3.8301,4.5593,WARRIOR,20
1.7438,2.1084,PALADIN,6
4.0341,5.1494,WARRIOR,34
3.5433,3.2011,SHAMAN,53
6.9063,7.3248,DRUID,35
3.1786,3.1844,PALADIN,38
10.0613,10.3056,DRUID,50
1.75,2.6363,HUNTER,60
3.6423,3.4409,ROGUE,15
2.0544,2.4014,DRUID,7
3.5915,5.2456,PRIEST,30
3.4128,3.1062,SHAMAN,54
3.3707,3.439,HUNTER,48
4.319,5.5076,PRIEST,71
5.5,6,PRIEST,81
3.4992,4.2256,MAGE,19
3.0903,3.2601,HUNTER,30
3.128,3.3248,HUNTER,47
2.4479,2.4791,PALADIN,64
4.5357,5.2812,ROGUE,61
4.7692,5.3135,PRIEST,43
3.851,3.821,ROGUE,22
232.6818,4.9036,MAGE,55
3.5329,4.593,MAGE,68
3.8036,3.6551,ROGUE,18
5.1029,5.6759,DRUID,26
2.1142,2.7284,MAGE,7
4.5385,5.3209,WARRIOR,47
3.5919,4.4712,MAGE,26
3.1071,3.2668,HUNTER,28
1.5766,1.8935,PALADIN,5
3.9111,4.1309,ROGUE,43
3.8589,4.0568,HUNTER,54
3.5036,3.9641,WARRIOR,17
3.2623,4.2713,WARLOCK,14
3.6825,5.2598,PRIEST,37
10.8224,11.1788,DRUID,54
1.9236,2.3046,PALADIN,7
3.5738,4.5282,MAGE,33
3.0457,3.2041,HUNTER,34
1.0553,1.3357,WARRIOR,2
3.923,3.863,HUNTER,55
8.5,8.5,PRIEST,84
4,6,ROGUE,70
3.6521,4.5462,MAGE,40
3.8409,3.5583,SHAMAN,36
4.9566,5.5867,WARRIOR,61
3.8903,4.0966,ROGUE,39
9.9831,10.2644,DRUID,49
4,6,ROGUE,69
2.8683,3.0411,WARRIOR,11
6.2489,5.7163,PRIEST,61
4.7034,5.3775,WARRIOR,50
20.0666,20.0666,DRUID,79
4,6,ROGUE,71
3.1857,3.315,HUNTER,25
3.2815,2.9908,SHAMAN,56
3.6652,3.792,ROGUE,50
3.0225,4.796,PRIEST,13
6.1014,6.5968,DRUID,31
3.1428,3.2946,HUNTER,27
4.11,5.1828,WARRIOR,38
4.3119,5.1365,WARLOCK,41
3.1561,3.1754,PALADIN,45
4.2135,5.2642,WARLOCK,59
2.3333,2.3333,NEUTRAL,13
6,6,MAGE,78
3.023,3.179,HUNTER,36
13.7951,13.9879,DRUID,61
4.0729,3.6792,SHAMAN,45
3.9359,5.4783,PRIEST,52
4.4258,5.9215,PRIEST,67
3.302,3.5763,HUNTER,51
3.5627,5.236,PRIEST,24
3.6014,4.4152,MAGE,23
4.0796,5.0347,WARLOCK,36
2.1018,1.9659,ROGUE,6
3.1547,3.2071,PALADIN,35
3.8835,4.0885,ROGUE,38
19.647,19.5882,DRUID,76
3.7968,4.8879,WARLOCK,26
3.1305,3.2582,PALADIN,31
3.74,3.9369,HUNTER,53
2.6801,2.8587,PALADIN,60
3.1538,3.4912,HUNTER,57
1.8773,2.2301,SHAMAN,6
4.766,5.3901,WARRIOR,51
5.0403,5.6539,PRIEST,60
5.5106,6.6382,PRIEST,75
3.1495,3.2434,PALADIN,33
3.0827,3.2244,HUNTER,45
4.4655,5.153,WARLOCK,56
4.0878,5.0068,WARRIOR,24
2.8678,3.4597,DRUID,11
3.5972,5.253,PRIEST,29
2.7615,3.0802,PALADIN,14
3.6388,5.0526,MAGE,73
3.1336,3.864,MAGE,15
1.4411,1.6054,WARRIOR,4
3.2506,3.4573,PALADIN,23
3.2642,3.0909,ROGUE,11
4.2043,4.5706,MAGE,43
6.7184,7.1601,DRUID,34
3.7942,3.9234,ROGUE,28
4.9025,5.4819,WARRIOR,55
3.1996,2.9388,SHAMAN,60
1,1,HUNTER,64
3.5717,4.5364,MAGE,35
15.4515,4.7268,MAGE,50
3.1231,3.2485,HUNTER,46
3.8699,4.0744,ROGUE,40
5.1666,5.25,WARRIOR,80
3.15,3.6307,HUNTER,56
2.6666,2,HUNTER,63
4.0882,5.0799,WARRIOR,26
3.1631,4.1994,WARLOCK,13
4.1737,5.4936,PRIEST,70
3.7992,3.8987,ROGUE,27
8.174,8.5225,DRUID,40
8.9866,9.2966,DRUID,44
4.2277,5.206,WARRIOR,41
3.5875,3.4415,SHAMAN,30
3.706,4.7974,WARLOCK,23
3.2582,3.4989,PALADIN,20
5.0597,5.596,WARRIOR,59
1.834,3.7062,PRIEST,6
