avg_attack,average_health,player_class,turn
2.5466,2.5124,HUNTER,9
3.7787,4.8678,MAGE,60
4.7317,5.8275,PRIEST,72
16.4637,18.1884,DRUID,63
3.5,5.7142,NEUTRAL,15
,2,SHAMAN,73
1.7356,2.1241,PALADIN,6
2.8395,2.934,WARRIOR,10
3.8538,4.4519,WARRIOR,20
4.1766,5.2052,WARRIOR,34
7.1894,7.6103,DRUID,35
3.191,3.2315,PALADIN,38
3.6471,3.2785,SHAMAN,53
11.0359,11.3138,DRUID,50
3.7142,3.1428,HUNTER,60
4.4732,4.5042,ROGUE,54
5.2847,5.7792,WARRIOR,68
2.8571,3.2857,NEUTRAL,25
3.5,5.5,WARLOCK,70
5.6135,6.1824,DRUID,28
2.5752,2.7064,WARRIOR,8
3.9419,4.9137,WARLOCK,33
2.2043,2.5034,SHAMAN,9
3.5961,4.4524,MAGE,37
3.1272,3.3008,HUNTER,32
4.0856,3.3288,HUNTER,44
2.5714,2.3125,SHAMAN,69
4.7917,5.4788,WARRIOR,50
20.8571,21.2857,DRUID,79
3.9626,3.6319,SHAMAN,43
3.5953,4.2283,MAGE,22
4.5678,5.261,WARLOCK,51
4.0413,4.2752,ROGUE,44
3.7055,4.8563,MAGE,67
3.2153,3.3501,WARRIOR,14
3.8233,3.56,SHAMAN,39
2805.1949,5.8785,PRIEST,62
3.3076,3.5393,PALADIN,20
3.6196,4.6388,WARLOCK,23
3.541,3.4525,SHAMAN,30
4.3638,5.2787,WARRIOR,41
5.0918,5.593,WARRIOR,59
3.0472,3.8983,WARLOCK,15
3.2092,3.2362,HUNTER,20
1.0749,2.4582,SHAMAN,2
3.1826,3.3824,HUNTER,35
4,4,NEUTRAL,24
3.6097,5.2408,PRIEST,29
4.2022,4.9893,WARRIOR,24
2.8219,3.1328,PALADIN,14
2.8996,3.525,DRUID,11
3.1176,3.5555,MAGE,73
2.7847,3.0773,PALADIN,13
257.4162,5.6993,PRIEST,58
2.7333,3,SHAMAN,66
2.5516,2.6861,PALADIN,57
1.5,2.5,WARRIOR,75
3.647,4.1847,WARRIOR,19
3.7803,5.2298,PRIEST,38
2.2911,2.9037,MAGE,8
3.9011,3.547,SHAMAN,48
7.7014,8.056,DRUID,37
2,5,NEUTRAL,2
3.5126,3.2452,HUNTER,43
4.8936,5.1224,ROGUE,58
4.1809,4.9321,WARRIOR,23
2.8902,2.9631,SHAMAN,16
1.732,1.9825,DRUID,6
3.6244,4.3259,MAGE,25
8.0553,8.3314,DRUID,38
1.572,2.9635,PRIEST,2
4.3373,5.1156,WARLOCK,42
14.2081,5.3676,PRIEST,47
2.1875,2.4915,PALADIN,61
24.5,24.5,DRUID,82
2.7302,3.6095,WARLOCK,11
3.1617,3.3041,HUNTER,29
3.9018,4.1084,ROGUE,37
2.2051,2.7283,SHAMAN,65
2.8359,2.9876,PALADIN,54
3.0688,3.1232,WARRIOR,12
3.4499,3.4398,SHAMAN,26
4.1126,4.7731,DRUID,19
3.5945,4.4692,MAGE,39
3.176,3.2423,PALADIN,36
29.5736,5.6237,PRIEST,54
4.5395,5.187,WARLOCK,50
5.1666,4.1666,HUNTER,62
3,6,NEUTRAL,6
3.805,3.9823,ROGUE,31
3.1422,3.1791,HUNTER,41
3.1735,3.2507,HUNTER,40
4.6989,5.2772,WARRIOR,67
5.9032,5.75,ROGUE,60
3.5714,3.7142,NEUTRAL,26
3.2866,4.1929,WARLOCK,18
2.7069,2.8036,SHAMAN,14
3.6221,4.4272,MAGE,31
2.491,2.4433,HUNTER,8
12.1393,5.3537,PRIEST,46
3.1667,3.3027,HUNTER,39
3.7559,4.8635,MAGE,65
12.6763,12.753,DRUID,56
7.1578,7.2857,PRIEST,77
25.6666,25.6666,DRUID,86
3.6682,4.3605,DRUID,16
3.9925,3.624,SHAMAN,46
4.5614,5.2077,WARLOCK,52
9.8333,10.8333,PRIEST,83
7.5,8.5,MAGE,76
3.5949,4.4406,MAGE,35
3.6965,4.678,MAGE,50
3.9817,4.2074,ROGUE,40
6.1335,3.1686,HUNTER,46
3.7777,3.2777,HUNTER,56
5.6666,5.3333,HUNTER,63
5,6,WARRIOR,80
16.4337,17.7619,DRUID,61
3.5,5.5,WARLOCK,71
4.4118,5.0497,DRUID,21
3.7244,3.8564,ROGUE,26
4.8331,5.4369,WARRIOR,54
4.4093,6.0568,PRIEST,66
2.5714,2.2941,SHAMAN,70
3.8582,4.8758,WARLOCK,30
1.9496,2.1,WARLOCK,2
5.8279,6.3728,DRUID,29
3.7717,4.7866,MAGE,52
3.2706,5.0062,PRIEST,18
1.5582,1.7343,DRUID,5
2.7142,5.75,NEUTRAL,16
5.25,7,WARLOCK,69
3.7542,3.9206,ROGUE,28
3.0981,3.0362,ROGUE,11
1.372,1.5327,WARRIOR,4
3.0846,3.6651,MAGE,15
3.2946,3.5003,PALADIN,23
3.6114,4.5306,MAGE,43
6.9675,7.4084,DRUID,34
4.8625,5.4075,WARRIOR,55
2.9428,2.722,SHAMAN,60
4,4,HUNTER,64
3.568,4.0132,WARRIOR,18
2.8323,3.3791,MAGE,12
1.6374,2.2631,WARLOCK,3
3.6443,5.2325,PRIEST,35
3.7765,3.9434,ROGUE,29
56.2229,5.4569,PRIEST,50
4.9657,5.4677,WARRIOR,57
1.9596,2.4304,SHAMAN,6
4.7825,5.4327,WARRIOR,51
798.4095,5.8781,PRIEST,60
5.826,6.3076,PRIEST,75
3.5956,5.2306,PRIEST,28
7.4453,7.8285,DRUID,36
3.9834,4.2092,ROGUE,42
3.1426,2.9207,SHAMAN,58
1.6686,3.4934,PRIEST,5
3.587,4.4934,MAGE,42
3.0222,3.1351,PALADIN,46
2.5494,2.6593,PALADIN,63
20.5714,21,DRUID,78
3.0482,3.1092,SHAMAN,18
4.5574,5.1873,DRUID,22
2.7177,3.2938,MAGE,11
3.6039,4.3722,MAGE,28
1.7044,2.4634,SHAMAN,4
2.7645,2.8399,WARRIOR,9
3.168,3.2263,WARRIOR,13
2.5212,3.0373,DRUID,9
3.2532,3.8134,MAGE,16
3.0346,4.8131,PRIEST,14
3.8521,3.5747,SHAMAN,40
3.4525,3.4538,SHAMAN,25
3.7114,3.3365,SHAMAN,52
3.854,4.071,ROGUE,34
2.3377,2.6111,PALADIN,59
5,7,MAGE,81
3.599,4.4339,MAGE,34
3.2312,3.4398,PALADIN,24
3.0172,2.8083,SHAMAN,59
3.2777,2.9251,SHAMAN,63
3.8143,4.0057,ROGUE,32
2.3759,2.7313,PALADIN,62
18,18,WARRIOR,79
2.8,4,NEUTRAL,5
12.1428,13,PRIEST,85
1.5647,1.8954,PALADIN,5
3.6122,4.3341,MAGE,26
4.6251,5.3691,WARRIOR,47
3.101,3.2412,HUNTER,28
4.094,4.2624,ROGUE,43
4,3.4864,HUNTER,54
4,4.25,NEUTRAL,20
3.5783,3.4699,SHAMAN,31
1.4879,3.1125,PRIEST,3
3.8033,4.8405,WARLOCK,28
3.2751,3.4966,PALADIN,22
3.8454,4.0401,ROGUE,35
89.8947,3.8265,HUNTER,52
1.3571,1.5,PALADIN,67
3.1715,3.1493,HUNTER,18
3.1448,3.3079,PALADIN,30
1.6797,1.4615,HUNTER,4
1.3741,1.674,PALADIN,2
4.4736,5.208,WARLOCK,46
3.0674,3.1838,PALADIN,47
4.8568,5.515,WARRIOR,52
4.5833,4.8505,ROGUE,53
5.2956,5.5928,WARRIOR,66
3.4,3.4,NEUTRAL,9
3.714,3.7317,ROGUE,21
3.7084,4.748,WARLOCK,25
3.1554,3.3067,HUNTER,33
4.5423,5.4516,PRIEST,73
3.6599,3.6287,ROGUE,19
3.632,5.2236,PRIEST,34
4.1831,5.0301,WARLOCK,39
3.6161,4.5557,MAGE,46
3.0737,2.7827,SHAMAN,61
2.9539,3.1057,PALADIN,53
5.5094,6.1698,WARRIOR,71
19.2432,19.2432,DRUID,71
2.3323,4.4658,PRIEST,9
3.2419,3.2769,HUNTER,21
2.3915,2.7938,PALADIN,10
1.9593,2.3257,MAGE,5
4.5567,5.345,WARRIOR,45
3.8408,4.0467,ROGUE,36
4.1777,5.2106,WARRIOR,36
4.514,5.2297,WARLOCK,47
4.0031,4.2129,ROGUE,41
5.7222,5.8684,ROGUE,59
7.2142,7.0625,PRIEST,78
3.5179,5.1944,PRIEST,22
4.2537,4.9,DRUID,20
3.6684,4.7024,WARLOCK,24
2.7254,3.3118,DRUID,10
3.249,3.5695,PALADIN,19
3.19,3.2394,PALADIN,37
3.3114,5.0595,PRIEST,19
2.4368,3.0852,MAGE,9
3.9841,4.9281,WARLOCK,34
3.2473,3.4428,PALADIN,25
9.2112,9.5021,DRUID,43
4.2352,4.7352,WARRIOR,72
2.2798,3.2022,WARLOCK,8
3.1188,3.4282,PALADIN,16
3.8988,3.5668,SHAMAN,47
3.6578,4.6096,MAGE,48
4.8522,5.4866,WARRIOR,53
3.4959,3.4655,SHAMAN,27
11.7569,11.9347,DRUID,52
17.1206,19.2931,DRUID,67
2.3484,2.5937,SHAMAN,10
6.7573,5.2805,PRIEST,44
2.902,3.1164,PALADIN,51
3.7541,4.896,MAGE,64
4.7647,5.4423,WARLOCK,62
3.9728,3.6285,SHAMAN,45
196.7844,5.5206,PRIEST,52
4.5461,6.3105,PRIEST,67
37.8728,3.475,HUNTER,51
3.1783,3.2814,HUNTER,25
4.3415,4.5885,ROGUE,50
3.4639,3.1288,SHAMAN,56
3.0777,3.2626,HUNTER,36
4,6,ROGUE,76
3.5512,5.2152,PRIEST,23
3.7402,3.8491,ROGUE,25
3.7946,4.9676,MAGE,58
4.4715,5.3056,WARRIOR,43
1,1.75,SHAMAN,72
3.6825,3.6818,ROGUE,20
27.2278,5.3772,PRIEST,48
4.6515,5.303,WARLOCK,53
3.0606,4.2162,MAGE,71
3.1111,4.4444,NEUTRAL,11
3.7758,4.8167,WARLOCK,27
4.9315,5.3685,WARRIOR,63
3.4856,4.4739,WARLOCK,21
4.2694,5.2619,WARRIOR,39
3.7906,4.883,MAGE,57
3.4466,3.1643,SHAMAN,55
4.5457,4.7715,ROGUE,51
4.5028,5.1552,WARLOCK,54
3.216,4.0927,WARLOCK,17
3.5307,3.4385,ROGUE,16
2.8204,3.6721,WARLOCK,12
2.9551,2.8947,ROGUE,10
3.8303,5.2449,PRIEST,39
6.4697,6.9564,DRUID,32
3.6165,4.5522,MAGE,45
3.7394,3.8046,ROGUE,23
3.1567,3.2561,PALADIN,34
4.1754,5.168,WARRIOR,30
4.7692,6.6916,PRIEST,69
4.1428,5.2857,NEUTRAL,8
1.6,3,NEUTRAL,3
3.7141,3.7619,ROGUE,22
4.9649,5.2792,PRIEST,43
3.7794,4.8643,MAGE,55
3.5765,4.9237,MAGE,68
231.4103,5.5879,PRIEST,53
3,3,NEUTRAL,23
4.213,5.2196,WARRIOR,37
1.9825,1.7879,HUNTER,5
4.1032,4.452,ROGUE,46
3.5463,4.1363,MAGE,20
4.0155,4.9493,WARLOCK,35
4.1436,5.0004,WARLOCK,38
20.5,21,DRUID,80
5.125,5.8888,WARLOCK,66
4.2294,5.1237,WARRIOR,27
4.7244,5.3455,DRUID,23
2.5687,2.9309,PALADIN,11
1.8918,2.4773,SHAMAN,5
3.1635,3.3436,PALADIN,28
3.1122,3.243,HUNTER,26
4.5983,5.3531,WARRIOR,48
4.4959,6.0261,PRIEST,64
5.8333,7,WARLOCK,67
3,5,WARLOCK,73
2.6373,2.4843,ROGUE,8
1.2136,1.113,ROGUE,3
3.6011,5.2368,PRIEST,27
3.6119,4.428,MAGE,32
2.6571,2.6802,HUNTER,11
2.7022,3.0012,PALADIN,12
3.1506,3.2526,HUNTER,24
3.5922,4.489,MAGE,41
4.6952,5.4149,WARRIOR,49
3.7904,4.9591,MAGE,59
2.596,2.6732,PALADIN,58
19.575,19.575,DRUID,70
12,12,WARRIOR,78
4.232,5.0497,WARRIOR,25
3.1488,3.2002,PALADIN,40
83.7781,5.7072,PRIEST,56
4.4095,5.9621,PRIEST,63
3.5247,3.8487,WARRIOR,17
2.9753,3.8238,WARLOCK,14
3.7029,5.24,PRIEST,37
12.1009,12.2853,DRUID,54
3.5585,5.2164,PRIEST,24
3.6138,4.2682,MAGE,23
4.0543,4.9723,WARLOCK,36
1.9657,1.8966,ROGUE,6
3.1653,3.2536,PALADIN,35
3.9019,4.1175,ROGUE,38
20,20,DRUID,76
4.1078,4.8167,WARRIOR,22
3.5832,4.1913,MAGE,21
3.157,4.8847,PRIEST,16
3.2822,3.4674,WARRIOR,15
3.8184,4.5003,DRUID,17
3.5641,4.5722,WARLOCK,22
5,5.25,NEUTRAL,21
3.2259,3.2207,HUNTER,19
4.1819,5.1897,WARRIOR,33
3.1874,3.3301,HUNTER,37
4.0903,4.3656,ROGUE,48
4.6556,5.4618,WARLOCK,58
2.6315,3,MAGE,72
3.1625,4.0232,WARLOCK,16
2.0149,2.4316,SHAMAN,7
3.1847,3.2509,HUNTER,22
4.3755,5.2769,WARRIOR,42
3.7984,4.8472,MAGE,53
3.3478,4.2857,MAGE,70
6.04,6.2857,PRIEST,76
3.8333,6,NEUTRAL,14
3.5965,3.4709,SHAMAN,32
3.3707,4.0755,DRUID,14
1.1173,1.0156,ROGUE,2
4.0943,4.4104,ROGUE,47
5.7954,6.0786,WARRIOR,69
4.6,3.8,WARRIOR,76
2.8181,2.7,SHAMAN,68
3.2104,3.2571,SHAMAN,20
3.6152,4.3923,MAGE,29
3.6602,3.4907,SHAMAN,34
4.0627,5.2437,PRIEST,40
4.4922,5.1622,WARLOCK,49
4.1077,4.4043,ROGUE,45
9.9318,10.1826,DRUID,46
2.4545,2.8461,MAGE,74
3.4147,5.1245,PRIEST,20
3.2186,3.9098,DRUID,13
3.9586,4.6252,DRUID,18
2.6887,4.5704,PRIEST,10
2.2515,2.1316,HUNTER,6
3.0413,3.2087,HUNTER,38
14.089,14.1683,DRUID,57
2.476,3.3916,WARLOCK,9
2.9099,3.2387,PALADIN,15
2.8163,2.649,SHAMAN,62
4.25,4.75,MAGE,77
4.1775,5.1764,WARRIOR,31
1.8791,2.6004,WARLOCK,5
9.0522,9.3715,DRUID,42
24.6666,24.6666,DRUID,84
2.3994,2.3233,HUNTER,7
3.5877,4.4408,MAGE,36
3.2646,2.9852,SHAMAN,57
1.2631,1,PALADIN,66
3.5826,5.231,PRIEST,26
3.1624,3.186,PALADIN,42
4.4594,4.9224,WARLOCK,60
4.9638,5.0465,ROGUE,55
3.399,3.4154,SHAMAN,24
2.0143,2.9235,WARLOCK,7
2.4181,2.6359,SHAMAN,11
3.8914,4.8944,WARLOCK,31
3.1901,3.3862,PALADIN,26
16.3205,18.0641,DRUID,62
3.5,6,NEUTRAL,12
3.2546,3.1076,ROGUE,12
3.032,3.0284,HUNTER,16
3.7702,3.538,SHAMAN,37
3.7015,4.6695,MAGE,49
3.2133,2.9176,SHAMAN,64
20,20,DRUID,75
2.5887,2.6052,HUNTER,10
3.6979,3.5089,SHAMAN,35
4.1286,5.2416,PRIEST,41
656.4867,5.8733,PRIEST,59
3.8855,5.0228,MAGE,61
3.5817,5.2329,PRIEST,25
2.2958,2.7357,DRUID,8
1.9094,2.7535,WARLOCK,6
2.6028,2.7158,SHAMAN,13
1.1457,1.2127,DRUID,3
1.151,1.1158,HUNTER,2
3.0905,3.2183,PALADIN,52
3.4876,5.1692,PRIEST,21
4.1951,5.1254,WARRIOR,28
3.62,5.2294,PRIEST,33
3.1852,3.3469,PALADIN,29
4.1693,5.1879,WARRIOR,32
2.1382,4.2779,PRIEST,8
3.3291,4.2613,WARLOCK,19
3.9482,3.634,SHAMAN,42
2.8891,4.6704,PRIEST,11
2.9585,2.9155,HUNTER,14
1.8126,2.39,WARLOCK,4
3.5953,4.5353,MAGE,44
4.5693,5.2848,WARLOCK,55
4.7451,5.2482,WARRIOR,62
2,2.75,NEUTRAL,17
3.4,3.6,NEUTRAL,19
6,7,WARLOCK,68
3.138,3.2697,PALADIN,32
3.6538,4.5936,MAGE,47
1.0984,1.7445,MAGE,2
