n_games,num_turns,player_class
14362,1,DRUID
26442,1,HUNTER
25355,1,MAGE
13371,1,PALADIN
20428,1,PRIEST
37571,1,ROGUE
18128,1,SHAMAN
11459,1,WARLOCK
37852,1,WARRIOR
5027,2,DRUID
7963,2,HUNTER
7941,2,MAGE
4005,2,PALADIN
6291,2,PRIEST
15928,2,ROGUE
5766,2,SHAMAN
3343,2,WARLOCK
18988,2,WARRIOR
7400,3,DRUID
11063,3,HUNTER
7003,3,MAGE
4795,3,PALADIN
6533,3,PRIEST
15254,3,ROGUE
5412,3,SHAMAN
4294,3,WARLOCK
22044,3,WARRIOR
8607,4,DRUID
16497,4,HUNTER
6345,4,MAGE
5525,4,PALADIN
6793,4,PRIEST
15366,4,ROGUE
5774,4,SHAMAN
5605,4,WARLOCK
21802,4,WARRIOR
14811,5,DRUID
27485,5,HUNTER
8932,5,MAGE
8783,5,PALADIN
11296,5,PRIEST
29908,5,ROGUE
9025,5,SHAMAN
9182,5,WARLOCK
39254,5,WARRIOR
18749,6,DRUID
40352,6,HUNTER
11013,6,MAGE
12169,6,PALADIN
14710,6,PRIEST
38734,6,ROGUE
13121,6,SHAMAN
12180,6,WARLOCK
47898,6,WARRIOR
31612,7,DRUID
60974,7,HUNTER
15763,7,MAGE
20612,7,PALADIN
24512,7,PRIEST
70843,7,ROGUE
20110,7,SHAMAN
19470,7,WARLOCK
71346,7,WARRIOR
49462,8,DRUID
101540,8,HUNTER
24140,8,MAGE
34721,8,PALADIN
39698,8,PRIEST
111345,8,ROGUE
32941,8,SHAMAN
31264,8,WARLOCK
109467,8,WARRIOR
76739,9,DRUID
157099,9,HUNTER
39838,9,MAGE
54286,9,PALADIN
68301,9,PRIEST
189454,9,ROGUE
52914,9,SHAMAN
49685,9,WARLOCK
187920,9,WARRIOR
101390,10,DRUID
233739,10,HUNTER
58170,10,MAGE
74394,10,PALADIN
97368,10,PRIEST
272710,10,ROGUE
77151,10,SHAMAN
80441,10,WARLOCK
266381,10,WARRIOR
127353,11,DRUID
321362,11,HUNTER
79377,11,MAGE
92218,11,PALADIN
119974,11,PRIEST
386520,11,ROGUE
106653,11,SHAMAN
106939,11,WARLOCK
360830,11,WARRIOR
145134,12,DRUID
389924,12,HUNTER
98915,12,MAGE
106150,12,PALADIN
134246,12,PRIEST
482891,12,ROGUE
132866,12,SHAMAN
126264,12,WARLOCK
402616,12,WARRIOR
158967,13,DRUID
454306,13,HUNTER
119633,13,MAGE
121497,13,PALADIN
150642,13,PRIEST
566905,13,ROGUE
161679,13,SHAMAN
139181,13,WARLOCK
401618,13,WARRIOR
159431,14,DRUID
478537,14,HUNTER
137873,14,MAGE
127355,14,PALADIN
158329,14,PRIEST
592082,14,ROGUE
178381,14,SHAMAN
143165,14,WARLOCK
378655,14,WARRIOR
162080,15,DRUID
493599,15,HUNTER
158457,15,MAGE
134364,15,PALADIN
165332,15,PRIEST
604942,15,ROGUE
210110,15,SHAMAN
142503,15,WARLOCK
359675,15,WARRIOR
153694,16,DRUID
448264,16,HUNTER
166394,16,MAGE
134505,16,PALADIN
162549,16,PRIEST
546122,16,ROGUE
209478,16,SHAMAN
135097,16,WARLOCK
325871,16,WARRIOR
146776,17,DRUID
410992,17,HUNTER
177214,17,MAGE
140317,17,PALADIN
165930,17,PRIEST
492277,17,ROGUE
223939,17,SHAMAN
126494,17,WARLOCK
314101,17,WARRIOR
130242,18,DRUID
347415,18,HUNTER
180268,18,MAGE
132238,18,PALADIN
156258,18,PRIEST
408770,18,ROGUE
