n_games,num_turns,player_class
16967,1,DRUID
5654,1,HUNTER
14846,1,MAGE
5970,1,PALADIN
15260,1,PRIEST
11437,1,ROGUE
16937,1,SHAMAN
10657,1,WARLOCK
17358,1,WARRIOR
3529,2,DRUID
951,2,HUNTER
2476,2,MAGE
1140,2,PALADIN
3017,2,PRIEST
2805,2,ROGUE
4687,2,SHAMAN
1948,2,WARLOCK
5997,2,WARRIOR
3708,3,DRUID
1037,3,HUNTER
2555,3,MAGE
1176,3,PALADIN
3553,3,PRIEST
3240,3,ROGUE
5835,3,SHAMAN
2168,3,WARLOCK
8402,3,WARRIOR
3102,4,DRUID
893,4,HUNTER
2769,4,MAGE
1229,4,PALADIN
4042,4,PRIEST
2956,4,ROGUE
7640,4,SHAMAN
2499,4,WARLOCK
8062,4,WARRIOR
4218,5,DRUID
1121,5,HUNTER
3135,5,MAGE
1367,5,PALADIN
5297,5,PRIEST
5031,5,ROGUE
10157,5,SHAMAN
3027,5,WARLOCK
12815,5,WARRIOR
4873,6,DRUID
1412,6,HUNTER
3480,6,MAGE
1696,6,PALADIN
6453,6,PRIEST
5861,6,ROGUE
13097,6,SHAMAN
3982,6,WARLOCK
16036,6,WARRIOR
8294,7,DRUID
2111,7,HUNTER
5084,7,MAGE
2728,7,PALADIN
9273,7,PRIEST
10920,7,ROGUE
19523,7,SHAMAN
7277,7,WARLOCK
23886,7,WARRIOR
12989,8,DRUID
3295,8,HUNTER
8014,8,MAGE
4538,8,PALADIN
14649,8,PRIEST
15106,8,ROGUE
34373,8,SHAMAN
15055,8,WARLOCK
39921,8,WARRIOR
23755,9,DRUID
5832,9,HUNTER
14837,9,MAGE
8435,9,PALADIN
25657,9,PRIEST
28838,9,ROGUE
59339,9,SHAMAN
27520,9,WARLOCK
75733,9,WARRIOR
34070,10,DRUID
9438,10,HUNTER
22222,10,MAGE
12643,10,PALADIN
36395,10,PRIEST
42032,10,ROGUE
90991,10,SHAMAN
39789,10,WARLOCK
111968,10,WARRIOR
48607,11,DRUID
13848,11,HUNTER
30621,11,MAGE
16497,11,PALADIN
45122,11,PRIEST
64002,11,ROGUE
133824,11,SHAMAN
46314,11,WARLOCK
156983,11,WARRIOR
61126,12,DRUID
17785,12,HUNTER
35624,12,MAGE
18710,12,PALADIN
50723,12,PRIEST
81381,12,ROGUE
161387,12,SHAMAN
50902,12,WARLOCK
175776,12,WARRIOR
76196,13,DRUID
22659,13,HUNTER
44154,13,MAGE
21295,13,PALADIN
58947,13,PRIEST
101567,13,ROGUE
204280,13,SHAMAN
57310,13,WARLOCK
181272,13,WARRIOR
88734,14,DRUID
26242,14,HUNTER
51415,14,MAGE
22931,14,PALADIN
66468,14,PRIEST
110968,14,ROGUE
217590,14,SHAMAN
64062,14,WARLOCK
175506,14,WARRIOR
102769,15,DRUID
30157,15,HUNTER
60180,15,MAGE
25205,15,PALADIN
76822,15,PRIEST
119173,15,ROGUE
248912,15,SHAMAN
68073,15,WARLOCK
165232,15,WARRIOR
1,15,NEUTRAL
110243,16,DRUID
30174,16,HUNTER
65204,16,MAGE
25894,16,PALADIN
81649,16,PRIEST
113183,16,ROGUE
244205,16,SHAMAN
69427,16,WARLOCK
151577,16,WARRIOR
116900,17,DRUID
31072,17,HUNTER
72707,17,MAGE
29146,17,PALADIN
88487,17,PRIEST
109718,17,ROGUE
254568,17,SHAMAN
74439,17,WARLOCK
135191,17,WARRIOR
113031,18,DRUID
28358,18,HUNTER
74528,18,MAGE
28439,18,PALADIN
88865,18,PRIEST
96902,18,ROGUE
235346,18,SHAMAN
72986,18,WARLOCK
115827,18,WARRIOR
111743,19,DRUID
27764,19,HUNTER
85543,19,MAGE
32354,19,PALADIN
95987,19,PRIEST
89270,19,ROGUE
231358,19,SHAMAN
79700,19,WARLOCK
99091,19,WARRIOR
100564,20,DRUID
23976,20,HUNTER
83209,20,MAGE
31094,20,PALADIN
90658,20,PRIEST
75091,20,ROGUE
203389,20,SHAMAN
73941,20,WARLOCK
80720,20,WARRIOR
93130,21,DRUID
20822,21,HUNTER
83703,21,MAGE
31908,21,PALADIN
90075,21,PRIEST
63466,21,ROGUE
186882,21,SHAMAN
74202,21,WARLOCK
64996,21,WARRIOR
80074,22,DRUID
17054,22,HUNTER
77911,22,MAGE
28218,22,PALADIN
80819,22,PRIEST
51242,22,ROGUE
154979,22,SHAMAN
65791,22,WARLOCK
50166,22,WARRIOR
69874,23,DRUID
13926,23,HUNTER
74029,23,MAGE
25542,23,PALADIN
76907,23,PRIEST
41049,23,ROGUE
135590,23,SHAMAN
62836,23,WARLOCK
40045,23,WARRIOR
58546,24,DRUID
11111,24,HUNTER
66699,24,MAGE
22604,24,PALADIN
67513,24,PRIEST
32441,24,ROGUE
111410,24,SHAMAN
56089,24,WARLOCK
31513,24,WARRIOR
49441,25,DRUID
8831,25,HUNTER
60600,25,MAGE
19749,25,PALADIN
61521,25,PRIEST
25338,25,ROGUE
94348,25,SHAMAN
51969,25,WARLOCK
25947,25,WARRIOR
40527,26,DRUID
6826,26,HUNTER
55117,26,MAGE
17460,26,PALADIN
54439,26,PRIEST
19803,26,ROGUE
78887,26,SHAMAN
45951,26,WARLOCK
21396,26,WARRIOR
33679,27,DRUID
5325,27,HUNTER
49911,27,MAGE
14957,27,PALADIN
48664,27,PRIEST
15118,27,ROGUE
65483,27,SHAMAN
42371,27,WARLOCK
17944,27,WARRIOR
27587,28,DRUID
4093,28,HUNTER
44602,28,MAGE
13373,28,PALADIN
42980,28,PRIEST
11526,28,ROGUE
54880,28,SHAMAN
37241,28,WARLOCK
15260,28,WARRIOR
22340,29,DRUID
3238,29,HUNTER
39422,29,MAGE
10993,29,PALADIN
37779,29,PRIEST
8513,29,ROGUE
46290,29,SHAMAN
34073,29,WARLOCK
13082,29,WARRIOR
17784,30,DRUID
2556,30,HUNTER
35183,30,MAGE
9943,30,PALADIN
33405,30,PRIEST
6778,30,ROGUE
39024,30,SHAMAN
30236,30,WARLOCK
11423,30,WARRIOR
14293,31,DRUID
1930,31,HUNTER
31287,31,MAGE
8433,31,PALADIN
29166,31,PRIEST
4992,31,ROGUE
32839,31,SHAMAN
27723,31,WARLOCK
9885,31,WARRIOR
11829,32,DRUID
1632,32,HUNTER
28661,32,MAGE
7554,32,PALADIN
26057,32,PRIEST
3707,32,ROGUE
28470,32,SHAMAN
24773,32,WARLOCK
8859,32,WARRIOR
9353,33,DRUID
1256,33,HUNTER
24802,33,MAGE
6190,33,PALADIN
22741,33,PRIEST
2977,33,ROGUE
23717,33,SHAMAN
22176,33,WARLOCK
7636,33,WARRIOR
7327,34,DRUID
992,34,HUNTER
22905,34,MAGE
5707,34,PALADIN
20331,34,PRIEST
2247,34,ROGUE
20539,34,SHAMAN
20035,34,WARLOCK
7037,34,WARRIOR
5721,35,DRUID
771,35,HUNTER
20210,35,MAGE
4900,35,PALADIN
17529,35,PRIEST
1816,35,ROGUE
