n_games,num_turns,player_class
26334,1,DRUID
6553,1,HUNTER
16135,1,MAGE
7880,1,PALADIN
19768,1,PRIEST
14009,1,ROGUE
16660,1,SHAMAN
13782,1,WARLOCK
24817,1,WARRIOR
5069,2,DRUID
1340,2,HUNTER
2666,2,MAGE
1364,2,PALADIN
3992,2,PRIEST
3421,2,ROGUE
3489,2,SHAMAN
2789,2,WARLOCK
8842,2,WARRIOR
5049,3,DRUID
1396,3,HUNTER
2568,3,MAGE
1282,3,PALADIN
4786,3,PRIEST
3362,3,ROGUE
3844,3,SHAMAN
3106,3,WARLOCK
10698,3,WARRIOR
1,3,NEUTRAL
4394,4,DRUID
1420,4,HUNTER
2732,4,MAGE
1348,4,PALADIN
5012,4,PRIEST
3065,4,ROGUE
4813,4,SHAMAN
3690,4,WARLOCK
10764,4,WARRIOR
6573,5,DRUID
1702,5,HUNTER
3189,5,MAGE
1775,5,PALADIN
7385,5,PRIEST
5953,5,ROGUE
6474,5,SHAMAN
5065,5,WARLOCK
19485,5,WARRIOR
1,5,NEUTRAL
7647,6,DRUID
2100,6,HUNTER
3735,6,MAGE
2234,6,PALADIN
8818,6,PRIEST
6495,6,ROGUE
8382,6,SHAMAN
6782,6,WARLOCK
24745,6,WARRIOR
13435,7,DRUID
3243,7,HUNTER
5502,7,MAGE
3462,7,PALADIN
12864,7,PRIEST
12576,7,ROGUE
11432,7,SHAMAN
11255,7,WARLOCK
37607,7,WARRIOR
19790,8,DRUID
4904,8,HUNTER
7873,8,MAGE
5510,8,PALADIN
17613,8,PRIEST
16596,8,ROGUE
18344,8,SHAMAN
20117,8,WARLOCK
56661,8,WARRIOR
36345,9,DRUID
8434,9,HUNTER
13420,9,MAGE
10274,9,PALADIN
30145,9,PRIEST
31702,9,ROGUE
31332,9,SHAMAN
36595,9,WARLOCK
108483,9,WARRIOR
55083,10,DRUID
13862,10,HUNTER
21090,10,MAGE
15544,10,PALADIN
44359,10,PRIEST
49224,10,ROGUE
49775,10,SHAMAN
58849,10,WARLOCK
169838,10,WARRIOR
85508,11,DRUID
21139,11,HUNTER
30005,11,MAGE
21186,11,PALADIN
58435,11,PRIEST
83609,11,ROGUE
75408,11,SHAMAN
77680,11,WARLOCK
254097,11,WARRIOR
1,11,NEUTRAL
111410,12,DRUID
28491,12,HUNTER
38496,12,MAGE
25506,12,PALADIN
69736,12,PRIEST
116347,12,ROGUE
96922,12,SHAMAN
91870,12,WARLOCK
298842,12,WARRIOR
144194,13,DRUID
37157,13,HUNTER
48754,13,MAGE
29911,13,PALADIN
83262,13,PRIEST
144843,13,ROGUE
128017,13,SHAMAN
105842,13,WARLOCK
310924,13,WARRIOR
172451,14,DRUID
42214,14,HUNTER
57508,14,MAGE
32666,14,PALADIN
95284,14,PRIEST
154264,14,ROGUE
142240,14,SHAMAN
115325,14,WARLOCK
301526,14,WARRIOR
201042,15,DRUID
46760,15,HUNTER
68133,15,MAGE
35600,15,PALADIN
111294,15,PRIEST
163206,15,ROGUE
171178,15,SHAMAN
120421,15,WARLOCK
277272,15,WARRIOR
213867,16,DRUID
46443,16,HUNTER
73587,16,MAGE
36974,16,PALADIN
118759,16,PRIEST
153660,16,ROGUE
174719,16,SHAMAN
118369,16,WARLOCK
247960,16,WARRIOR
2,16,NEUTRAL
225996,17,DRUID
47505,17,HUNTER
82953,17,MAGE
41093,17,PALADIN
129221,17,PRIEST
148237,17,ROGUE
193473,17,SHAMAN
120373,17,WARLOCK
216381,17,WARRIOR
218883,18,DRUID
42731,18,HUNTER
83309,18,MAGE
40276,18,PALADIN
128701,18,PRIEST
131489,18,ROGUE
183714,18,SHAMAN
114208,18,WARLOCK
182417,18,WARRIOR
212572,19,DRUID
39923,19,HUNTER
95090,19,MAGE
45329,19,PALADIN
137542,19,PRIEST
121906,19,ROGUE
189988,19,SHAMAN
116790,19,WARLOCK
150484,19,WARRIOR
188811,20,DRUID
33868,20,HUNTER
90231,20,MAGE
43421,20,PALADIN
127707,20,PRIEST
103107,20,ROGUE
168102,20,SHAMAN
104906,20,WARLOCK
117501,20,WARRIOR
172114,21,DRUID
28657,21,HUNTER
88522,21,MAGE
43438,21,PALADIN
128024,21,PRIEST
86379,21,ROGUE
161516,21,SHAMAN
99126,21,WARLOCK
91042,21,WARRIOR
145467,22,DRUID
23019,22,HUNTER
79389,22,MAGE
37785,22,PALADIN
112270,22,PRIEST
68545,22,ROGUE
135835,22,SHAMAN
84522,22,WARLOCK
67546,22,WARRIOR
125845,23,DRUID
