"game_type","rank","opponent_class","player_turn","num_glimmerroots_played","num_correct_choices"
"BGT_ARENA",-1,"DRUID",2,51,22
"BGT_ARENA",-1,"DRUID",3,219,107
"BGT_ARENA",-1,"DRUID",4,66,30
"BGT_ARENA",-1,"DRUID",5,67,40
"BGT_ARENA",-1,"DRUID",6,61,39
"BGT_ARENA",-1,"DRUID",7,57,28
"BGT_ARENA",-1,"DRUID",8,50,28
"BGT_ARENA",-1,"DRUID",9,62,36
"BGT_ARENA",-1,"DRUID",10,31,17
"BGT_ARENA",-1,"DRUID",11,28,19
"BGT_ARENA",-1,"DRUID",12,21,13
"BGT_ARENA",-1,"DRUID",13,15,10
"BGT_ARENA",-1,"DRUID",14,9,7
"BGT_ARENA",-1,"DRUID",15,10,8
"BGT_ARENA",-1,"DRUID",16,6,5
"BGT_ARENA",-1,"DRUID",17,2,2
"BGT_ARENA",-1,"DRUID",18,2,2
"BGT_ARENA",-1,"DRUID",19,1,1
"BGT_ARENA",-1,"DRUID",21,1,1
"BGT_ARENA",-1,"DRUID",24,2,2
"BGT_ARENA",-1,"HUNTER",2,98,53
"BGT_ARENA",-1,"HUNTER",3,437,233
"BGT_ARENA",-1,"HUNTER",4,122,67
"BGT_ARENA",-1,"HUNTER",5,153,81
"BGT_ARENA",-1,"HUNTER",6,118,66
"BGT_ARENA",-1,"HUNTER",7,137,77
"BGT_ARENA",-1,"HUNTER",8,95,66
"BGT_ARENA",-1,"HUNTER",9,101,63
"BGT_ARENA",-1,"HUNTER",10,82,47
"BGT_ARENA",-1,"HUNTER",11,55,35
"BGT_ARENA",-1,"HUNTER",12,27,20
"BGT_ARENA",-1,"HUNTER",13,16,11
"BGT_ARENA",-1,"HUNTER",14,10,5
"BGT_ARENA",-1,"HUNTER",15,9,4
"BGT_ARENA",-1,"HUNTER",16,1,1
"BGT_ARENA",-1,"HUNTER",18,2,2
"BGT_ARENA",-1,"HUNTER",19,1,1
"BGT_ARENA",-1,"HUNTER",20,0,0
"BGT_ARENA",-1,"HUNTER",22,1,0
"BGT_ARENA",-1,"HUNTER",23,1,1
"BGT_ARENA",-1,"MAGE",2,348,211
"BGT_ARENA",-1,"MAGE",3,1213,706
"BGT_ARENA",-1,"MAGE",4,339,164
"BGT_ARENA",-1,"MAGE",5,419,240
"BGT_ARENA",-1,"MAGE",6,355,208
"BGT_ARENA",-1,"MAGE",7,369,217
"BGT_ARENA",-1,"MAGE",8,300,194
"BGT_ARENA",-1,"MAGE",9,314,188
"BGT_ARENA",-1,"MAGE",10,273,174
"BGT_ARENA",-1,"MAGE",11,213,141
"BGT_ARENA",-1,"MAGE",12,175,120
"BGT_ARENA",-1,"MAGE",13,143,99
"BGT_ARENA",-1,"MAGE",14,111,76
"BGT_ARENA",-1,"MAGE",15,83,53
"BGT_ARENA",-1,"MAGE",16,67,53
"BGT_ARENA",-1,"MAGE",17,48,34
"BGT_ARENA",-1,"MAGE",18,30,21
"BGT_ARENA",-1,"MAGE",19,23,18
"BGT_ARENA",-1,"MAGE",20,14,12
"BGT_ARENA",-1,"MAGE",21,19,12
"BGT_ARENA",-1,"MAGE",22,11,9
"BGT_ARENA",-1,"MAGE",23,9,8
"BGT_ARENA",-1,"MAGE",24,6,6
"BGT_ARENA",-1,"MAGE",25,3,3
"BGT_ARENA",20,"MAGE",5,1,1
"BGT_ARENA",-1,"PALADIN",2,283,166
"BGT_ARENA",-1,"PALADIN",3,963,539
"BGT_ARENA",-1,"PALADIN",4,287,165
"BGT_ARENA",-1,"PALADIN",5,347,214
"BGT_ARENA",-1,"PALADIN",6,290,168
"BGT_ARENA",-1,"PALADIN",7,307,192
"BGT_ARENA",-1,"PALADIN",8,240,156
"BGT_ARENA",-1,"PALADIN",9,221,137
"BGT_ARENA",-1,"PALADIN",10,162,98
"BGT_ARENA",-1,"PALADIN",11,164,109
"BGT_ARENA",-1,"PALADIN",12,106,75
"BGT_ARENA",-1,"PALADIN",13,66,42
"BGT_ARENA",-1,"PALADIN",14,48,31
"BGT_ARENA",-1,"PALADIN",15,27,17
"BGT_ARENA",-1,"PALADIN",16,33,24
"BGT_ARENA",-1,"PALADIN",17,21,13
"BGT_ARENA",-1,"PALADIN",18,12,8
"BGT_ARENA",-1,"PALADIN",19,7,5
"BGT_ARENA",-1,"PALADIN",20,5,4
"BGT_ARENA",-1,"PALADIN",21,8,7
"BGT_ARENA",-1,"PALADIN",22,2,2
"BGT_ARENA",-1,"PALADIN",23,2,1
"BGT_ARENA",-1,"PALADIN",24,1,1
"BGT_ARENA",-1,"PALADIN",26,1,1
"BGT_ARENA",20,"PALADIN",3,1,0
"BGT_ARENA",-1,"PRIEST",2,188,91
"BGT_ARENA",-1,"PRIEST",3,650,360
