"games_played_with_card_in_deck","rank_category","card_name"
236283,"GrindTo5","Fiery War Axe"
174374,"Rank15","Fiery War Axe"
32304,"other","Dread Corsair"
79870,"other","Bloodmage Thalnos"
227129,"GrindTo15","Kindly Grandmother"
50893,"GrindTo15","Spellbender"
579933,"GrindTo10","Primordial Glyph"
48404,"other","Consecration"
83014,"Rank15","Vilespine Slayer"
12527,"GrindTo10","Molten Reflection"
330408,"GrindTo15","Houndmaster"
105868,"Rank10","Preparation"
10385,"GrindTo15","Stormforged Axe"
95429,"GrindToLegend","Shadowstep"
38197,"Legend","The Caverns Below"
287426,"GrindTo5","Jade Claws"
23984,"Legend","Wild Pyromancer"
10402,"Rank10","Eggnapper"
21161,"Rank10","Deadly Shot"
6637,"other","Jade Swarmer"
6390,"other","Trogg Beastrager"
43659,"Legend","Golakka Crawler"
8417,"other","Tar Lurker"
7890,"Rank10","White Eyes"
58380,"Rank15","Ravasaur Runt"
24038,"Rank15","Deathwing"
7968,"Rank15","Call in the Finishers"
36239,"Rank5","Slam"
15777,"Rank5","Murloc Tidehunter"
957,"other","Hozen Healer"
25486,"GrindTo5","Infested Tauren"
160720,"GrindToLegend","Pyroblast"
5946,"GrindTo15","Divine Strength"
1589,"Rank15","Herald Volazj"
1939,"Rank15","Charged Devilsaur"
7085,"GrindTo10","Stranglethorn Tiger"
1713,"Rank15","Worgen Infiltrator"
2467,"Rank10","Wolfrider"
23770,"Rank5","Cairne Bloodhoof"
2805,"other","Booty Bay Bodyguard"
14421,"GrindTo5","Thoughtsteal"
6522,"GrindTo10","Blood To Ichor"
2956,"Rank15","Lightwell"
175,"Rank5","Hand of Protection"
2815,"GrindTo5","Call in the Finishers"
202,"GrindTo15","Defias Cleaner"
1197,"Rank5","Flamewreathed Faceless"
5890,"GrindToLegend","Xaril, Poisoned Mind"
544,"Legend","Tol'vir Warden"
1117,"GrindTo10","Lorewalker Cho"
3818,"Legend","Open the Waygate"
238,"Rank5","Fight Promoter"
429,"Rank10","Elven Archer"
411,"GrindTo5","Lotus Assassin"
265556,"GrindToLegend","Bloodsail Corsair"
84260,"Rank15","Kor'kron Elite"
7113,"other","Bog Creeper"
262410,"GrindTo15","Flametongue Totem"
52448,"other","Lyra the Sunshard"
64382,"GrindTo10","Shield Slam"
4233,"other","Twilight Summoner"
12131,"other","Cult Master"
11999,"Rank15","Xaril, Poisoned Mind"
27130,"GrindTo15","Tracking"
170352,"Rank15","Pyroblast"
110691,"GrindTo10","Grimscale Chum"
243392,"GrindTo10","Vicious Fledgling"
3291,"GrindToLegend","Hunter's Mark"
94714,"Rank10","Kabal Courier"
36208,"Rank10","Rat Pack"
38153,"GrindToLegend","Twilight Drake"
14852,"GrindTo15","I Know a Guy"
88593,"GrindTo10","Hot Spring Guardian"
171795,"GrindTo5","Dragonfire Potion"
8921,"other","Starfire"
12690,"Rank15","Pint-Size Potion"
2227,"other","Servant of Yogg-Saron"
10605,"Legend","Forbidden Healing"
4945,"GrindTo15","Selfless Hero"
3585,"GrindTo5","Evolving Spores"
3654,"GrindTo10","Grimestreet Protector"
27977,"GrindTo5","Kazakus"
3861,"Rank15","Thistle Tea"
729,"other","Greater Arcane Missiles"
4198,"Rank10","Mountain Giant"
13901,"GrindToLegend","Fire Elemental"
668,"other","Warsong Commander"
4609,"Rank5","Mind Control Tech"
1975,"GrindTo15","Perdition's Blade"
5808,"Rank10","Beckoner of Evil"
2386,"other","Hired Gun"
4718,"GrindTo10","Soggoth the Slitherer"
1473,"Rank5","Defias Ringleader"
7130,"Rank10","Awaken the Makers"
6077,"Rank10","Timber Wolf"
5188,"GrindToLegend","Coldlight Oracle"
1193,"GrindTo10","Grimestreet Pawnbroker"
1357,"Rank5","Lotus Agents"
