"games_played_with_card_in_deck","rank_category","card_name"
560666,"GrindTo15","Golakka Crawler"
24661,"GrindTo15","Abyssal Enforcer"
34724,"GrindTo15","Open the Waygate"
24506,"other","Malchezaar's Imp"
117485,"other","Wrath"
326899,"Rank15","Jade Claws"
118939,"other","Novice Engineer"
107744,"other","Sorcerer's Apprentice"
110794,"Rank15","Slam"
58560,"GrindTo15","Tol'vir Warden"
161565,"Rank15","Brawl"
179919,"Rank10","Consecration"
4821,"GrindTo5","Mass Dispel"
10211,"GrindTo15","Drain Life"
6772,"other","Giant Anaconda"
40601,"Legend","Rockpool Hunter"
42953,"GrindTo5","Pyros"
2970,"other","Kun the Forgotten King"
96691,"GrindTo5","Book Wyrm"
15207,"Rank10","Lightning Bolt"
6912,"GrindTo10","I Know a Guy"
2416,"GrindTo10","Feeding Time"
2423,"Rank10","Swamp King Dred"
3107,"other","Mindgames"
79316,"Rank5","Frost Nova"
1504,"other","Demolisher"
9061,"Rank10","Ravenous Pterrordax"
1178,"GrindTo10","Young Dragonhawk"
6827,"Rank10","Xaril, Poisoned Mind"
1724,"GrindTo5","Demonfire"
448,"GrindTo10","Forked Lightning"
8764,"Legend","Loot Hoarder"
1907,"other","Ultrasaur"
829,"Rank15","Windspeaker"
153,"Rank5","Princess Huhuran"
314,"Rank5","Shatter"
2314,"GrindTo5","Hemet, Jungle Hunter"
3110,"Rank5","Malygos"
2878,"GrindTo10","Leper Gnome"
211,"Rank5","Stormwind Knight"
713,"GrindTo5","Nerubian Prophet"
114,"Rank5","Toxic Sewer Ooze"
136,"GrindTo10","Mana Wraith"
158,"GrindToLegend","Iron Hide"
68846,"other","Arcane Giant"
420792,"GrindTo10","Doomsayer"
148594,"GrindTo15","Defender of Argus"
45693,"Rank15","Soulfire"
50919,"Rank15","Cold Blood"
352101,"GrindTo10","Hungry Crab"
194946,"GrindTo5","Eviscerate"
49557,"Rank15","Sherazin, Corpse Flower"
270847,"GrindTo5","Priest of the Feast"
110071,"GrindTo15","Faceless Shambler"
122122,"GrindTo15","Ragnaros, Lightlord"
254852,"Rank10","Mana Tide Totem"
89286,"Rank15","Yogg-Saron, Hope's End"
8208,"other","Dark Iron Dwarf"
21406,"GrindToLegend","Humongous Razorleaf"
14940,"GrindTo15","Mana Geode"
7018,"other","Terrorscale Stalker"
192940,"Rank5","Murloc Warleader"
1531,"other","Explore Un'Goro"
31718,"GrindTo10","Disciple of C'Thun"
175139,"GrindTo5","Dire Wolf Alpha"
16242,"Rank5","Kazakus"
9250,"Legend","Jinyu Waterspeaker"
34846,"GrindTo10","Mana Bind"
2654,"Rank15","Public Defender"
1609,"GrindTo10","Getaway Kodo"
4393,"Rank15","Feeding Time"
24152,"GrindTo10","Hellfire"
2359,"Rank15","On the Hunt"
3479,"GrindTo15","Commanding Shout"
22151,"Rank15","Moonglade Portal"
5606,"Rank15","Unite the Murlocs"
19319,"Rank10","Barnes"
459,"GrindTo15","Hogger, Doom of Elwynn"
1940,"GrindTo10","The Voraxx"
1355,"Rank15","Young Dragonhawk"
298,"other","Silithid Swarmer"
1102,"GrindTo15","Magma Rager"
609,"GrindTo10","Razorfen Hunter"
11751,"Rank5","Pint-Size Potion"
218,"GrindToLegend","Twilight Flamecaller"
465,"Rank10","Goldshire Footman"
607,"GrindTo5","Prophet Velen"
2132,"Rank5","Evolving Spores"
548,"GrindTo10","Biteweed"
356,"Rank10","Psych-o-Tron"
314,"Legend","Gnomish Inventor"
276,"Rank15","Twisted Worgen"
185,"GrindTo15","War Golem"
362514,"GrindTo10","Novice Engineer"
68715,"Rank15","Defender of Argus"
285638,"Rank15","Kill Command"
63347,"other","Spikeridged Steed"
374477,"GrindTo10","Shadowstep"
44314,"Rank15","Voidwalker"
395491,"GrindTo5","Aya Blackpaw"
39899,"Legend","Flamestrike"
1337,"other","Forlorn Stalker"
13153,"other","Kazakus"
41865,"Legend","Dirty Rat"
59298,"Rank10","Shield Block"
41884,"Rank5","Jinyu Waterspeaker"
5464,"GrindTo10","Kun the Forgotten King"
9785,"other","Pint-Size Potion"
52671,"Legend","Northshire Cleric"
3684,"other","Addled Grizzly"
1707,"GrindTo5","Mukla, Tyrant of the Vale"
28306,"Rank10","Rallying Blade"
25442,"GrindTo5","Primalfin Lookout"
9881,"Rank5","Explosive Trap"
85230,"Rank5","Kill Command"
7201,"other","Thistle Tea"
1056,"GrindTo15","Forbidden Ancient"
18653,"Rank10","Auchenai Soulpriest"
911,"GrindTo10","Iron Hide"
45011,"Rank5","Lightning Storm"
1546,"other","Priestess of Elune"
1277,"Rank15","Gladiator's Longbow"
1154,"GrindTo5","Embrace the Shadow"
3471,"GrindTo10","Cult Sorcerer"
609,"GrindTo10","Nat Pagle"
4522,"Rank10","Ancestral Spirit"
1973,"Rank15","Forbidden Flame"
2034,"GrindTo10","Spirit Claws"
59485,"Legend","Devolve"
1965,"GrindTo5","Fire Plume Harbinger"
4289,"Rank10","Moonfire"
333,"GrindTo10","Giant Sand Worm"
511,"GrindTo5","Hozen Healer"
209,"GrindTo10","Emperor Cobra"
773,"Rank15","Shatter"
2478,"GrindTo5","Tyrantus"
646,"GrindTo10","Mindgames"
612,"GrindToLegend","King Mosh"
3433,"GrindToLegend","Grimestreet Informant"
456,"GrindTo5","Madam Goya"
339,"GrindToLegend","Kobold Geomancer"
451,"GrindToLegend","Earth Shock"
567,"GrindTo10","Ultrasaur"
192,"GrindTo5","Ancient of Blossoms"
595009,"GrindTo15","Patches the Pirate"
77954,"Rank5","Naga Corsair"
