card_name,times_played,card_cost,card_attack,card_health,has_taunt,opponent_class,avg_damage_soaked,avg_damage_output,win_rate
Prophet Velen,390,7,7,7,FALSE,MAGE,5.933333333,8.78974359,55.64
Prophet Velen,584,7,7,7,FALSE,PRIEST,6.210616438,9.167808219,59.58
Prophet Velen,145,7,7,7,FALSE,HUNTER,6.75862069,10.02068966,71.03
Prophet Velen,66,7,7,7,FALSE,WARLOCK,6.075757576,8.136363636,71.21
Prophet Velen,1671,7,7,7,FALSE,DRUID,6.84320766,10.92818671,72.17
Prophet Velen,509,7,7,7,FALSE,PALADIN,7.017681729,9.294695481,73.47
Prophet Velen,236,7,7,7,FALSE,WARRIOR,5.046610169,10.3220339,80.08
Prophet Velen,74,7,7,7,FALSE,ROGUE,6.918918919,9.081081081,81.08
Prophet Velen,201,7,7,7,FALSE,SHAMAN,6,9.736318408,88.55
Mana Addict,57,2,1,3,FALSE,PRIEST,4.596491228,3.561403509,35.08
Mana Addict,18,2,1,3,FALSE,HUNTER,5.555555556,4.5,50
Mana Addict,257,2,1,3,FALSE,DRUID,3.443579767,4.140077821,58.36
Mana Addict,39,2,1,3,FALSE,MAGE,2.692307692,4.666666667,58.97
Mana Addict,213,2,1,3,FALSE,SHAMAN,3.840375587,4.201877934,61.97
Mana Addict,85,2,1,3,FALSE,PALADIN,3.882352941,3.541176471,65.88
Mana Addict,12,2,1,3,FALSE,WARLOCK,5.25,4.25,66.66
Mana Addict,22,2,1,3,FALSE,WARRIOR,4.409090909,4.454545455,72.72
Mana Addict,23,2,1,3,FALSE,ROGUE,4.173913043,3.695652174,73.91
Kor'kron Elite,6125,4,4,3,FALSE,SHAMAN,3.561632653,5.728979592,37.02
Kor'kron Elite,17260,4,4,3,FALSE,PALADIN,3.814252607,5.490672074,37.31
Kor'kron Elite,44911,4,4,3,FALSE,DRUID,3.637438489,5.903720692,38.45
Kor'kron Elite,14853,4,4,3,FALSE,PRIEST,4.055948293,6.493166364,38.75
Kor'kron Elite,3420,4,4,3,FALSE,HUNTER,3.75994152,5.031578947,42.01
Kor'kron Elite,10651,4,4,3,FALSE,WARRIOR,4.050981129,4.759553094,44.75
Kor'kron Elite,4015,4,4,3,FALSE,WARLOCK,3.679950187,5.187795766,53.59
Kor'kron Elite,4286,4,4,3,FALSE,ROGUE,3.807512832,4.668922072,55.15
Kor'kron Elite,8476,4,4,3,FALSE,MAGE,3.593440302,5.480887211,57.32
Al'Akir the Windlord,148,8,3,5,TRUE,WARLOCK,4.25,7.804054054,35.81
Al'Akir the Windlord,771,8,3,5,TRUE,PRIEST,4.070038911,8.590142672,36.05
