card_name,times_played,card_cost,card_attack,card_health,has_taunt,opponent_class,avg_damage_soaked,avg_damage_output,win_rate
Prophet Velen,2002,7,7,7,FALSE,MAGE,4.046953047,1.429070929,59.64
Prophet Velen,4787,7,7,7,FALSE,PRIEST,1.836640902,0.8928347608,63.06
Prophet Velen,7182,7,7,7,FALSE,DRUID,3.620579226,2.393205235,67.43
Prophet Velen,978,7,7,7,FALSE,WARLOCK,1.91002045,0.3987730061,69.12
Prophet Velen,926,7,7,7,FALSE,ROGUE,1.903887689,0.7840172786,69.76
Prophet Velen,558,7,7,7,FALSE,HUNTER,3.485663082,2.833333333,72.04
Prophet Velen,2580,7,7,7,FALSE,PALADIN,3.411627907,1.730620155,72.79
Prophet Velen,1145,7,7,7,FALSE,WARRIOR,2.453275109,2.676855895,77.37
Prophet Velen,832,7,7,7,FALSE,SHAMAN,2.549278846,1.592548077,77.4
Mana Addict,2,2,1,3,FALSE,HUNTER,4.5,4.5,0
Mana Addict,1,2,1,3,FALSE,MAGE,2,16,0
Mana Addict,3,2,1,3,FALSE,PRIEST,3,3.333333333,33.33
Mana Addict,8,2,1,3,FALSE,DRUID,2.25,3.5,50
Mana Addict,4,2,1,3,FALSE,PALADIN,2.75,1.5,50
Mana Addict,9,2,1,3,FALSE,ROGUE,1.777777778,2.444444444,66.66
Mana Addict,3,2,1,3,FALSE,SHAMAN,2.333333333,6.666666667,66.66
Mana Addict,1,2,1,3,FALSE,WARLOCK,4,5,100
Kor'kron Elite,7820,4,4,3,FALSE,SHAMAN,2.753324808,5.615601023,44.09
Kor'kron Elite,20282,4,4,3,FALSE,PALADIN,3.233754068,5.339808697,44.7
Kor'kron Elite,54774,4,4,3,FALSE,DRUID,2.972432176,5.713185088,46.38
Kor'kron Elite,4290,4,4,3,FALSE,HUNTER,2.996503497,4.920512821,48.64
Kor'kron Elite,21356,4,4,3,FALSE,PRIEST,2.811762502,6.260301555,51.17
Kor'kron Elite,13025,4,4,3,FALSE,WARRIOR,3.199001919,4.742418426,52.33
Kor'kron Elite,5307,4,4,3,FALSE,WARLOCK,2.764462031,5.039570379,61.72
Kor'kron Elite,5793,4,4,3,FALSE,ROGUE,2.806145348,4.584671155,61.78
Kor'kron Elite,12443,4,4,3,FALSE,MAGE,2.511693322,5.051193442,65.89
Al'Akir the Windlord,743,8,3,5,TRUE,PRIEST,3.086137281,8.288021534,37.28
Al'Akir the Windlord,170,8,3,5,TRUE,WARLOCK,2.705882353,7.041176471,40.58
Al'Akir the Windlord,946,8,3,5,TRUE,DRUID,3.882663848,7.243128964,41.01
Al'Akir the Windlord,350,8,3,5,TRUE,MAGE,2.477142857,6.934285714,54
Al'Akir the Windlord,399,8,3,5,TRUE,PALADIN,4.097744361,7.689223058,55.88
Al'Akir the Windlord,286,8,3,5,TRUE,SHAMAN,3.566433566,7.300699301,58.04
Al'Akir the Windlord,132,8,3,5,TRUE,ROGUE,3.151515152,6.939393939,58.33
Al'Akir the Windlord,125,8,3,5,TRUE,WARRIOR,3.168,7.56,67.2
Al'Akir the Windlord,62,8,3,5,TRUE,HUNTER,3.467741935,9.5,70.96
Silvermoon Guardian,3,4,3,3,FALSE,SHAMAN,3.666666667,5.666666667,0
Silvermoon Guardian,4,4,3,3,FALSE,ROGUE,1.5,2.25,25
Silvermoon Guardian,8,4,3,3,FALSE,PRIEST,2.25,5.75,25
Silvermoon Guardian,8,4,3,3,FALSE,DRUID,4.25,4.25,50
Silvermoon Guardian,4,4,3,3,FALSE,WARRIOR,4.75,2.75,50
Silvermoon Guardian,6,4,3,3,FALSE,PALADIN,4.666666667,8.166666667,83.33
Silvermoon Guardian,2,4,3,3,FALSE,MAGE,0,10,100
Silvermoon Guardian,1,4,3,3,FALSE,HUNTER,4,3,100
Silvermoon Guardian,1,4,3,3,FALSE,WARLOCK,3,0,100
Cenarius,205,9,5,8,FALSE,PRIEST,3.434146341,3.531707317,49.75
Cenarius,139,9,5,8,FALSE,PALADIN,3.820143885,3.81294964,52.51
Cenarius,49,9,5,8,FALSE,WARLOCK,5.306122449,2.489795918,53.06
Cenarius,58,9,5,8,FALSE,SHAMAN,4.293103448,3.810344828,53.44
Cenarius,128,9,5,8,FALSE,MAGE,4.453125,3.0625,54.68
Cenarius,1068,9,5,8,FALSE,DRUID,3.695692884,4.347378277,56.17
Cenarius,56,9,5,8,FALSE,WARRIOR,3.589285714,4.339285714,60.71
Cenarius,46,9,5,8,FALSE,ROGUE,3.130434783,3.52173913,60.86
Cenarius,24,9,5,8,FALSE,HUNTER,4.458333333,5.083333333,66.66
Pint-Sized Summoner,1,2,2,2,FALSE,MAGE,2,0,0
Pint-Sized Summoner,5,2,2,2,FALSE,DRUID,1.6,4,20
Pint-Sized Summoner,4,2,2,2,FALSE,PALADIN,3.75,2.25,25
Pint-Sized Summoner,4,2,2,2,FALSE,PRIEST,0.5,1,25
Pint-Sized Summoner,2,2,2,2,FALSE,SHAMAN,1,0,50
Pint-Sized Summoner,7,2,2,2,FALSE,ROGUE,2.142857143,2.142857143,57.14
