barnes_created_entity,created_entity_creation,num_occurances,win_rate,no_barnes_WR,delta
"Y'Shaarj, Rage Unbound","Deathwing, Dragonlord",110,92.72,49.41,43.31
"Y'Shaarj, Rage Unbound",Obsidian Statue,9403,91.16,49.41,41.75
"Y'Shaarj, Rage Unbound",The Lich King,4641,90.21,49.41,40.8
"Y'Shaarj, Rage Unbound","Y'Shaarj, Rage Unbound",7280,89.87,49.41,40.46
"Y'Shaarj, Rage Unbound",Ysera,4210,87.48,49.41,38.07
"Y'Shaarj, Rage Unbound",Malygos,455,87.03,49.41,37.62
"Y'Shaarj, Rage Unbound",Prophet Velen,335,85.67,49.41,36.26
"Y'Shaarj, Rage Unbound",,337,83.67,49.41,34.26
"Y'Shaarj, Rage Unbound",Priest of the Feast,177,83.61,49.41,34.2
Ysera,Ysera Awakens,4448,68.52,49.41,19.11
Ysera,Dream,4517,65.53,49.41,16.12
The Lich King,Death and Decay,3336,65.4,49.41,15.99
Ysera,Emerald Drake,4168,64.05,49.41,14.64
Obsidian Statue,,56357,63.92,49.41,14.51
The Lich King,Doom Pact,2630,63.38,49.41,13.97
Wild Pyromancer,,164,37.19,,
Volatile Elemental,,100,42,,
Tortollan Shellraiser,,1792,52.39,,
The Lich King,Frostmourne,2883,63.23,49.41,13.82
Ysera,Nightmare,3919,62.97,49.41,13.56
Ysera,Laughing Sister,4386,62.95,49.41,13.54
The Lich King,Death Coil,3216,62.22,49.41,12.81
The Lich King,Anti-Magic Shell,2831,61.6,49.41,12.19
The Lich King,Obliterate,3107,61.21,49.41,11.8
The Lich King,Death Grip,3207,57.93,49.41,8.52
The Lich King,Army of the Dead,2456,56.88,49.41,7.47
The Lich King,,5502,55.94,49.41,6.53
The Black Knight,,150,52,,
Tar Creeper,,362,51.1,,
Stonehill Defender,,975,46.97,,
Spiritsinger Umbra,,100,34,,
Soggoth the Slitherer,,244,54.09,,
Skulking Geist,,1832,46.45,,
Shifting Shade,,792,48.73,,
Shallow Gravedigger,,232,40.51,,
Shadow Ascendant,,190,47.89,,
Raza the Chained,,1573,46.4,,
Radiant Elemental,,1720,46.04,,
Prophet Velen,,2321,48.81,,
Primordial Drake,,413,49.87,,
Priest of the Feast,,3016,47.64,,
Onyx Bishop,,904,36.5,,
Ysera,,3485,51.21,49.41,1.8
Northshire Cleric,,2146,45.66,,
Netherspite Historian,,106,45.28,,
"N'Zoth, the Corruptor",,2425,44.74,,
Mountain Giant,,119,39.49,,
Mistress of Mixtures,,276,42.75,,
Mirage Caller,,482,38.79,,
"Medivh, the Guardian",,466,39.91,,
Malygos,,2603,55.58,,
Lyra the Sunshard,,1074,45.25,,
Loot Hoarder,,564,41.84,,
Kazakus,,1642,48.47,,
Kabal Talonpriest,,436,48.39,,
Kabal Songstealer,,305,47.54,,
Kabal Courier,,141,45.39,,
Infested Tauren,,135,54.07,,
Happy Ghoul,,581,48.7,,
Gruul,,132,46.21,,
Gluttonous Ooze,,715,49.79,,
Giant Mastodon,,100,50,,
Elise the Trailblazer,,988,47.87,,
Eater of Secrets,,180,41.66,,
Drakonid Operative,,152,39.47,,
Doomsayer,,494,40.68,,
"Deathwing, Dragonlord",,919,63.54,,
Deathwing,,513,53.8,,
Curious Glimmerroot,,560,47.5,,
Crystalline Oracle,,1429,49.54,,
Cobalt Scalebane,,142,48.59,,
Charged Devilsaur,,109,52.29,,
Cairne Bloodhoof,,1623,61.98,,
Cabal Shadow Priest,,1019,49.55,,
Bonemare,,107,44.85,,
Bone Drake,,589,47.87,,
Bloodmage Thalnos,,1261,54.95,,
Blood of The Ancient One,,289,50.51,,
Auchenai Soulpriest,,193,39.37,,
Arfus,,419,47.97,,
Archbishop Benedictus,,204,46.56,,
Arcane Giant,,238,50.42,,
Acolyte of Pain,,336,49.7,,
Acidic Swamp Ooze,,170,44.11,,
