game_date,game_type,total_games
2017-04-06,2,1352308
2017-04-07,2,2824086
2017-04-08,2,3097214
2017-04-09,2,3142592
2017-04-10,2,2378762
2017-04-11,2,2431672
2017-04-12,2,2226928
2017-04-13,2,2228614
2017-08-10,2,882110
2017-08-11,2,2129570
2017-08-12,2,2313608
2017-08-13,2,2401010
2017-08-14,2,2192062
2017-08-15,2,2181314
2017-08-16,2,2070828
2017-08-17,2,1846660
2017-12-07,2,998496
2017-12-08,2,1461916
2017-12-09,2,1733196
2017-12-10,2,1835954
2017-12-11,2,1603990
2017-12-12,2,142138
2017-04-06,30,137030
2017-04-07,30,171994
2017-04-08,30,211410
2017-04-09,30,235062
2017-04-10,30,177166
2017-04-11,30,197212
2017-04-12,30,179942
2017-04-13,30,182734
2017-08-10,30,128766
2017-08-11,30,192418
2017-08-12,30,218260
2017-08-13,30,226722
2017-08-14,30,214234
2017-08-15,30,211582
2017-08-16,30,208410
2017-08-17,30,189158
2017-12-07,30,119204
2017-12-08,30,115748
2017-12-09,30,141688
2017-12-10,30,149960
2017-12-11,30,136074
2017-12-12,30,12948
