deck_games_qdklw,wins,game_date,game_type,f_card_name,dbf_id,total_games
685,376,2017-12-08,30,"Thrall, Deathseer",42987,1003286
1577,920,2017-12-08,30,Skull of the Man'ari,46299,1003286
72387,40560,2017-12-09,2,Aluneth,43426,16454921
52,23,2017-12-07,30,Woecleaver,46077,1113621
19523,10577,2017-12-07,2,"Thrall, Deathseer",42987,9753137
1882,957,2017-12-07,2,Twig of the World Tree,46107,9753137
190,89,2017-12-08,30,The Runespear,46305,1003286
2020,975,2017-12-08,30,Frost Lich Jaina,43419,1003286
6389,3589,2017-12-09,30,Shadowreaper Anduin,43408,1222740
1525,863,2017-12-09,30,Rhok'delar,43369,1222740
1317,670,2017-12-10,2,Fire Plume's Heart,41427,6006460
153,75,2017-12-10,2,The Marsh Queen,41368,6006460
55503,31314,2017-12-08,2,Aluneth,43426,13790106
48963,25831,2017-12-09,2,Malfurion the Pestilent,43417,16454921
2352,1305,2017-12-07,30,Malfurion the Pestilent,43417,1113621
671,291,2017-12-08,30,Open the Waygate,41168,1003286
154,78,2017-12-08,30,Jungle Giants,41099,1003286
14410,7284,2017-12-09,2,"Thrall, Deathseer",42987,16454921
11085,5557,2017-12-09,2,Twig of the World Tree,46107,16454921
72,29,2017-12-09,30,The Marsh Queen,41368,1222740
4180,1691,2017-12-10,2,Open the Waygate,41168,6006460
5176,2502,2017-12-10,2,Woecleaver,46077,6006460
131,65,2017-12-10,30,Fire Plume's Heart,41427,436295
215,91,2017-12-07,30,Jungle Giants,41099,1113621
1092,550,2017-12-07,30,Awaken the Makers,41494,1113621
30508,16252,2017-12-08,2,Skull of the Man'ari,46299,13790106
631,320,2017-12-08,30,Twig of the World Tree,46107,1003286
3255,1678,2017-12-10,2,Uther of the Ebon Blade,43406,6006460
23,8,2017-12-10,30,The Marsh Queen,41368,436295
3260,1471,2017-12-08,2,The Caverns Below,41222,13790106
10299,4970,2017-12-08,2,Woecleaver,46077,13790106
5433,3142,2017-12-08,30,Bloodreaver Gul'dan,43415,1003286
2496,1377,2017-12-08,30,Deathstalker Rexxar,43398,1003286
1213,648,2017-12-09,30,Val'anyr,46263,1222740
170,83,2017-12-09,30,The Runespear,46305,1222740
2193,1053,2017-12-10,2,Awaken the Makers,41494,6006460
723,300,2017-12-10,2,Jungle Giants,41099,6006460
695,327,2017-12-10,30,Frost Lich Jaina,43419,436295
88,62,2017-12-10,30,Unite the Murlocs,41499,436295
1487,793,2017-12-10,30,Kingsbane,47035,436295
7818,4367,2017-12-07,2,Aluneth,43426,9753137
4559,2570,2017-12-07,30,Bloodreaver Gul'dan,43415,1113621
603,299,2017-12-08,30,Dragon Soul,45528,1003286
7237,3456,2017-12-09,2,Awaken the Makers,41494,16454921
1792,833,2017-12-09,2,Jungle Giants,41099,16454921
2029,991,2017-12-09,30,Frost Lich Jaina,43419,1222740
4653,2363,2017-12-10,2,"Thrall, Deathseer",42987,6006460
4136,2102,2017-12-10,2,Twig of the World Tree,46107,6006460
11653,5057,2017-12-07,2,Valeera the Hollow,43392,9753137
8031,3708,2017-12-07,2,Scourgelord Garrosh,43423,9753137
65289,38640,2017-12-08,2,Rhok'delar,43369,13790106
1653,883,2017-12-08,30,Malfurion the Pestilent,43417,1003286
12572,5140,2017-12-09,2,Open the Waygate,41168,16454921
3301,1460,2017-12-09,2,The Caverns Below,41222,16454921
7576,3848,2017-12-09,2,Uther of the Ebon Blade,43406,16454921
255,110,2017-12-09,30,Fire Plume's Heart,41427,1222740
10140,5187,2017-12-10,2,Skull of the Man'ari,46299,6006460
793,445,2017-12-10,30,Deathstalker Rexxar,43398,436295
142,75,2017-12-10,30,Dragon Soul,45528,436295
26779,15195,2017-12-07,2,Deathstalker Rexxar,43398,9753137
80167,46436,2017-12-08,2,Deathstalker Rexxar,43398,13790106
97107,51976,2017-12-08,2,Bloodreaver Gul'dan,43415,13790106
