nzoth_created_entity,week_of_year,year,game_type,card_class,num_occurances,wins
Sylvanas Windrunner,31,2017,BGT_RANKED_WILD,ROGUE,1056,743
Infested Tauren,31,2017,BGT_RANKED_STANDARD,WARRIOR,2785,1817
Infested Tauren,31,2017,BGT_RANKED_STANDARD,SHAMAN,428,253
Tortollan Shellraiser,31,2017,BGT_RANKED_STANDARD,PRIEST,13123,8278
Mechanical Yeti,31,2017,BGT_RANKED_WILD,PRIEST,286,196
Cairne Bloodhoof,32,2017,BGT_RANKED_STANDARD,WARLOCK,378,226
Sludge Belcher,32,2017,BGT_RANKED_WILD,WARRIOR,4265,2652
Stalagg,32,2017,BGT_RANKED_WILD,HUNTER,149,94
Feugen,32,2017,BGT_RANKED_WILD,PRIEST,822,588
Boom Bot,32,2017,BGT_RANKED_WILD,PALADIN,1116,688
Devilsaur Egg,32,2017,BGT_RANKED_STANDARD,WARLOCK,1135,540
Volatile Elemental,32,2017,BGT_RANKED_STANDARD,PRIEST,8656,5415
Direhorn Hatchling,32,2017,BGT_RANKED_STANDARD,PRIEST,1202,875
Shimmering Tempest,32,2017,BGT_RANKED_WILD,PRIEST,235,171
Leper Gnome,32,2017,BGT_RANKED_WILD,PRIEST,150,95
"Deathwing, Dragonlord",32,2017,BGT_RANKED_WILD,PRIEST,222,165
"Deathwing, Dragonlord",32,2017,BGT_RANKED_STANDARD,WARRIOR,227,164
Bone Drake,32,2017,BGT_RANKED_STANDARD,HUNTER,566,306
Obsidian Statue,32,2017,BGT_RANKED_WILD,PRIEST,5315,4043
Tortollan Shellraiser,32,2017,BGT_RANKED_STANDARD,ROGUE,242,127
Shallow Gravedigger,32,2017,BGT_RANKED_WILD,PRIEST,1322,907
Shallow Gravedigger,32,2017,BGT_RANKED_STANDARD,WARRIOR,437,237
Igneous Elemental,32,2017,BGT_RANKED_STANDARD,SHAMAN,118,63
Cairne Bloodhoof,33,2017,BGT_RANKED_STANDARD,PALADIN,4068,2729
Bloodmage Thalnos,33,2017,BGT_RANKED_STANDARD,ROGUE,6597,3691
Tirion Fordring,33,2017,BGT_RANKED_WILD,PALADIN,1984,1276
Feugen,33,2017,BGT_RANKED_WILD,HUNTER,486,326
Anomalus,33,2017,BGT_RANKED_STANDARD,PRIEST,237,140
Corrupted Healbot,33,2017,BGT_RANKED_STANDARD,PRIEST,477,321
Weasel Tunneler,33,2017,BGT_RANKED_STANDARD,PRIEST,317,198
Pyros,33,2017,BGT_RANKED_STANDARD,MAGE,5093,2865
Exploding Bloatbat,33,2017,BGT_RANKED_WILD,HUNTER,450,241
Cruel Dinomancer,33,2017,BGT_RANKED_STANDARD,PRIEST,230,158
Arfus,33,2017,BGT_RANKED_STANDARD,SHAMAN,246,137
Moat Lurker,33,2017,BGT_RANKED_STANDARD,DRUID,178,94
Volatile Elemental,33,2017,BGT_RANKED_STANDARD,HUNTER,246,115
Possessed Villager,33,2017,BGT_RANKED_WILD,WARLOCK,178,100
Bloodmage Thalnos,34,2017,BGT_RANKED_WILD,ROGUE,1419,823
Bloodmage Thalnos,34,2017,BGT_RANKED_STANDARD,HUNTER,469,192
Bloodmage Thalnos,34,2017,BGT_RANKED_STANDARD,SHAMAN,380,207
Infested Tauren,34,2017,BGT_RANKED_WILD,WARLOCK,273,173
Pyros,34,2017,BGT_RANKED_STANDARD,MAGE,1673,955
Mistress of Mixtures,34,2017,BGT_RANKED_STANDARD,WARLOCK,616,298
Bone Drake,34,2017,BGT_RANKED_STANDARD,DRUID,617,380
Bone Baron,34,2017,BGT_RANKED_WILD,ROGUE,185,85
Abomination,34,2017,BGT_RANKED_STANDARD,HUNTER,138,44
Loot Hoarder,35,2017,BGT_RANKED_STANDARD,PALADIN,1820,1079
Bloodmage Thalnos,35,2017,BGT_RANKED_STANDARD,MAGE,448,225
Fiery Bat,35,2017,BGT_RANKED_STANDARD,PRIEST,128,88
Infested Wolf,35,2017,BGT_RANKED_WILD,HUNTER,734,378
Twilight Summoner,35,2017,BGT_RANKED_STANDARD,WARRIOR,254,146
"Deathwing, Dragonlord",35,2017,BGT_RANKED_STANDARD,WARRIOR,142,119
"Deathwing, Dragonlord",35,2017,BGT_RANKED_WILD,PRIEST,191,140
Runic Egg,35,2017,BGT_RANKED_STANDARD,PRIEST,161,97
Devilsaur Egg,35,2017,BGT_RANKED_STANDARD,WARLOCK,252,113
Raptor Hatchling,35,2017,BGT_RANKED_STANDARD,HUNTER,923,407
Mistress of Mixtures,35,2017,BGT_RANKED_WILD,MAGE,625,355
Direhorn Hatchling,35,2017,BGT_RANKED_STANDARD,PRIEST,376,272
Cairne Bloodhoof,35,2017,BGT_RANKED_STANDARD,WARLOCK,122,73
Twilight Summoner,35,2017,BGT_RANKED_WILD,PRIEST,216,145
Loot Hoarder,35,2017,BGT_RANKED_WILD,WARRIOR,316,195
Leper Gnome,35,2017,BGT_RANKED_WILD,PRIEST,107,62
Loot Hoarder,36,2017,BGT_RANKED_WILD,PALADIN,341,211
Cairne Bloodhoof,36,2017,BGT_RANKED_WILD,WARLOCK,166,107
Sylvanas Windrunner,36,2017,BGT_RANKED_WILD,DRUID,297,167
Mad Scientist,36,2017,BGT_RANKED_WILD,MAGE,1381,802
Toshley,36,2017,BGT_RANKED_WILD,PRIEST,247,174
White Eyes,36,2017,BGT_RANKED_STANDARD,SHAMAN,1604,942
Sergeant Sally,36,2017,BGT_RANKED_STANDARD,PRIEST,115,65
Volatile Elemental,36,2017,BGT_RANKED_WILD,PRIEST,1024,595
Direhorn Hatchling,36,2017,BGT_RANKED_STANDARD,WARRIOR,29474,18556
Obsidian Statue,36,2017,BGT_RANKED_STANDARD,ROGUE,160,108
Loot Hoarder,37,2017,BGT_RANKED_WILD,MAGE,108,51
Nerubian Egg,37,2017,BGT_RANKED_WILD,ROGUE,106,62
Boom Bot,37,2017,BGT_RANKED_WILD,DRUID,106,53
Mistress of Mixtures,37,2017,BGT_RANKED_WILD,ROGUE,2035,1311
Direhorn Hatchling,37,2017,BGT_RANKED_STANDARD,WARRIOR,28023,17991
Shallow Gravedigger,37,2017,BGT_RANKED_STANDARD,ROGUE,422,217
Toshley,37,2017,BGT_RANKED_WILD,PRIEST,248,171
Corrupted Healbot,37,2017,BGT_RANKED_STANDARD,PRIEST,123,68
Direhorn Hatchling,37,2017,BGT_RANKED_WILD,PRIEST,104,71
Loot Hoarder,38,2017,BGT_RANKED_WILD,HUNTER,576,324
Cairne Bloodhoof,38,2017,BGT_RANKED_WILD,PRIEST,1701,1207
Sludge Belcher,38,2017,BGT_RANKED_WILD,HUNTER,2296,1322
Sludge Belcher,38,2017,BGT_RANKED_WILD,SHAMAN,1270,761
Piloted Shredder,38,2017,BGT_RANKED_WILD,ROGUE,761,440
Harvest Golem,31,2017,BGT_RANKED_STANDARD,PALADIN,167,108
Sylvanas Windrunner,31,2017,BGT_RANKED_WILD,PALADIN,889,628
Zombie Chow,31,2017,BGT_RANKED_WILD,WARLOCK,532,328
Haunted Creeper,31,2017,BGT_RANKED_WILD,ROGUE,129,69
Voidcaller,31,2017,BGT_RANKED_WILD,WARLOCK,254,150
Infested Tauren,31,2017,BGT_RANKED_STANDARD,HUNTER,180,89
Rat Pack,31,2017,BGT_RANKED_STANDARD,HUNTER,422,202
Loot Hoarder,31,2017,BGT_RANKED_WILD,WARRIOR,128,76
Mistress of Mixtures,31,2017,BGT_RANKED_WILD,PALADIN,240,154
"Sherazin, Corpse Flower",31,2017,BGT_RANKED_STANDARD,PRIEST,114,76
Loot Hoarder,31,2017,BGT_RANKED_STANDARD,MAGE,101,49
Abomination,32,2017,BGT_RANKED_WILD,PRIEST,423,255
Bloodmage Thalnos,32,2017,BGT_RANKED_WILD,PRIEST,2715,1829
Explosive Sheep,32,2017,BGT_RANKED_WILD,PRIEST,373,223
Piloted Sky Golem,32,2017,BGT_RANKED_WILD,PRIEST,353,231
Infested Wolf,32,2017,BGT_RANKED_STANDARD,HUNTER,15046,7289
Infested Tauren,32,2017,BGT_RANKED_STANDARD,DRUID,1635,956
Infested Tauren,32,2017,BGT_RANKED_WILD,PALADIN,423,254
Volatile Elemental,32,2017,BGT_RANKED_STANDARD,ROGUE,265,128
Abomination,32,2017,BGT_RANKED_STANDARD,WARRIOR,201,113
Mistress of Mixtures,32,2017,BGT_RANKED_WILD,HUNTER,861,421
Mistress of Mixtures,32,2017,BGT_RANKED_WILD,SHAMAN,222,132
Chillmaw,32,2017,BGT_RANKED_WILD,PALADIN,115,68
Twilight Summoner,32,2017,BGT_RANKED_STANDARD,HUNTER,262,132
Mistress of Mixtures,32,2017,BGT_RANKED_WILD,WARRIOR,106,60
Arrogant Crusader,32,2017,BGT_RANKED_STANDARD,PALADIN,1166,678
Shallow Gravedigger,32,2017,BGT_RANKED_STANDARD,HUNTER,828,401
Polluted Hoarder,32,2017,BGT_RANKED_STANDARD,HUNTER,193,109
