player_class,card_name,dbfid,times_played,wins
MAGE,Fireblast,807,3495477,1616021
WARLOCK,Life Tap,300,3412565,1710436
PRIEST,Lesser Heal,479,2880672,1430212
WARLOCK,Kobold Librarian,43122,1583709,829638
MAGE,Arcanologist,41153,1276852,683487
DRUID,Shapeshift,1123,1275173,577000
WARLOCK,Mistress of Mixtures,41566,1238059,637276
MAGE,Primordial Glyph,41496,1224612,618336
HUNTER,Steady Shot,229,1135467,517146
MAGE,Fireball,315,1091772,690971
WARLOCK,Possessed Lackey,45820,1081958,605108
MAGE,Explosive Runes,43407,1040921,588619
MAGE,Frostbolt,662,1002415,516753
MAGE,Mana Wyrm,405,997176,558060
MAGE,Sorcerer's Apprentice,614,979749,550139
WARLOCK,Hellfire,950,973697,506129
MAGE,Counterspell,113,956207,540969
WARLOCK,Siphon Life,43181,910777,487769
WARLOCK,Mortal Coil,1092,878681,460324
PRIEST,Northshire Cleric,1650,845950,436222
WARLOCK,Defile,42471,839035,430387
MAGE,Medivh's Valet,39767,829983,461542
MAGE,Kirin Tor Mage,748,818017,451122
ROGUE,Coldlight Oracle,1016,817141,443214
MAGE,Kabal Crystal Runner,40583,799878,451635
MAGE,Arcane Intellect,555,788788,386499
PRIEST,Drakonid Operative,40378,784407,407698
MAGE,Firelands Portal,39715,765559,400594
WARLOCK,Dark Pact,43128,763622,448102
ROGUE,Kingsbane,47035,762338,407557
PRIEST,Netherspite Historian,39554,728843,375045
MAGE,Kabal Lackey,40299,723184,396893
PRIEST,Duskbreaker,45899,710406,351830
MAGE,The Coin,1746,688902,361385
DRUID,Jade Idol,40372,673864,386502
WARLOCK,The Coin,1746,663463,322644
WARLOCK,Mountain Giant,993,641369,362504
MAGE,Ice Block,192,636938,268848
PALADIN,The Tidal Hand,39154,629866,270294
PRIEST,Kabal Talonpriest,40432,626237,338953
ROGUE,Backstab,180,616579,286369
ROGUE,Dagger Mastery,730,613752,257761
PRIEST,Lesser Heal,41886,611105,321816
ROGUE,Dagger Mastery,45821,605643,243549
PRIEST,Shadow Visions,41169,593922,297018
PALADIN,Reinforce,472,588675,238264
PRIEST,The Coin,1746,560158,279653
PALADIN,Righteous Protector,42467,556466,296464
ROGUE,Elven Minstrel,45531,555463,278283
PALADIN,Call to Arms,43384,544063,292873
DRUID,Plague Lord,43182,533363,281992
MAGE,Icy Touch,42944,530262,319099
WARLOCK,Carnivorous Cube,45195,527993,343932
WARLOCK,Life Tap,47788,526345,266260
PRIEST,Twilight Drake,1037,516469,264635
PRIEST,Tar Creeper,41418,504754,251344
ROGUE,Preparation,1158,488629,245848
ROGUE,Sap,461,482551,236194
SHAMAN,Totemic Call,687,478687,188114
ROGUE,Shadowstep,365,476944,245806
WARRIOR,Armor Up!,725,475461,191379
MAGE,Blizzard,457,461456,219116
PRIEST,Spiteful Summoner,46551,455774,268576
PALADIN,Hydrologist,41139,450870,236026
WARLOCK,Voidlord,46056,446273,228921
ROGUE,Deadly Poison,459,438810,244588
PALADIN,Murloc Tidecaller,475,434749,246518
PRIEST,Shadow Ascendant,42574,423119,231616
WARLOCK,Skull of the Man'ari,46299,422617,255696
PALADIN,Rockpool Hunter,41245,420822,244111
ROGUE,Cavern Shinyfinder,43237,420047,216040
DRUID,Wild Growth,1124,416422,214610
PRIEST,Voidform,45397,413854,239994
WARLOCK,Faceless Manipulator,531,412332,242777
PALADIN,Vilefin Inquisitor,38227,404440,230411
MAGE,,,404225,229469
DRUID,Jade Blossom,40523,401851,216761
PALADIN,Grimscale Chum,40531,400789,225934
PRIEST,Power Word: Shield,613,400694,196487
WARLOCK,Bloodreaver Gul'dan,43415,392305,251884
WARLOCK,Spellbreaker,754,389797,199017
WARLOCK,Amethyst Spellstone,43275,387954,201024
WARLOCK,Stonehill Defender,41243,387678,204990
PALADIN,The Coin,1746,384495,207481
PALADIN,Murloc Warleader,1063,384240,215970
HUNTER,Animal Companion,437,383715,189934
PALADIN,Rallying Blade,38745,378931,196620
ROGUE,Southsea Squidface,38825,374748,208477
DRUID,Swipe,64,372699,190001
WARLOCK,Voidwalker,48,364726,174446
WARLOCK,Doomguard,631,346453,173179
MAGE,Fireblast,2831,344468,161843
MAGE,Arcane Artificer,45590,341621,171417
HUNTER,Eaglehorn Bow,1662,337329,169413
PALADIN,Gentle Megasaur,41265,337073,190494
ROGUE,Vanish,196,326480,161233
ROGUE,The Coin,1746,324310,146252
MAGE,Polymorph,77,322080,157541
MAGE,Doomsayer,138,322049,151015
ROGUE,Fan of Knives,667,320078,147393
DRUID,Nourish,95,319220,168410
DRUID,Jade Behemoth,40797,310117,165462
WARLOCK,Siphon Soul,1100,307339,161594
PRIEST,Curious Glimmerroot,41177,305772,152101
WARLOCK,Lesser Amethyst Spellstone,43272,305207,147639
PRIEST,Cobalt Scalebane,42442,296452,168795
PRIEST,Twilight Acolyte,46460,290797,139964
ROGUE,Eviscerate,904,290154,141511
