games_played_with_card_in_deck,rank_category,dbf_id,card_name
39234,GrindTo15,401,Fiery War Axe
14910,Rank15,654,Frothing Berserker
580854,GrindTo10,614,Sorcerer's Apprentice
75817,Rank15,621,Ice Barrier
38014,GrindTo15,834,Deathwing
78214,GrindTo15,41168,Open the Waygate
39817,GrindTo5,621,Ice Barrier
30764,GrindTo15,38859,Beckoner of Evil
53287,GrindTo15,415,Youthful Brewmaster
18486,GrindTo10,41927,Shimmering Tempest
354006,Rank15,1650,Northshire Cleric
103796,GrindTo15,513,Mana Tide Totem
343593,GrindTo15,39767,Medivh's Valet
175506,GrindTo15,581,Alexstrasza
64336,Rank15,40694,Devolve
63816,Rank15,40529,Jade Claws
4654,GrindToLegend,28,Kor'kron Elite
4528,Rank5,999,Bloodsail Raider
202411,GrindTo15,41316,Golakka Crawler
4952,GrindTo15,41354,Tol'vir Warden
301210,Rank15,1016,Coldlight Oracle
48314,GrindTo15,40541,Abyssal Enforcer
19756,Rank10,38266,Evolve
255334,GrindTo15,41217,Vilespine Slayer
283524,GrindTo10,296,Kill Command
62916,GrindTo10,699,Tundra Rhino
4943,GrindTo15,40419,Call in the Finishers
121274,GrindTo15,42598,Obsidian Statue
49933,Rank15,75,Brawl
477362,GrindTo5,631,Doomguard
29534,Rank15,43025,Crypt Lord
19863,GrindTo5,997,Bloodsail Corsair
136884,GrindTo10,836,Wrath
272604,Rank15,1037,Twilight Drake
46721,Rank10,40527,Jade Spirit
202557,Rank15,461,Sap
75782,Rank10,1047,Tracking
179875,GrindTo10,585,Explosive Trap
349914,Rank5,41418,Tar Creeper
125651,Rank10,40373,Potion of Madness
62389,Rank15,141,Hunter's Mark
196515,GrindTo15,43294,Branching Paths
18101,Legend,251,Loot Hoarder
95340,Legend,40432,Kabal Talonpriest
98400,GrindTo5,1366,Mass Dispel
31071,Rank15,997,Bloodsail Corsair
206162,Rank5,43407,Explosive Runes
11295,GrindTo5,648,Stonetusk Boar
30603,Rank15,1074,Slam
59612,Rank5,42656,Spreading Plague
116539,GrindTo5,306,Edwin VanCleef
90662,Rank5,42743,Despicable Dreadlord
221588,GrindTo10,757,Argent Squire
42567,Rank15,1142,Demonfire
35423,GrindTo5,42651,Druid of the Swarm
185810,GrindToLegend,42442,Cobalt Scalebane
19364,Legend,43417,Malfurion the Pestilent
523503,GrindToLegend,42467,Righteous Protector
1994,GrindTo5,630,Sprint
