games,cst,f_enum_name
84,5,WARLOCK
31,7,HUNTER
9,16,PRIEST
12,12,HUNTER
14,7,WARRIOR
26,1,ROGUE
22,11,HUNTER
4,31,DRUID
1,33,DRUID
2,11,SHAMAN
3,7,SHAMAN
4,12,SHAMAN
2,24,DRUID
32,2,HUNTER
24,3,DRUID
4,24,MAGE
28,2,SHAMAN
14,9,PRIEST
3,15,HUNTER
1,35,DRUID
1,21,DRUID
1,23,WARRIOR
43,4,PRIEST
24,9,DRUID
78,1,PRIEST
61,2,PRIEST
31,6,DRUID
1,18,DRUID
35,8,WARLOCK
8,11,PALADIN
49,3,ROGUE
1,17,SHAMAN
1,10,SHAMAN
74,6,PRIEST
12,7,ROGUE
27,4,HUNTER
16,14,MAGE
7,13,HUNTER
15,4,WARRIOR
7,19,MAGE
8,1,SHAMAN
2,11,ROGUE
6,12,PALADIN
13,15,DRUID
8,8,WARRIOR
11,16,MAGE
3,21,MAGE
3,0,DRUID
28,7,PALADIN
30,6,ROGUE
47,3,MAGE
70,10,PRIEST
30,5,DRUID
2,27,DRUID
1,17,PRIEST
10,6,SHAMAN
35,5,HUNTER
2,26,MAGE
4,9,WARRIOR
14,20,MAGE
9,5,SHAMAN
3,28,MAGE
2,9,SHAMAN
1,0,SHAMAN
1,44,DRUID
1,43,DRUID
2,20,HUNTER
1,32,MAGE
5,23,DRUID
2,28,DRUID
4,17,DRUID
3,20,DRUID
12,1,DRUID
11,9,PALADIN
43,6,HUNTER
150,4,WARLOCK
95,6,WARLOCK
157,4,PALADIN
10,5,WARRIOR
71,1,PALADIN
32,13,MAGE
7,23,MAGE
11,10,PALADIN
3,11,PRIEST
2,14,ROGUE
28,2,MAGE
21,8,DRUID
9,10,ROGUE
3,15,PALADIN
1,16,HUNTER
5,13,PRIEST
15,1,HUNTER
5,17,HUNTER
17,10,HUNTER
1,20,PRIEST
1,26,PRIEST
45,5,MAGE
36,4,ROGUE
4,22,DRUID
50,6,MAGE
26,9,MAGE
5,12,WARRIOR
3,11,WARRIOR
1,37,DRUID
1,39,MAGE
7,25,DRUID
1,15,PRIEST
77,1,WARLOCK
26,9,HUNTER
3,10,WARLOCK
36,2,WARLOCK
5,29,MAGE
1,14,PALADIN
40,4,MAGE
96,3,HUNTER
9,14,DRUID
5,9,WARLOCK
1,37,MAGE
1,14,SHAMAN
28,2,DRUID
63,7,MAGE
22,12,MAGE
28,11,MAGE
3,14,HUNTER
5,9,ROGUE
31,5,ROGUE
115,0,ROGUE
111,2,ROGUE
34,10,DRUID
9,14,PRIEST
66,3,WARLOCK
51,3,PRIEST
19,6,WARRIOR
3,22,MAGE
5,8,ROGUE
3,13,PALADIN
1,21,PRIEST
47,10,MAGE
19,17,MAGE
2,13,WARRIOR
5,1,MAGE
1,29,DRUID
5,19,DRUID
55,4,SHAMAN
32,5,PRIEST
6,10,WARRIOR
22,7,DRUID
11,12,DRUID
5,18,HUNTER
98,8,PRIEST
40,4,DRUID
22,6,PALADIN
8,13,DRUID
3,19,HUNTER
3,26,DRUID
3,25,MAGE
23,2,PALADIN
41,5,PALADIN
1,36,MAGE
1,20,ROGUE
11,18,MAGE
31,8,PALADIN
2,0,PRIEST
3,36,DRUID
24,3,PALADIN
3,30,MAGE
1,34,DRUID
12,7,WARLOCK
25,3,WARRIOR
15,8,HUNTER
6,8,SHAMAN
1,55,MAGE
1,24,PRIEST
11,15,MAGE
10,3,SHAMAN
2,16,WARRIOR
19,7,PRIEST
31,2,WARRIOR
10,12,PRIEST
2,31,MAGE
13,1,WARRIOR
8,16,DRUID
1,15,SHAMAN
2,13,SHAMAN
1,15,WARRIOR
30,8,MAGE
11,18,PRIEST
11,11,DRUID
1,21,ROGUE
2,41,DRUID
