cst,game_id,shortid,card_class,rk
21,"486,006,900",BihzSTEL4dihytUjRRoc2h,7,1
20,"603,637,742",enB8bRqiDrrB798iAQaogm,7,2
14,"611,979,452",HGioDVkM7kVmX3hKeSkYET,7,3
14,"495,476,901",wc6UJbaN8x5EFuRCVaob76,7,4
11,"587,014,663",qBAxizvzGLwgrb23XJ2egT,7,5
20,"613,516,559",AvU3okcYFW9EgVzzWQFKNG,3,1
20,"487,088,533",MB3GbjATfoj6U2yqusFSYo,3,2
19,"591,660,837",3g6xzTFP3tgZkKge78rgWW,3,3
19,"583,829,031",avgdedGfdt5rTYEDNsiXSY,3,4
19,"481,164,864",mGHBGiN35JoX3CzUv3yGAm,3,5
17,"525,683,968",7a6AmLZH4oXGPxjEhKw4Co,8,1
15,"636,972,881",zSbELoCHX3YdTdTqN2dZMa,8,2
14,"576,399,194",47drS7PhjnYxco8WjWntsc,8,3
13,"596,986,519",HLcS8iDC6sL6wfBd9jaZyf,8,4
13,"632,475,025",HAhFppigGwg7YJA9QFBTXC,8,5
26,"594,081,270",Mzd7suctLQFp5tr6GXCtTZ,6,1
24,"493,960,182",GwYxZhju2hcEmNBudHCtU6,6,2
21,"514,887,726",jnqxdm4ScCvaXMc9Tjt8b7,6,3
20,"507,489,766",7mgNq2tWcM9t3YG6Vgdn94,6,4
18,"625,120,861",mtSPHncPSVuaqW6jFNJzRW,6,5
23,"612,558,824",b9E35YmjK7P6ZywSko2FdD,10,1
16,"524,384,782",LLDHYKXEEMnygKzsuBfTBe,10,2
16,"512,324,565",Yw6zhk4sqRHb3fZXZdvbiV,10,3
15,"492,739,158",87yx6yP7ts3VnnyKcH6TkS,10,4
13,"527,898,129",Z5QEB8MHgQBHcTaHrd7mSf,10,5
10,"557,073,874",s3WgQDENaUzd9zJ4xEHGt4,9,1
10,"535,018,551",78LmmG7sqRkQskh3woCCQn,9,2
10,"483,882,070",f33CCS6bNyhQVzFDNMvwUL,9,3
9,"574,863,009",LH9BsXQ9ZWyEFNtd5MdVWQ,9,4
9,"502,258,865",fUPuLf9CGZuWm4EeX75adE,9,5
55,"530,323,387",tVZ5UcBpELLYAxdZLik7xm,4,1
39,"520,833,928",HciktKmMFPvCJnME4b3wma,4,2
37,"511,558,863",V35w77kf4ReEKdkgT2EsbC,4,3
36,"630,225,160",6NRdvTCEkgSosPsxgn5cuV,4,4
32,"565,651,797",KmEZxkhmB2fT7BnwXgYPqA,4,5
44,"508,732,338",YtV223Bt42G7y5g8Y42gR8,2,1
43,"631,917,631",xnjQdJmUhqahYRgn5QSWVn,2,2
41,"587,532,114",HfePUYpw2CXX8vLJxJaSdM,2,3
41,"603,418,102",di4GzvdgSRFvgjgWiV3T2j,2,4
37,"604,892,865",deQSNFG4FKFatUi2jVKciS,2,5
15,"562,001,452",ATxrMFLhxVif7cHDc76AEA,5,1
15,"498,289,086",xFktzSK5BhZpEPtfZrfoY9,5,2
15,"637,202,901",A3L2mKuUd5gmVXihs79fsj,5,3
15,"541,009,702",VJ6fDXdvT7Fim7qQrFu7PW,5,4
14,"585,885,517",Yoo4YxWQBwcEVFMQHs2mRU,5,5
