total_plays,card_set,game_date
"3,038,867",GANGS,1/04/2017
"3,322,588",EXPERT1,5/04/2017
"2,249,910",OG,11/04/2017
8,GVG,16/04/2017
"1,740,834",KARA,22/04/2017
"2,526,613",GANGS,26/04/2017
10,TEMP1,30/04/2017
"732,717",HERO_SKINS,4/05/2017
"798,632",HERO_SKINS,6/05/2017
"1,641,814",OG,7/05/2017
18,NAXX,17/05/2017
"2,120,942",GANGS,19/05/2017
"158,124",INVALID,28/05/2017
"4,740,648",UNGORO,28/05/2017
"2,036,006",GANGS,2/06/2017
"3,287,971",CORE,7/06/2017
"1,067,230",OG,9/06/2017
"3,598,588",EXPERT1,10/06/2017
"390,959",HERO_SKINS,15/06/2017
"438,127",HERO_SKINS,17/06/2017
"89,704",INVALID,18/06/2017
"3,385,280",EXPERT1,20/06/2017
"2,982,694",EXPERT1,26/06/2017
"1,732,812",GANGS,28/06/2017
"887,115",KARA,5/07/2017
"137,877",INVALID,8/07/2017
"3,641,317",UNGORO,8/07/2017
4,FP2,9/07/2017
"5,739,885",CORE,14/07/2017
"969,069",KARA,14/07/2017
"282,506",HERO_SKINS,20/07/2017
"111,681",INVALID,21/07/2017
"3,044,791",UNGORO,21/07/2017
"1,019,375",KARA,23/07/2017
"2,038,701",GANGS,24/07/2017
"3,217,571",EXPERT1,25/07/2017
"904,679",KARA,26/07/2017
"2,492,669",GANGS,5/08/2017
"4,605,170",GANGS,14/08/2017
"1,187,465",KARA,17/08/2017
"4,763,531",GANGS,20/08/2017
"667,235",HERO_SKINS,22/08/2017
"3,577,438",GANGS,23/08/2017
"382,371",HERO_SKINS,25/08/2017
"245,645",INVALID,26/08/2017
"4,175,965",ICECROWN,27/08/2017
6,NAXX,28/08/2017
"1,672,421",OG,29/08/2017
"5,527,427",EXPERT1,1/09/2017
"4,707,072",ICECROWN,2/09/2017
7,TB,7/09/2017
"607,930",HERO_SKINS,16/09/2017
"9,585,701",CORE,24/09/2017
"4,668,701",EXPERT1,29/09/2017
"9,571,634",CORE,1/10/2017
"139,137",KARA,2/10/2017
"4,942,491",UNGORO,4/10/2017
"189,646",INVALID,5/10/2017
"3,683,061",UNGORO,5/10/2017
"4,742,832",EXPERT1,6/10/2017
"1,104,056",OG,6/10/2017
"3,461,365",ICECROWN,13/10/2017
"145,636",INVALID,19/10/2017
"4,299,726",EXPERT1,21/10/2017
"6,525,715",CORE,23/10/2017
"928,231",KARA,23/10/2017
"3,299,104",UNGORO,23/10/2017
"3,201,504",EXPERT1,26/10/2017
"822,087",KARA,3/11/2017
"51,225",LOOTAPALOOZA,6/11/2017
"3,833,808",ICECROWN,7/11/2017
"820,432",KARA,9/11/2017
"92,728",LOOTAPALOOZA,12/11/2017
231,GVG,24/11/2017
"2,018,731",GANGS,25/11/2017
"3,550,958",EXPERT1,29/11/2017
"32,840",LOOTAPALOOZA,29/11/2017
"906,811",OG,1/12/2017
"3,189,392",UNGORO,4/12/2017
"2,887,211",UNGORO,11/12/2017
"755,224",HERO_SKINS,12/12/2017
"2,169,132",GANGS,13/12/2017
"661,944",HERO_SKINS,14/12/2017
39,TEMP1,16/12/2017
"2,729,114",UNGORO,16/12/2017
"2,394,792",GANGS,17/12/2017
"3,974,336",LOOTAPALOOZA,17/12/2017
"2,236,237",GANGS,19/12/2017
"6,362,979",CORE,21/12/2017
"678,630",OG,22/12/2017
"2,048,601",GANGS,24/12/2017
"4,259,795",EXPERT1,26/12/2017
"697,642",OG,26/12/2017
"3,413,578",LOOTAPALOOZA,26/12/2017
"693,501",OG,27/12/2017
19,TEMP1,31/12/2017
"7,456,921",CORE,1/01/2018
5,NAXX,8/01/2018
"3,887,260",LOOTAPALOOZA,8/01/2018
"3,947,812",EXPERT1,11/01/2018
"5,950,657",CORE,17/01/2018
"662,624",KARA,18/01/2018
"877,155",KARA,28/01/2018
"2,753,568",UNGORO,3/02/2018
1,FP2,6/02/2018
"3,046,348",ICECROWN,6/02/2018
"3,119,009",UNGORO,7/02/2018
"1,162,832",OG,10/02/2018
"711,732",HERO_SKINS,12/02/2018
"589,788",HERO_SKINS,15/02/2018
57,TB,16/02/2018
"953,490",KARA,17/02/2018
"6,696,149",CORE,20/02/2018
"276,905",INVALID,20/02/2018
"1,990,070",GANGS,21/02/2018
"3,537,961",LOOTAPALOOZA,23/02/2018
"618,947",HERO_SKINS,25/02/2018
"800,119",KARA,25/02/2018
"1,980,873",GANGS,26/02/2018
"159,676",INVALID,2/03/2018
"235,762",INVALID,6/03/2018
"1,635,572",ICECROWN,15/03/2018
"2,016,675",UNGORO,19/03/2018
"800,225",OG,27/03/2018
"2,896,273",LOOTAPALOOZA,30/03/2018
"250,213",INVALID,3/04/2018
"14,702,593",CORE,15/04/2018
"4,610,253",ICECROWN,16/04/2018
"1,412",GANGS,18/04/2018
"6,902,807",UNGORO,18/04/2018
"9,875,944",CORE,20/04/2018
396,KARA,20/04/2018
535,KARA,22/04/2018
"1,851,979",HERO_SKINS,25/04/2018
"3,466,055",ICECROWN,25/04/2018
"3,846,231",EXPERT1,26/04/2018
117,FP2,27/04/2018
"1,658,774",GILNEAS,28/04/2018
"4,284,005",EXPERT1,29/04/2018
1,HOF,27/06/2017
11,NAXX,21/09/2017
14,LOE,20/10/2017
5,HOF,24/11/2017
1,HOF,27/11/2017
3,LOE,21/12/2017
18,LOE,25/02/2018
9,LOE,30/04/2017
2,FP2,11/05/2017
7,LOE,3/06/2017
2,GVG,3/06/2017
20,LOE,16/05/2017
7,NAXX,31/05/2017
1,GVG,5/07/2017
1,LOE,6/09/2017
6,NAXX,8/11/2017
7,FP2,18/07/2017
3,HOF,3/06/2017
2,TEMP1,31/07/2017
13,LOE,5/03/2018
1,HOF,16/04/2017
3,FP2,12/06/2017
1,FP2,27/08/2017
1,FP2,26/11/2017
1,LOE,30/05/2017
1,GVG,1/07/2017
2,NAXX,5/09/2017
2,FP2,19/11/2017
2,GVG,26/07/2017
1,LOE,5/07/2017
1,TB,20/12/2017
"460,652",HERO_SKINS,2/04/2017
"646,934",KARA,5/04/2017
15,HOF,9/04/2017
"1,263,366",HERO_SKINS,11/04/2017
6,GVG,19/04/2017
"9,619,071",CORE,20/04/2017
"2,738,801",GANGS,21/04/2017
"2,943,186",GANGS,22/04/2017
"221,163",INVALID,25/04/2017
"1,780,801",OG,30/04/2017
"1,372,534",KARA,7/05/2017
"5,623,183",EXPERT1,8/05/2017
"1,360,073",KARA,13/05/2017
"667,561",HERO_SKINS,14/05/2017
"583,980",HERO_SKINS,17/05/2017
"563,335",HERO_SKINS,23/05/2017
"1,223,874",KARA,23/05/2017
"2,067,052",GANGS,26/05/2017
"4,258,665",EXPERT1,28/05/2017
"1,328,306",OG,28/05/2017
"134,228",INVALID,29/05/2017
"5,645,548",CORE,9/06/2017
"406,725",HERO_SKINS,16/06/2017
"764,930",OG,18/06/2017
"5,356,610",CORE,21/06/2017
"3,564,067",UNGORO,21/06/2017
"4,852,931",CORE,29/06/2017
"3,547,898",EXPERT1,2/07/2017
"3,922,151",UNGORO,10/07/2017
9,GVG,13/07/2017
"2,145,088",GANGS,14/07/2017
"129,126",INVALID,17/07/2017
"123,950",INVALID,22/07/2017
"3,654,274",EXPERT1,31/07/2017
"3,303,253",UNGORO,4/08/2017
"6,493,376",CORE,7/08/2017
"385,985",HERO_SKINS,8/08/2017
"150,633",INVALID,9/08/2017
"4,254,369",UNGORO,9/08/2017
10,GVG,13/08/2017
"5,708,685",EXPERT1,17/08/2017
"11,305,759",CORE,19/08/2017
"4,389,972",GANGS,22/08/2017
"4,308,051",ICECROWN,23/08/2017
"1,641,635",OG,26/08/2017
"4,444,737",ICECROWN,1/09/2017
"4,447,313",UNGORO,4/09/2017
"5,170,418",ICECROWN,10/09/2017
"3,614,871",UNGORO,13/09/2017
"843,522",KARA,14/09/2017
"3,184,515",GANGS,26/09/2017
"4,593,213",ICECROWN,3/10/2017
"4,482,757",EXPERT1,5/10/2017
"1,027,496",OG,5/10/2017
"3,960,956",ICECROWN,10/10/2017
"583,410",HERO_SKINS,12/10/2017
"3,087,780",UNGORO,17/10/2017
"3,164,756",EXPERT1,18/10/2017
"732,126",OG,18/10/2017
"3,037,357",ICECROWN,19/10/2017
"4,150,412",EXPERT1,23/10/2017
"973,648",OG,23/10/2017
"2,757,370",ICECROWN,26/10/2017
"3,177,071",ICECROWN,28/10/2017
"2,788,868",UNGORO,30/10/2017
"3,035,781",UNGORO,1/11/2017
"137,646",INVALID,3/11/2017
"648,671",HERO_SKINS,8/11/2017
"3,926,399",ICECROWN,12/11/2017
"3,332,503",ICECROWN,21/11/2017
"2,053,448",GANGS,22/11/2017
12,NAXX,24/11/2017
"3,652,309",EXPERT1,28/11/2017
"168,024",INVALID,30/11/2017
"918,578",KARA,1/12/2017
"3,981,224",EXPERT1,4/12/2017
"4,549,742",EXPERT1,16/12/2017
"823,124",OG,16/12/2017
"801,511",KARA,22/12/2017
"2,967,346",ICECROWN,24/12/2017
"700,576",HERO_SKINS,27/12/2017
"4,927,092",EXPERT1,3/01/2018
"751,128",HERO_SKINS,8/01/2018
"211,497",INVALID,9/01/2018
"3,262,409",ICECROWN,10/01/2018
"3,742,313",EXPERT1,17/01/2018
"625,918",OG,17/01/2018
"2,913,134",LOOTAPALOOZA,18/01/2018
"4,726,092",EXPERT1,21/01/2018
"725,021",HERO_SKINS,23/01/2018
"4,056,805",EXPERT1,24/01/2018
"2,244,220",UNGORO,25/01/2018
"778,452",KARA,26/01/2018
"2,347,137",GANGS,28/01/2018
"2,452,849",UNGORO,5/02/2018
"7,149,344",CORE,6/02/2018
"998,769",OG,7/02/2018
"4,917,786",LOOTAPALOOZA,7/02/2018
"8,177,134",CORE,9/02/2018
12,TEMP1,9/02/2018
"1,170,428",KARA,10/02/2018
"3,041,094",UNGORO,12/02/2018
"2,409,835",GANGS,17/02/2018
"537,889",HERO_SKINS,22/02/2018
16,FP2,23/02/2018
"119,201",OG,1/03/2018
"839,902",OG,6/03/2018
"240,097",INVALID,9/03/2018
"3,266,833",EXPERT1,13/03/2018
"777,927",OG,19/03/2018
"720,096",KARA,6/04/2018
"263,335",INVALID,8/04/2018
"4,914,095",CORE,10/04/2018
"513,493",HERO_SKINS,11/04/2018
"2,386",GANGS,15/04/2018
"10,981,653",CORE,16/04/2018
"2,038,564",TEMP1,16/04/2018
"1,817",GVG,17/04/2018
554,LOE,17/04/2018
"6,911,919",EXPERT1,18/04/2018
"1,549",GANGS,20/04/2018
880,HOF,21/04/2018
"1,979",GVG,21/04/2018
"2,106,397",HERO_SKINS,23/04/2018
"1,207",GANGS,25/04/2018
"2,357,342",ICECROWN,26/04/2018
"3,926,554",CORE,27/04/2018
"3,288,172",UNGORO,28/04/2018
"271,146",GILNEAS,1/05/2018
33,GVG,9/04/2017
8,HOF,10/04/2017
13,NAXX,16/04/2017
4,FP2,12/05/2017
7,GVG,13/05/2017
4,GVG,29/06/2017
7,GVG,10/11/2017
10,FP2,12/11/2017
16,GVG,30/01/2018
11,TEMP1,19/04/2017
2,FP2,31/08/2017
5,HOF,8/10/2017
7,GVG,8/10/2017
9,TEMP1,11/11/2017
12,NAXX,7/12/2017
18,GVG,19/08/2017
1,HOF,15/10/2017
2,LOE,15/10/2017
2,HOF,13/08/2017
17,GVG,21/05/2017
2,HOF,13/07/2017
2,NAXX,24/09/2017
2,TEMP1,11/10/2017
4,FP2,2/06/2017
2,HOF,6/10/2017
2,FP2,26/04/2017
5,TEMP1,2/12/2017
3,FP2,1/09/2017
1,HOF,30/01/2018
1,HOF,20/04/2017
1,HOF,29/04/2017
1,FP2,26/06/2017
4,FP2,11/01/2018
2,LOE,13/05/2017
2,HOF,11/07/2017
2,FP2,15/09/2017
2,HOF,10/11/2017
2,FP2,26/12/2017
2,HOF,19/04/2017
2,FP2,28/08/2017
7,NAXX,7/09/2017
1,NAXX,26/09/2017
6,NAXX,15/07/2017
2,LOE,2/12/2017
3,LOE,19/04/2017
1,NAXX,4/07/2017
1,LOE,11/10/2017
1,HOF,13/05/2017
1,HOF,11/10/2017
1,NAXX,27/11/2017
590,UNGORO,4/04/2017
"1,028,054",OG,5/04/2017
"9,655,534",EXPERT1,7/04/2017
"11,852,974",CORE,15/04/2017
"247,512",INVALID,15/04/2017
"9,735,015",UNGORO,15/04/2017
"245,882",KARA,17/04/2017
"1,786,507",KARA,18/04/2017
"206,486",INVALID,24/04/2017
"6,886,691",UNGORO,24/04/2017
4,NAXX,27/04/2017
"1,429,348",OG,27/04/2017
"658,621",HERO_SKINS,29/04/2017
"8,962,652",CORE,30/04/2017
"2,500,216",GANGS,2/05/2017
"1,391,943",KARA,4/05/2017
"6,207,095",UNGORO,4/05/2017
10,NAXX,12/05/2017
24,TEMP1,16/05/2017
"4,210,615",EXPERT1,19/05/2017
"146,063",INVALID,25/05/2017
"503,807",HERO_SKINS,29/05/2017
"140,449",INVALID,1/06/2017
16,TEMP1,1/06/2017
"4,499,036",UNGORO,1/06/2017
"558,234",HERO_SKINS,3/06/2017
"4,051,642",EXPERT1,6/06/2017
"2,203,824",UNGORO,7/06/2017
"752,981",KARA,23/06/2017
"139,994",INVALID,25/06/2017
"3,818,882",UNGORO,25/06/2017
"3,132,149",EXPERT1,30/06/2017
"374,256",HERO_SKINS,5/07/2017
"3,720,276",UNGORO,15/07/2017
"140,204",INVALID,16/07/2017
"412,023",HERO_SKINS,17/07/2017
"729,135",KARA,20/07/2017
"3,276,927",EXPERT1,24/07/2017
"99,305",INVALID,27/07/2017
"2,563,169",UNGORO,27/07/2017
"107,871",INVALID,3/08/2017
"3,026,243",UNGORO,3/08/2017
"4,221,509",EXPERT1,5/08/2017
"4,075,148",EXPERT1,6/08/2017
"1,345,487",OG,6/08/2017
"8,446,474",ICECROWN,13/08/2017
"6,690,985",EXPERT1,20/08/2017
"4,924,076",EXPERT1,24/08/2017
"5,518,163",EXPERT1,5/09/2017
"9,036,222",CORE,6/09/2017
"293,670",INVALID,12/09/2017
"3,942,405",UNGORO,12/09/2017
"1,045,841",KARA,18/09/2017
