total_plays,card_set,game_date
"15,395",INVALID,4/04/2017
"128,611",KARA,9/04/2017
"5,964",HOF,17/04/2017
"14,290",GVG,17/04/2017
"11,640",LOE,17/04/2017
"998,326",CORE,18/04/2017
"98,342",GVG,18/04/2017
"77,443",TEMP1,18/04/2017
"81,474",LOE,18/04/2017
"44,837",FP2,19/04/2017
"88,450",HERO_SKINS,19/04/2017
"105,057",KARA,25/04/2017
"62,379",LOE,28/04/2017
"79,537",KARA,28/04/2017
"64,418",HOF,5/05/2017
"161,567",GVG,5/05/2017
"182,711",GVG,6/05/2017
"131,966",LOE,6/05/2017
"77,859",FP2,7/05/2017
"59,930",FP2,13/05/2017
"45,668",HOF,16/05/2017
"154,932",OG,19/05/2017
"62,106",FP2,21/05/2017
"598,602",EXPERT1,31/05/2017
"176,076",OG,31/05/2017
"86,800",NAXX,2/06/2017
"102,596",NAXX,4/06/2017
"133,306",OG,10/06/2017
"69,774",HERO_SKINS,12/06/2017
"128,890",OG,13/06/2017
"147,260",GANGS,18/06/2017
"135,612",OG,20/06/2017
"28,587",HOF,23/06/2017
"51,710",TEMP1,23/06/2017
"123,851",OG,30/06/2017
"18,570",INVALID,2/07/2017
"18,919",INVALID,4/07/2017
"327,867",UNGORO,4/07/2017
"215,415",GANGS,8/07/2017
"96,400",KARA,10/07/2017
"43,317",HOF,17/07/2017
"849,200",CORE,19/07/2017
"18,929",INVALID,19/07/2017
"305,246",UNGORO,19/07/2017
"71,298",HERO_SKINS,22/07/2017
"79,852",LOE,22/07/2017
"92,618",KARA,22/07/2017
"151,377",OG,24/07/2017
"154,627",OG,25/07/2017
"89,857",LOE,29/07/2017
"984,256",CORE,31/07/2017
"89,297",KARA,4/08/2017
"52,713",HOF,9/08/2017
"118,112",KARA,9/08/2017
"33,117",HOF,10/08/2017
"83,764",GVG,10/08/2017
"64,957",LOE,10/08/2017
"75,369",KARA,10/08/2017
"65,789",FP2,13/08/2017
"106,413",HERO_SKINS,13/08/2017
"105,902",GVG,15/08/2017
"98,955",NAXX,16/08/2017
"976,551",CORE,17/08/2017
"156,034",OG,18/08/2017
"58,446",FP2,19/08/2017
"198,073",OG,21/08/2017
"156,961",OG,24/08/2017
"86,243",NAXX,26/08/2017
"280,718",GANGS,26/08/2017
"528,290",EXPERT1,28/08/2017
"105,412",KARA,4/09/2017
"96,850",GVG,7/09/2017
"102,077",NAXX,9/09/2017
"45,768",FP2,14/09/2017
"98,000",LOE,16/09/2017
"55,849",FP2,17/09/2017
"39,344",HOF,18/09/2017
"109,176",GVG,18/09/2017
"65,597",TEMP1,18/09/2017
"89,970",LOE,18/09/2017
"104,799",HERO_SKINS,19/09/2017
"87,218",NAXX,20/09/2017
"312,698",GANGS,24/09/2017
"108,552",GVG,25/09/2017
"341,933",UNGORO,26/09/2017
"128,052",OG,29/09/2017
"37,522",INVALID,4/10/2017
"62,102",FP2,8/10/2017
"70,867",HERO_SKINS,11/10/2017
"79,745",KARA,30/10/2017
"691,743",CORE,3/11/2017
"53,719",TEMP1,3/11/2017
"38,403",HOF,5/11/2017
"81,732",LOE,5/11/2017
"81,773",NAXX,6/11/2017
"44,309",FP2,10/11/2017
"105,740",HERO_SKINS,11/11/2017
"10,039",LOOTAPALOOZA,13/11/2017
"459,355",EXPERT1,15/11/2017
"123,788",OG,15/11/2017
"484,751",EXPERT1,20/11/2017
"129,699",OG,20/11/2017
"7,436",LOOTAPALOOZA,20/11/2017
"281,552",UNGORO,22/11/2017
"122,109",OG,25/11/2017
"896,387",CORE,26/11/2017
"85,440",HERO_SKINS,30/11/2017
"47,203",FP2,1/12/2017
"299,132",EXPERT1,8/12/2017
"369,304",EXPERT1,9/12/2017
"188,023",LOOTAPALOOZA,9/12/2017
"334,031",EXPERT1,15/12/2017
"673,398",CORE,16/12/2017
"195,883",LOOTAPALOOZA,18/12/2017
"197,862",LOOTAPALOOZA,20/12/2017
"58,408",NAXX,26/12/2017
"82,114",OG,28/12/2017
"284,002",ICECROWN,30/12/2017
"27,124",INVALID,1/01/2018
"27,735",INVALID,3/01/2018
"645,738",CORE,4/01/2018
"27,297",INVALID,4/01/2018
"177,826",UNGORO,4/01/2018
"788,945",CORE,6/01/2018
"50,672",TEMP1,6/01/2018
"56,637",LOE,6/01/2018
"716,852",CORE,9/01/2018
"57,877",LOE,13/01/2018
"67,077",NAXX,15/01/2018
"424,228",EXPERT1,16/01/2018
"173,528",GANGS,17/01/2018
"679,807",CORE,18/01/2018
"791,373",CORE,24/01/2018
"66,457",KARA,25/01/2018
"57,151",TEMP1,27/01/2018
"272,284",ICECROWN,1/02/2018
"780,646",CORE,8/02/2018
"79,875",HERO_SKINS,9/02/2018
"79,608",KARA,12/02/2018
"187,451",GANGS,19/02/2018
"188,518",GANGS,20/02/2018
"79,454",NAXX,23/02/2018
"453,506",EXPERT1,26/02/2018
"25,625",GANGS,1/03/2018
"146,420",GANGS,2/03/2018
"33,532",HOF,4/03/2018
"88,695",HERO_SKINS,9/03/2018
"33,409",HOF,10/03/2018
"127,036",GVG,10/03/2018
"766,202",CORE,13/03/2018
"44,861",INVALID,13/03/2018
"51,947",TEMP1,13/03/2018
"259,423",LOOTAPALOOZA,16/03/2018
"55,426",TEMP1,17/03/2018
"66,490",LOE,17/03/2018
"621,513",CORE,22/03/2018
"21,643",HOF,22/03/2018
"90,613",GVG,22/03/2018
"42,965",FP2,28/03/2018
"195,390",GANGS,1/04/2018
"467,781",EXPERT1,2/04/2018
"43,432",FP2,6/04/2018
"237,753",ICECROWN,6/04/2018
"59,358",TEMP1,7/04/2018
"97,770",HERO_SKINS,8/04/2018
"27,192",FP2,13/04/2018
"267,400",LOOTAPALOOZA,14/04/2018
"244,936",UNGORO,15/04/2018
"126,049",HERO_SKINS,17/04/2018
"53,115",KARA,24/04/2018
"48,826",KARA,25/04/2018
"46,544",HERO_SKINS,27/04/2018
"121,600",ICECROWN,28/04/2018
"186,577",LOOTAPALOOZA,30/04/2018
"339,751",EXPERT1,1/05/2018
"510,944",CORE,2/05/2018
"13,486",HOF,2/05/2018
"56,114",TEMP1,2/05/2018
62,TB,24/11/2017
6,TB,27/11/2017
"13,035",INVALID,5/04/2017
"101,348",TEMP1,5/04/2017
"387,068",UNGORO,7/04/2017
"251,918",GANGS,8/04/2017
"96,678",HERO_SKINS,16/04/2017
"166,170",OG,25/04/2017
"685,886",CORE,27/04/2017
"51,376",FP2,30/04/2017
"259,951",GANGS,1/05/2017
"72,107",FP2,8/05/2017
"132,709",NAXX,9/05/2017
"104,510",NAXX,11/05/2017
"89,568",HERO_SKINS,15/05/2017
"100,356",KARA,19/05/2017
"92,965",LOE,20/05/2017
"113,225",KARA,20/05/2017
"22,225",INVALID,22/05/2017
"104,291",KARA,24/05/2017
"59,116",FP2,28/05/2017
"78,464",TEMP1,6/06/2017
"349,217",UNGORO,6/06/2017
"39,436",HOF,10/06/2017
"100,110",GVG,10/06/2017
"18,730",INVALID,11/06/2017
"332,705",UNGORO,11/06/2017
"84,838",NAXX,12/06/2017
"36,800",HOF,13/06/2017
"96,142",GVG,13/06/2017
"67,371",TEMP1,13/06/2017
"70,302",LOE,13/06/2017
"288,926",UNGORO,14/06/2017
"33,437",FP2,18/06/2017
"97,218",GVG,20/06/2017
"66,632",TEMP1,20/06/2017
"70,669",LOE,20/06/2017
"419,358",EXPERT1,21/06/2017
"67,880",HERO_SKINS,24/06/2017
"84,117",KARA,24/06/2017
"69,130",HERO_SKINS,1/07/2017
"88,453",KARA,8/07/2017
"99,074",NAXX,9/07/2017
"496,856",EXPERT1,10/07/2017
"153,283",OG,10/07/2017
"16,469",INVALID,13/07/2017
"101,811",NAXX,18/07/2017
"355,595",EXPERT1,20/07/2017
"145,768",OG,22/07/2017
"42,063",HOF,25/07/2017
"108,203",GVG,25/07/2017
"105,240",NAXX,30/07/2017
"270,063",GANGS,30/07/2017
"62,484",FP2,31/07/2017
"233,757",GANGS,2/08/2017
"447,026",EXPERT1,4/08/2017
"141,429",OG,4/08/2017
"373,555",UNGORO,6/08/2017
"106,638",NAXX,7/08/2017
"103,678",HERO_SKINS,12/08/2017
"87,976",HERO_SKINS,16/08/2017
"905,692",CORE,18/08/2017
"89,047",GVG,18/08/2017
"317,070",UNGORO,18/08/2017
"393,660",UNGORO,21/08/2017
"48,819",FP2,26/08/2017
"97,525",NAXX,27/08/2017
"81,753",LOE,30/08/2017
"632,064",EXPERT1,4/09/2017
"346,677",UNGORO,5/09/2017
"42,039",HOF,9/09/2017
"73,348",TEMP1,9/09/2017
"43,275",INVALID,11/09/2017
"514,889",EXPERT1,13/09/2017
"274,482",GANGS,19/09/2017
"64,408",TEMP1,20/09/2017
"957,289",CORE,22/09/2017
"36,379",INVALID,22/09/2017
"64,831",TEMP1,22/09/2017
"807,577",CORE,28/09/2017
"34,364",HOF,29/09/2017
"98,907",GVG,29/09/2017
"62,809",FP2,1/10/2017
"425,609",ICECROWN,1/10/2017
"48,641",FP2,5/10/2017
"35,337",INVALID,7/10/2017
"319,261",UNGORO,9/10/2017
"196,276",GANGS,12/10/2017
"427,726",EXPERT1,17/10/2017
"34,730",FP2,18/10/2017
"47,736",FP2,23/10/2017
"67,585",HERO_SKINS,24/10/2017
"27,097",HOF,26/10/2017
"75,559",GVG,26/10/2017
"414,968",EXPERT1,1/11/2017
"103,724",OG,3/11/2017
"227,853",GANGS,4/11/2017
"138,545",OG,11/11/2017
"12,256",LOOTAPALOOZA,11/11/2017
"935,886",CORE,12/11/2017
"75,368",LOE,13/11/2017
"660,818",CORE,16/11/2017
"77,728",LOE,18/11/2017
"86,051",KARA,18/11/2017
"87,101",NAXX,19/11/2017
"35,000",HOF,20/11/2017
"103,304",GVG,20/11/2017
"66,606",NAXX,23/11/2017
"6,184",LOOTAPALOOZA,26/11/2017
"357,079",ICECROWN,27/11/2017
"29,075",INVALID,5/12/2017
"289,945",UNGORO,5/12/2017
"80,139",NAXX,6/12/2017
"67,062",KARA,11/12/2017
"37,115",FP2,16/12/2017
"22,818",HOF,18/12/2017
"39,949",TEMP1,26/12/2017
"48,439",LOE,26/12/2017
"58,402",KARA,28/12/2017
"186,110",UNGORO,28/12/2017
"183,090",GANGS,30/12/2017
"98,519",OG,6/01/2018
"70,558",KARA,7/01/2018
"239,558",LOOTAPALOOZA,9/01/2018
"69,028",GVG,11/01/2018
"42,882",LOE,11/01/2018
"66,916",KARA,15/01/2018
"33,662",FP2,17/01/2018
"267,726",ICECROWN,17/01/2018
"82,996",OG,18/01/2018
"43,055",FP2,21/01/2018
"75,235",KARA,22/01/2018
"36,025",FP2,24/01/2018
"823,486",CORE,26/01/2018
"502,244",EXPERT1,27/01/2018
"106,747",OG,27/01/2018
"97,063",OG,29/01/2018
"805,825",CORE,31/01/2018
"48,939",TEMP1,31/01/2018
"174,040",GANGS,1/02/2018
"437,946",EXPERT1,5/02/2018
"286,603",LOOTAPALOOZA,6/02/2018
"47,958",FP2,7/02/2018
"318,406",LOOTAPALOOZA,9/02/2018
"473,297",EXPERT1,12/02/2018
"41,927",INVALID,14/02/2018
"835,317",CORE,27/02/2018
"51,503",TEMP1,27/02/2018
"64,673",LOE,27/02/2018
"5,723",FP2,1/03/2018
"34,413",FP2,2/03/2018
"50,009",FP2,6/03/2018
"327,479",LOOTAPALOOZA,9/03/2018
"104,628",HERO_SKINS,11/03/2018
"47,472",TEMP1,16/03/2018
"429,326",EXPERT1,17/03/2018
"105,694",OG,17/03/2018
"154,057",GANGS,26/03/2018
"172,728",UNGORO,26/03/2018
"38,681",INVALID,29/03/2018
"160,898",UNGORO,29/03/2018
"27,455",HOF,30/03/2018
"464,538",EXPERT1,8/04/2018
"316,662",LOOTAPALOOZA,8/04/2018
"89,577",HERO_SKINS,9/04/2018
"79,937",NAXX,10/04/2018
"146,214",GANGS,10/04/2018
"37,487",INVALID,12/04/2018
"149,513",UNGORO,12/04/2018
"50,060",LOE,14/04/2018
"143,306",GILNEAS,15/04/2018
"76,611",OG,16/04/2018
"222,285",LOOTAPALOOZA,16/04/2018
"105,054",GILNEAS,20/04/2018
"25,907",NAXX,27/04/2018
"12,646",HOF,29/04/2018
"62,177",GVG,29/04/2018
"54,099",TEMP1,29/04/2018
"34,153",LOE,30/04/2018
"277,744",EXPERT1,2/05/2018
"66,520",OG,2/05/2018
"22,851",INVALID,4/05/2018
"74,828",NAXX,11/04/2017
"218,138",GANGS,12/04/2017
"18,474",INVALID,13/04/2017
"67,068",TEMP1,13/04/2017
"400,583",UNGORO,13/04/2017
"237,672",GANGS,14/04/2017
"42,189",HOF,15/04/2017
"97,212",GVG,15/04/2017
"157,034",OG,19/04/2017
"93,903",HERO_SKINS,22/04/2017
"82,792",NAXX,23/04/2017
"63,766",TEMP1,24/04/2017
"40,247",HOF,30/04/2017
"128,837",KARA,5/05/2017
"1,257,886",CORE,8/05/2017
"107,737",TEMP1,8/05/2017
"113,356",LOE,8/05/2017
"23,557",INVALID,10/05/2017
"91,203",HERO_SKINS,11/05/2017
"214,537",GANGS,12/05/2017
"104,226",KARA,16/05/2017
"22,607",INVALID,20/05/2017
"20,658",INVALID,24/05/2017
"22,851",INVALID,27/05/2017
"402,872",UNGORO,27/05/2017
"47,733",HOF,28/05/2017
"132,077",GVG,28/05/2017
"1,054,693",CORE,30/05/2017
"86,073",KARA,1/06/2017
"241,198",GANGS,4/06/2017
"15,379",INVALID,8/06/2017
"269,136",UNGORO,8/06/2017
"17,252",INVALID,13/06/2017
"407,609",EXPERT1,14/06/2017
"73,888",NAXX,16/06/2017
"68,197",HERO_SKINS,19/06/2017
"43,016",FP2,21/06/2017
"763,869",CORE,24/06/2017
"99,332",GVG,25/06/2017
"17,864",INVALID,28/06/2017
"76,842",TEMP1,2/07/2017
"77,891",LOE,2/07/2017
"459,144",EXPERT1,3/07/2017
"15,871",INVALID,6/07/2017
"85,019",HERO_SKINS,9/07/2017
"153,010",OG,11/07/2017
"470,762",EXPERT1,12/07/2017
"100,402",KARA,16/07/2017
"345,148",UNGORO,16/07/2017
"80,770",HERO_SKINS,18/07/2017
"91,119",KARA,19/07/2017
"35,550",HOF,21/07/2017
"91,695",GVG,21/07/2017
"70,240",HERO_SKINS,26/07/2017
"81,860",GVG,27/07/2017
"440,479",EXPERT1,28/07/2017
"90,544",LOE,31/07/2017
"1,182,574",CORE,12/08/2017
"32,310",INVALID,14/08/2017
"422,232",UNGORO,14/08/2017
"81,136",HERO_SKINS,17/08/2017
"482,918",EXPERT1,18/08/2017
"607,057",EXPERT1,21/08/2017
"295,796",GANGS,28/08/2017
"93,874",NAXX,29/08/2017
"38,685",INVALID,8/09/2017
"316,858",UNGORO,8/09/2017
"335,223",GANGS,10/09/2017
"169,679",OG,11/09/2017
"92,464",KARA,12/09/2017
"132,584",OG,14/09/2017
"55,864",FP2,19/09/2017
"268,347",GANGS,20/09/2017
"101,216",HERO_SKINS,26/09/2017
"75,629",NAXX,28/09/2017
"234,833",GANGS,28/09/2017
"367,594",UNGORO,30/09/2017
"12,396",HERO_SKINS,2/10/2017
"44,088",HOF,4/10/2017
"128,026",GVG,4/10/2017
"79,529",TEMP1,4/10/2017
"816,926",CORE,5/10/2017
"34,155",HOF,5/10/2017
"98,953",GVG,5/10/2017
"521,905",EXPERT1,9/10/2017
"104,501",OG,11/10/2017
"131,409",OG,15/10/2017
"24,975",HOF,18/10/2017
"45,913",TEMP1,18/10/2017
"55,412",LOE,18/10/2017
"134,968",OG,22/10/2017
"92,968",HERO_SKINS,23/10/2017
"214,437",UNGORO,24/10/2017
"216,395",UNGORO,25/10/2017
"40,702",FP2,3/11/2017
"74,085",NAXX,4/11/2017
"240,674",GANGS,8/11/2017
"40,466",FP2,9/11/2017
"849,587",CORE,14/11/2017
"288,178",UNGORO,14/11/2017
"196,035",GANGS,16/11/2017
"217,201",GANGS,17/11/2017
"84,950",NAXX,21/11/2017
"255,350",GANGS,21/11/2017
"81,516",HERO_SKINS,24/11/2017
"99,003",HERO_SKINS,26/11/2017
"872,789",CORE,28/11/2017
"66,133",TEMP1,28/11/2017
"77,863",LOE,28/11/2017
"42,763",FP2,30/11/2017
"312,344",ICECROWN,30/11/2017
"356,807",ICECROWN,2/12/2017
"34,865",HOF,4/12/2017
"101,816",GVG,4/12/2017
"491,219",EXPERT1,5/12/2017
"5,455",LOOTAPALOOZA,5/12/2017
"22,837",HOF,11/12/2017
"73,185",GVG,11/12/2017
"41,719",TEMP1,11/12/2017
"24,424",HOF,16/12/2017
"76,863",GVG,16/12/2017
"50,381",LOE,16/12/2017
"25,303",INVALID,18/12/2017
"25,632",INVALID,20/12/2017
"38,674",TEMP1,20/12/2017
"63,586",HERO_SKINS,21/12/2017
"54,641",NAXX,22/12/2017
"198,047",LOOTAPALOOZA,22/12/2017
"56,520",NAXX,24/12/2017
"366,275",EXPERT1,28/12/2017
"201,898",UNGORO,29/12/2017
"52,435",LOE,3/01/2018
"63,647",KARA,3/01/2018
"45,553",LOE,4/01/2018
"40,941",FP2,6/01/2018
"71,995",KARA,14/01/2018
"24,232",HOF,17/01/2018
"50,281",LOE,17/01/2018
"70,870",HERO_SKINS,18/01/2018
"177,352",GANGS,19/01/2018
"54,114",TEMP1,20/01/2018
"65,960",LOE,21/01/2018
"71,815",NAXX,23/01/2018
"205,943",GANGS,23/01/2018
"55,634",LOE,24/01/2018
"72,127",NAXX,26/01/2018
"40,516",FP2,27/01/2018
"95,382",HERO_SKINS,28/01/2018
"97,348",OG,31/01/2018
"285,803",LOOTAPALOOZA,31/01/2018
"71,483",NAXX,1/02/2018
"36,175",INVALID,2/02/2018
"53,217",TEMP1,2/02/2018
"894,709",CORE,3/02/2018
"103,986",GVG,3/02/2018
"504,261",EXPERT1,4/02/2018
"56,922",TEMP1,7/02/2018
"67,047",KARA,8/02/2018
"88,526",NAXX,10/02/2018
"202,238",GANGS,13/02/2018
"105,216",OG,14/02/2018
"70,091",KARA,16/02/2018
"318,277",LOOTAPALOOZA,27/02/2018
"80,214",KARA,4/03/2018
"91,294",KARA,5/03/2018
"933,902",CORE,6/03/2018
"125,315",GVG,6/03/2018
"264,111",ICECROWN,9/03/2018
"964,652",CORE,10/03/2018
"82,220",KARA,10/03/2018
"808,544",CORE,12/03/2018
"52,957",TEMP1,12/03/2018
"64,327",LOE,13/03/2018
"109,136",GVG,19/03/2018
"51,432",TEMP1,19/03/2018
"161,060",GANGS,21/03/2018
"51,261",KARA,22/03/2018
"164,728",UNGORO,23/03/2018
"239,641",ICECROWN,24/03/2018
"101,210",NAXX,27/03/2018
"352,105",EXPERT1,29/03/2018
"245,992",LOOTAPALOOZA,29/03/2018
"103,634",NAXX,31/03/2018
"50,106",INVALID,2/04/2018
"759,853",CORE,4/04/2018
"42,501",INVALID,4/04/2018
"52,344",TEMP1,4/04/2018
"277,431",ICECROWN,8/04/2018
"289,098",EXPERT1,12/04/2018
"204,143",LOOTAPALOOZA,12/04/2018
"28,403",FP2,16/04/2018
"226,911",ICECROWN,17/04/2018
"72,664",GVG,18/04/2018
"67,133",NAXX,23/04/2018
"77,550",ICECROWN,27/04/2018
"23,249",FP2,2/05/2018
"237,193",EXPERT1,4/05/2018
"58,235",OG,4/05/2018
