games,whizzbang_deck_id,final_state,player_class,rank
78,1829,LOST,DRUID,-1
131,1607,WON,HUNTER,13
145,1607,WON,HUNTER,9
139,1828,WON,HUNTER,14
73,1607,LOST,HUNTER,4
123,1609,WON,MAGE,13
200,1754,WON,PALADIN,21
570,1830,LOST,PRIEST,18
1002,1830,LOST,PRIEST,20
408,1830,LOST,PRIEST,17
116,1831,WON,PRIEST,14
759,1820,LOST,ROGUE,19
719,1821,WON,ROGUE,20
207,1821,WON,ROGUE,10
553,1821,WON,ROGUE,19
77,1821,WON,ROGUE,16
998,1820,LOST,ROGUE,20
344,1820,LOST,ROGUE,10
174,1821,LOST,ROGUE,9
126,1820,LOST,ROGUE,16
209,1827,LOST,SHAMAN,14
54,1826,WON,SHAMAN,25
43,1818,WON,WARLOCK,4
112,1819,WON,WARLOCK,23
92,1819,LOST,WARLOCK,12
31,1817,LOST,WARRIOR,6
53,1760,LOST,WARRIOR,7
225,1817,LOST,WARRIOR,14
34,1825,LOST,PALADIN,11
13,1818,LOST,WARLOCK,0
638,1607,WON,HUNTER,19
248,1607,WON,HUNTER,10
810,1607,WON,HUNTER,20
281,1607,WON,HUNTER,17
368,1609,WON,MAGE,18
201,1609,WON,MAGE,10
108,1832,WON,MAGE,9
93,1754,WON,PALADIN,25
230,1830,LOST,PRIEST,22
212,1830,LOST,PRIEST,9
152,1831,LOST,PRIEST,8
44,1830,WON,PRIEST,25
241,1821,LOST,ROGUE,10
117,1826,WON,SHAMAN,21
126,1826,LOST,SHAMAN,24
267,1818,WON,WARLOCK,15
71,1818,LOST,WARLOCK,4
75,1817,LOST,WARRIOR,-1
8,1817,LOST,WARRIOR,2
22,1828,LOST,HUNTER,3
279,1606,LOST,DRUID,10
678,1606,LOST,DRUID,19
99,1829,LOST,DRUID,24
147,1606,WON,DRUID,21
203,1609,LOST,MAGE,14
426,1825,LOST,PALADIN,18
100,1821,WON,ROGUE,13
347,1820,WON,ROGUE,19
161,1820,WON,ROGUE,10
300,1821,WON,ROGUE,5
151,1826,WON,SHAMAN,5
99,1827,LOST,SHAMAN,12
114,1827,WON,SHAMAN,23
82,1827,WON,SHAMAN,16
89,1827,WON,SHAMAN,8
848,1817,LOST,WARRIOR,20
165,1829,LOST,DRUID,22
61,1819,WON,WARLOCK,4
293,1817,LOST,WARRIOR,10
53,1828,WON,HUNTER,12
18,1760,LOST,WARRIOR,3
10,1827,WON,SHAMAN,3
14,1818,LOST,WARLOCK,6
6,1832,WON,MAGE,0
490,1606,LOST,DRUID,5
725,1609,LOST,MAGE,20
142,1832,LOST,MAGE,23
123,1832,LOST,MAGE,8
662,1832,LOST,MAGE,19
84,1609,WON,MAGE,25
32,1832,WON,MAGE,11
217,1821,LOST,ROGUE,14
319,1827,WON,SHAMAN,5
785,1818,LOST,WARLOCK,20
337,1818,LOST,WARLOCK,17
502,1760,WON,WARRIOR,19
158,1760,LOST,WARRIOR,9
94,1607,WON,HUNTER,25
65,1819,LOST,WARLOCK,25
18,1821,LOST,ROGUE,6
85,1829,LOST,DRUID,4
19,1832,LOST,MAGE,3
3,1819,WON,WARLOCK,2
1,1826,WON,SHAMAN,0
1,1820,LOST,ROGUE,1
186,1829,LOST,DRUID,21
414,1828,WON,HUNTER,19
14,1828,WON,HUNTER,3
101,1828,LOST,HUNTER,12
835,1754,WON,PALADIN,20
108,1754,LOST,PALADIN,23
137,1825,WON,PALADIN,14
85,1831,WON,PRIEST,23
66,1830,WON,PRIEST,9
63,1831,WON,PRIEST,8
433,1821,LOST,ROGUE,5
137,1821,LOST,ROGUE,13
204,1826,LOST,SHAMAN,9
127,1827,LOST,SHAMAN,8
90,1819,LOST,WARLOCK,4
119,1819,WON,WARLOCK,9
47,1817,WON,WARRIOR,-1
75,1817,LOST,WARRIOR,25
56,1820,WON,ROGUE,25
80,1826,WON,SHAMAN,23
23,1827,LOST,SHAMAN,3
42,1832,WON,MAGE,4
5,1831,WON,PRIEST,3
5,1817,WON,WARRIOR,2
22,1606,LOST,DRUID,6
41,1829,LOST,DRUID,11
58,1607,LOST,HUNTER,7
588,1828,WON,HUNTER,20
284,1832,WON,MAGE,5
84,1825,LOST,PALADIN,24
248,1754,LOST,PALADIN,17
362,1754,LOST,PALADIN,18
147,1825,LOST,PALADIN,9
106,1830,LOST,PRIEST,4
475,1831,WON,PRIEST,20
193,1830,WON,PRIEST,15
440,1821,LOST,ROGUE,18
53,1821,WON,ROGUE,4
51,1821,WON,ROGUE,12
59,1820,WON,ROGUE,8
83,1820,WON,ROGUE,23
434,1826,WON,SHAMAN,20
685,1827,LOST,SHAMAN,20
213,1826,LOST,SHAMAN,13
22,1827,WON,SHAMAN,6
456,1819,LOST,WARLOCK,5
89,1818,LOST,WARLOCK,-1
15,1760,WON,WARRIOR,0
107,1820,LOST,ROGUE,12
5,1818,LOST,WARLOCK,2
1,1609,LOST,MAGE,1
25,1829,LOST,DRUID,6
71,1606,LOST,DRUID,25
339,1607,WON,HUNTER,15
111,1832,WON,MAGE,13
100,1754,LOST,PALADIN,16
604,1825,LOST,PALADIN,19
118,1754,WON,PALADIN,24
172,1825,LOST,PALADIN,22
161,1825,WON,PALADIN,21
562,1830,LOST,PRIEST,5
109,1830,LOST,PRIEST,12
357,1831,LOST,PRIEST,10
69,1830,WON,PRIEST,23
45,1830,WON,PRIEST,24
102,1820,WON,ROGUE,14
281,1821,LOST,ROGUE,17
151,1827,LOST,SHAMAN,21
60,1826,WON,SHAMAN,8
668,1819,WON,WARLOCK,20
47,1606,WON,DRUID,-1
194,1828,LOST,HUNTER,9
33,1754,WON,PALADIN,11
42,1826,WON,SHAMAN,16
4,1760,LOST,WARRIOR,2
7,1829,WON,DRUID,0
13,1825,WON,PALADIN,3
15,1606,WON,DRUID,0
7,1826,WON,SHAMAN,3
2,1606,WON,DRUID,2
523,1829,LOST,DRUID,5
105,1829,WON,DRUID,23
186,1606,WON,DRUID,10
75,1828,LOST,HUNTER,7
201,1832,LOST,MAGE,14
359,1825,WON,PALADIN,18
8,1754,LOST,PALADIN,2
244,1830,LOST,PRIEST,21
101,1830,LOST,PRIEST,-1
260,1831,WON,PRIEST,18
56,1827,WON,SHAMAN,12
85,1826,LOST,SHAMAN,7
118,1827,WON,SHAMAN,9
142,1818,LOST,WARLOCK,8
24,1818,WON,WARLOCK,11
673,1818,LOST,WARLOCK,19
285,1818,LOST,WARLOCK,10
22,1818,LOST,WARLOCK,3
148,1760,LOST,WARRIOR,22
13,1760,WON,WARRIOR,3
86,1829,LOST,DRUID,12
82,1825,LOST,PALADIN,7
133,1818,LOST,WARLOCK,16
49,1754,LOST,PALADIN,-1
46,1825,WON,PALADIN,4
88,1827,LOST,SHAMAN,4
174,1817,WON,WARRIOR,10
17,1818,WON,WARLOCK,6
14,1606,WON,DRUID,3
1,1832,WON,MAGE,1
16,1754,LOST,PALADIN,0
