pcplays,region,archetype_id
0.535467192,5,[NULL]
0.526420824,1,[NULL]
0.52303168,2,[NULL]
0.515860247,3,[NULL]
0.048803155,3,134
0.048030006,2,134
0.04666708,3,219
0.043828166,1,134
0.03681938,1,219
0.035965478,3,139
0.034902083,5,219
0.034880562,2,219
0.033932947,5,139
0.033320306,5,134
0.03313622,1,139
0.032931683,2,139
0.028823435,3,11
0.028065001,1,11
0.027131809,3,6
0.026167224,2,11
0.024212544,5,63
0.024047405,3,7
0.023772188,3,223
0.023631591,5,6
0.022096513,1,223
0.021759338,5,179
0.021591029,2,223
0.021328926,2,6
0.02125781,2,63
0.020071101,1,63
0.019892365,5,7
0.018875697,5,11
0.018426779,5,231
0.018348397,1,6
0.017987337,1,7
0.01771115,5,223
0.017405591,2,231
0.017030457,2,7
0.016841263,3,63
0.01672746,2,179
0.016419736,3,231
0.015354104,3,221
0.015246281,3,216
0.015234919,1,231
0.015120488,3,182
0.014913665,1,216
0.014843354,5,155
0.014766774,5,221
0.014461684,1,179
0.014436989,2,182
0.014016878,2,216
0.013782988,1,182
0.0133777,2,221
0.012865472,5,182
0.012858761,3,155
0.012310926,5,216
0.011822397,5,220
0.011766483,2,169
0.011431315,3,149
0.01107244,5,149
0.010938654,1,169
0.010810065,2,226
0.010730468,3,179
0.010703797,1,137
0.010647288,5,169
0.010301356,5,184
0.010262475,2,137
0.00986072,1,221
0.009775858,5,2
0.00962182,3,137
0.009559321,5,226
0.009506988,1,155
0.009367485,1,226
0.009288447,3,184
0.009082283,3,226
0.008986009,2,149
0.008453327,2,155
0.008108484,3,169
0.007713718,1,220
0.007610674,1,149
0.007143084,5,137
0.007046013,2,36
0.006968798,5,36
0.006691556,2,220
0.006656502,1,36
0.006564017,3,3
0.006451771,1,184
0.006427563,2,184
0.006399028,1,198
0.006271654,5,254
0.006262341,3,36
0.006253554,1,2
0.006240255,1,249
0.006177814,2,2
0.005971383,1,254
0.005956042,2,198
0.005933645,5,205
0.005740066,3,197
0.005584558,3,220
0.005581572,2,197
0.005576875,2,249
0.005429272,5,215
0.005372875,3,254
0.005371082,2,254
0.005133514,5,3
0.005064435,1,206
0.004977713,5,249
0.004968266,1,250
0.004906634,3,198
0.004890282,1,248
0.00482026,1,197
0.004665015,1,205
0.00460024,1,145
0.004587426,2,26
0.004564913,3,206
0.004481262,5,197
0.004381125,1,26
0.004295074,3,26
0.004230263,2,206
0.004209944,2,250
0.004195037,2,205
0.004020284,2,3
0.003998014,5,206
0.003935332,2,148
0.003918793,5,198
0.003861661,3,250
0.003853512,1,3
0.003848339,2,248
0.003731906,3,255
0.003721435,3,205
0.003659999,1,138
0.003586869,3,138
0.003542119,1,148
0.003532324,2,145
0.00352797,5,250
0.003522758,1,1
0.003452728,3,249
0.003390327,3,148
0.003183411,1,228
0.003130125,1,257
0.003080152,2,228
0.003077395,2,247
0.003065848,5,168
0.00300633,2,1
0.002984651,1,247
0.002933814,5,56
0.002929194,1,61
0.002866228,1,168
0.002778125,2,224
0.002772731,5,148
0.002665146,2,257
0.002599255,1,30
0.002594369,1,255
0.002577693,2,138
0.002565747,2,61
0.002548272,5,26
0.002539093,1,224
0.002533406,3,2
0.002467164,2,30
0.002457209,2,168
0.002368984,3,248
0.00234035,2,255
0.002329094,5,224
0.002286843,5,145
0.002122213,1,215
0.002095182,3,30
0.002088814,2,56
0.002088791,5,138
0.002080236,1,56
0.002002025,2,162
0.001972078,3,228
0.001898661,5,252
0.001897083,3,168
0.001895733,2,196
0.001890739,5,1
0.001869491,3,257
0.001866459,1,162
0.00185316,1,188
0.001811518,5,228
0.001803311,1,253
0.001750116,1,196
0.001708531,5,247
0.001701814,3,224
0.001697968,5,180
0.001687239,3,215
0.001636017,3,61
0.001608,3,56
0.001588473,3,247
0.001582832,2,253
0.001563126,2,215
0.001530175,3,1
0.001510644,2,252
0.001486712,5,188
0.001445195,2,188
0.001444461,5,162
0.0014174,3,145
0.001415413,5,30
0.001410042,3,162
0.001367881,5,61
0.001349396,5,257
0.001303382,1,252
0.001241127,5,248
0.001196176,1,214
0.001160883,2,180
0.001153984,5,255
0.001094413,2,214
0.001084176,1,180
0.001042742,1,127
0.000945782,3,188
0.000938141,3,196
0.000901588,2,127
0.000874071,5,196
0.000870399,1,157
0.000866147,1,212
0.000858619,3,180
0.000852986,2,212
0.000848855,3,252
0.000789568,5,214
0.00072418,2,157
0.000715563,3,214
0.000683867,3,253
0.000680612,3,157
0.000673378,5,212
0.000639049,5,260
0.000595732,2,258
0.000568545,3,212
0.000536061,5,253
0.00051336,3,260
0.000512295,5,127
0.000480117,1,260
0.000458741,3,127
0.000451559,5,142
0.000435607,1,259
0.000398887,3,259
0.00039045,2,260
0.000385939,1,258
